id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
662,Alchemist,"[[""Alchemist""],[""Aerochemist""]]",Alchemist (Aerochemist),Aerochemist,alchemistmutagen_1,1,Aeromantic Concoction (Su),"<p>An aerochemist learns to craft a special alchemical concoction. It takes 10 minutes to brew a dose of this concoction, and once brewed, it remains potent until used. An aerochemist can maintain only 1 dose of this concoction at a time-if he brews a second dose, any existing concoction becomes inert. As with an extract or bomb, an aeromantic concoction that is not in the aerochemist's possession becomes inert until he picks it up again. Anyone other than the aerochemist who attempts to drink his aeromantic concoction is affected in the same fashion as is a non-alchemist who drinks an alchemist's mutagen.</p><p>When consumed, an aerochemist's aeromantic concoction makes his body become incredibly buoyant for 10 minutes per alchemist level. The concoction grants the aerochemist a +5 bonus on Acrobatics checks to attempt high jumps or long jumps, and he is always treated as having a running start when attempting long jumps. In addition, the aerochemist gains the benefits of feather fall for the concoction's duration. At 6th level, the aerochemist gains the benefits of fly for the concoction's duration. At 10th level, the aerochemist can choose to gain the benefits of air walk instead of fly for the concoction's duration. At 14th level, the duration of the concoction increases to 1 hour per alchemist level.</p><p>An aerochemist with the infusion discovery can instead create a shared alchemical concoction intended for his allies. This shared concoction grants the same benefits as the normal aeromantic concoction, except the duration is only 1 minute per alchemist level its creator has. At 14th level, the duration increases to 10 minutes per alchemist level. An aerochemist can have only a standard concoction or shared concoction in effect, not both.</p><p>This replaces mutagen, swift poisoning, and persistent mutagen. An aeromantic alchemist can never gain the mutagen, cognatogen, or inspired cognatogen ability, even from a discovery or another class.</p>",systems/pf1/icons/items/potions/grand-violet.jpg
665,Alchemist,"[[""Alchemist""],[""Aerochemist""]]",Alchemist (Aerochemist),Aerochemist,id-00001,2,Bombs Away (Ex),"<p>At 2nd level, an aerochemist becomes an expert at attacking from above. He gains a +1 bonus on attack rolls made with thrown weapons against targets that are at least 10 feet below him. This bonus increases to +2 at 6th level, and increases by an additional 1 every 4 levels thereafter, to a maximum bonus of +5 at 18th level.</p><p>This replaces poison use and swift alchemy.</p>",systems/pf1/icons/items/potions/grand-violet.jpg
666,Alchemist,"[[""Alchemist""],[""Aerochemist""]]",Alchemist (Aerochemist),Aerochemist,id-00002,2,Aerodynamic Prowess (Su),"<p>At 2nd level, an aerochemist gains a +2 bonus on Fly checks. This bonus increases to +4 at 5th level, and +6 at 8th level.</p><p>This replaces poison resistance.</p>",systems/pf1/icons/items/potions/grand-violet.jpg
1996,Alchemist,"[[""Alchemist""],[""Alchemical Sapper""]]",Alchemist (Alchemical Sapper),Alchemical Sapper,alchemistdiscovery_6,6,Trip Mine (Su),"<p>At 6th level, an alchemical sapper can expend two uses of his bomb class feature to prepare a special kind of trap called a trip mine. This special bomb remains inert until 1 round after it leaves the alchemical sapper's possession, after which time it becomes armed. When a creature enters a square containing an armed trip mine, it explodes, dealing normal bomb damage to all creatures in its square (DC = 10 + 1/2 the alchemical sapper's alchemist level + his Intelligence modifier; Reflex half ) and splash damage to every creature adjacent to that square. A trip mine can be disarmed with a successful Disable Device check (with a DC equal to the trip mine's save DC); otherwise, it lasts until the next time the alchemical sapper refreshes his daily bombs.</p><p>If the alchemical sapper expends four uses of his bomb class feature, his trip mine deals damage as per a demolition bomb; this does not count against his daily uses of the demolition bomb ability. Other than demolition bomb, discoveries that modify bombs cannot apply to trip mine.</p><p>This ability replaces the discovery gained at 6th level.</p>",systems/pf1/icons/items/potions/grand-violet.jpg
1999,Alchemist,"[[""Alchemist""],[""Alchemical Sapper""]]",Alchemist (Alchemical Sapper),Alchemical Sapper,alchemistmutagen_1,1,Delayed Bomb (Su),<p>An alchemical sapper gains the delayed bomb discovery at 1st level. He does not qualify for the mutagen or cognatogen discoveries until 8th level.</p><p>This ability replaces mutagen.</p>,systems/pf1/icons/items/potions/grand-violet.jpg
2000,Alchemist,"[[""Alchemist""],[""Alchemical Sapper""]]",Alchemist (Alchemical Sapper),Alchemical Sapper,alchemistpoisonresistance_2,2,Master Engineer (Ex),"<p>At 2nd level, an alchemical sapper adds 1/2 his alchemist level to Knowledge (engineering) checks, Craft (stonemasonry) checks, and Craft (traps) checks.</p><p>This ability replaces poison resistance.</p>",systems/pf1/icons/items/potions/grand-violet.jpg
2001,Alchemist,"[[""Alchemist""],[""Alchemical Sapper""]]",Alchemist (Alchemical Sapper),Alchemical Sapper,alchemistpoisonuse_10,10,Selective Detonation (Su),"<p>At 10th level, when an alchemical sapper plants a trip mine, he can designate a number of allies up to his Intelligence modifier, allowing the designated allies to pass safely through an armed trip mine's square without causing it to detonate. If another creature triggers the trip mine while an ally is nearby, the ally still takes damage as normal.</p><p>This ability replaces poison immunity.</p>",systems/pf1/icons/items/potions/grand-violet.jpg
2003,Alchemist,"[[""Alchemist""],[""Alchemical Sapper""]]",Alchemist (Alchemical Sapper),Alchemical Sapper,alchemistswiftalchemy_3,3,Camouflage Bomb (Ex),"<p>At 3rd level, an alchemical sapper becomes skilled at hiding his bombs. When deploying a delayed bomb or trip mine (see below), the alchemical sapper can camouflage the bomb by taking an additional full-round action. Creatures searching for traps must succeed at a Perception check (DC = 10 + the alchemical sapper's alchemist level + his Intelligence modifier) to notice a camouflaged bomb.</p><p>This ability replaces swift alchemy.</p>",systems/pf1/icons/items/potions/grand-violet.jpg
2006,Alchemist,"[[""Alchemist""],[""Alchemical Sapper""]]",Alchemist (Alchemical Sapper),Alchemical Sapper,id-00001,1,Demolition Bomb (Su),"<p>At 1st level, an alchemical sapper can create a demolition bomb. This bomb deals double his normal bomb damage, half of which is bludgeoning and piercing damage, the other half of which is fire damage. This bomb ignores a number of points of hardness up to 1/2 the alchemical sapper's level (minimum 1). This counts as an ability that modifies the alchemical sapper's bomb, so it doesn't stack with other discoveries that modify bombs. The alchemical sapper can't use his demolition bomb with the fast bombs discovery. An alchemical sapper can only expend one use of his bomb class feature to create a demolition bomb once per day. He can create one additional demolition bomb per day at 5th level and every 4 alchemist levels thereafter.</p><p>This ability modifies bomb.</p>",systems/pf1/icons/items/potions/grand-violet.jpg
1960,Alchemist,"[[""Alchemist""],[""Alchemical Trapper""]]",Alchemist (Alchemical Trapper),Alchemical Trapper,alchemistdiscovery_2,2,Bomb Trap (Su),"<p>At 2nd level, an alchemical trapper can use one of her bombs to make a trap. Setting a bomb trap is a full-round action that provokes attacks of opportunity. A bomb trap fills a single 5-foot square and cannot be placed in the same area as any other trap. The alchemical trapper needs the same materials required for making a bomb. The DCs for Perception checks to notice the trap, Disable Device checks to disable it, and saving throws to avoid it are equal to the DC for the alchemical trapper's bombs. All bomb traps have location triggers and do not reset. The alchemical trapper can use any one discovery that applies to a bomb when making a bomb trap. The bomb trap lasts 10 minutes for each alchemist level the trapper possesses. If the bomb trap is not disabled or exploded within that time frame, the trap becomes inert. Creating a bomb trap uses one of the alchemical trapper's bombs per day. This ability replaces the discovery at 2nd level.</p>",systems/pf1/icons/items/potions/grand-violet.jpg
1961,Alchemist,"[[""Alchemist""],[""Alchemical Trapper""]]",Alchemist (Alchemical Trapper),Alchemical Trapper,alchemistdiscovery_4,4,Trapfinding (Ex),"<p>At 4th level, an alchemical trapper can find and disable traps, as the rogue class feature of the same name. This ability replaces the discovery at 4th level.</p>",systems/pf1/icons/items/potions/grand-violet.jpg
1924,Alchemist,"[[""Alchemist""],[""Aquachymist""]]",Alchemist (Aquachymist),Aquachymist,alchemistdiscovery_2,2,Amphibious Mutagen (Su),"<p>At 2nd level, an aquachymist's mutagen allows him to breathe both air and water for its duration, in addition to its other effects.</p><p>This ability replaces the discovery at 2nd level.</p>",systems/pf1/icons/items/potions/grand-violet.jpg
1940,Alchemist,"[[""Alchemist""],[""Aquachymist""]]",Alchemist (Aquachymist),Aquachymist,id-00001,1,Sureseal Alchemy (Su),"<p>An aquachymist's extracts and mutagens self-generate a flexible outer shell of sureseal, similar to sureseal bladders , allowing the aquachymist to craft a waterproof supply without expending a plethora of sureseal bladders.</p><p>This ability alters alchemy.</p>",systems/pf1/icons/items/potions/grand-violet.jpg
1941,Alchemist,"[[""Alchemist""],[""Aquachymist""]]",Alchemist (Aquachymist),Aquachymist,id-00002,1,Underwater Bombs (Su),"<p>An aquachymist's fire bombs deal steam damage, allowing them to deal damage underwater or on land. Since thrown weapons don't work well underwater, when the aquachymist creates a bomb, he either weights it or includes excess air as part of the action of creating the bomb, granting the bomb his choice of swiftly rising or swiftly sinking buoyancy and allowing him to target foes directly above or below him. If the attack misses, the bomb doesn't deal splash damage, but instead continues to travel up or down until it loses potency at the end of the alchemist's turn; the exception is when the aquachymist throws a swiftly sinking bomb close to the bottom, in which case it might reach the bottom and explode there. Because of the strange aquadynamic features of the aquachymist's underwater bombs, they have a range increment of only 5 feet above the water.</p><p>This ability alters bombs.</p>",systems/pf1/icons/items/potions/grand-violet.jpg
1900,Alchemist,"[[""Alchemist""],[""Beastmorph""]]",Alchemist (Beastmorph),Beastmorph,alchemistpersistentmutagen_14,14,Grand Beastform Mutagen,"<p>At 14th level, a beastmorph's mutagen grants him four of the abilities listed in the beast shape III spell, which persist as long as the mutagen. He may select four different abilities each time he creates a mutagen. This ability replaces persistent mutagen.</p>",systems/pf1/icons/items/potions/grand-violet.jpg
1901,Alchemist,"[[""Alchemist""],[""Beastmorph""]]",Alchemist (Beastmorph),Beastmorph,alchemistpoisonuse_10,10,Greater Beastform Mutagen,"<p>At 10th level, a beastmorph's mutagen grants him three of the abilities listed in the beast shape II spell, which persist as long as the mutagen. He may select three different abilities each time he creates a mutagen. This ability replaces poison resistance +2, +4, and +6, as well as poison immunity.</p>",systems/pf1/icons/items/potions/grand-violet.jpg
