id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
17,Antipaladin,"[[""Antipaladin],[""Tyrant""]]",Antipaladin (Tyrant),Tyrant,antipaladinfiendishboon_5,5,Diabolic Boon (Sp),"<p>At 5th level, if a tyrant chooses to gain the services of a fiendish servant with his fiendish boon ability, he must choose a fiendish animal or a creature with the lawful and evil subtypes.</p><p>This ability alters fiendish boon.</p>",systems/pf1/icons/skills/affliction_18.jpg
31,Antipaladin,"[[""Antipaladin],[""Seal-Breaker""]]",Antipaladin (Seal-Breaker),Seal-Breaker,antipaladinauraofcowardice_3,3,Aura of the Grave (Su),"<p>At 3rd level, a seal-breaker is constantly surrounded by the chill of death. Mindless undead within 10 feet of the seal-breaker will not attack him unless directly ordered to, and even then only after succeeding at a Will save (DC = 10 + 1/2 the seal-breaker&#146;s level + his Charisma modifier). This ability replaces aura of cowardice.</p>",systems/pf1/icons/skills/affliction_18.jpg
33,Antipaladin,"[[""Antipaladin],[""Seal-Breaker""]]",Antipaladin (Seal-Breaker),Seal-Breaker,antipaladinauraofdespair_8,8,Aura of Death (Su),"<p>At 8th level, a seal-breaker radiates an aura that causes undead creatures within 10 feet to gain a +2 profane bonus on all saving throws. This ability replaces aura of despair.</p>",systems/pf1/icons/skills/affliction_18.jpg
36,Antipaladin,"[[""Antipaladin],[""Seal-Breaker""]]",Antipaladin (Seal-Breaker),Seal-Breaker,antipaladinauraofvengeance_11,11,Aura of Rebirth (Su),"<p>At 11th level, if a living creature is slain within 10 feet of the seal-breaker, the seal-breaker can spend two uses of his smite good ability at the start of his next turn as a standard action to summon the spirit of a dead murderer to reanimate the corpse as a mohrg. The mohrg immediately rises and attacks the seal breaker&#146;s foes, acting under the antipaladin&#146;s command. After 1 minute, the murderer&#146;s soul leaves the body, which collapses, again lifeless. At 15th level, the seal-breaker can activate this ability as a move action. At 19th level, he can activate this ability as a swift action. This ability replaces aura of vengeance.</p>",systems/pf1/icons/skills/affliction_18.jpg
45,Antipaladin,"[[""Antipaladin],[""Seal-Breaker""]]",Antipaladin (Seal-Breaker),Seal-Breaker,antipaladinfiendishboon_5,5,Corpse Rider (Su),"<p>Upon reaching 5th level, a sealbreaker receives a boon from beyond the grave. This boon can take one of two forms: the seal-breaker can choose to form a bond with his weapon, or he can choose to animate an undead mount to ride.</p><p>If a bonded weapon is selected, this ability works exactly like the antipaladin&#146;s fiendish boon ability.</p><p>If the undead mount ability is selected, the sealbreaker gains the ability to reanimate any Large corpse (or a Medium corpse for Small seal-breakers) as his corpse mount. If no such corpse is present, the seal-breaker cannot summon his mount. The corpse animates as a quadruped of the same size that the seal-breaker can ride, regardless of the corpse&#146;s living form. This corpse mount functions as a druid&#146;s animal companion using the seal-breaker&#146;s level as his effective druid level. The mount has the same base statistics as a heavy horse, pony, boar, camel, or dog (based on its size) with the following changes: its type changes to undead, it has a good Will save and bad Fortitude and Reflex saves, it uses the base creature&#146;s Constitution score as its Charisma score (and likewise applies all level-based advancements to Charisma instead of Constitution), and it has an Intelligence score of at least 6. This ability otherwise functions as and replaces fiendish boon.</p>",systems/pf1/icons/skills/affliction_18.jpg
59,Antipaladin,"[[""Antipaladin],[""Rough Rampage""]]",Antipaladin (Rough Rampage),Rough Rampage,antipaladinauraofcowardice_3,3,Aura of Blood (Su),"<p>At 3rd level, a rough rampager radiates a palpably daunting aura that causes all enemies within 10 feet to take a &#150;4 penalty on Constitution or Heal checks to stop bleed damage and checks to stabilize while dying. This ability functions only while the antipaladin is conscious. This ability replaces aura of cowardice.</p>",systems/pf1/icons/skills/affliction_18.jpg
61,Antipaladin,"[[""Antipaladin],[""Rough Rampage""]]",Antipaladin (Rough Rampage),Rough Rampage,antipaladinauraofdespair_8,8,Aura of Putrefaction (Su),"<p>At 8th level, a rough rampager radiates an aura that causes the wounds of enemies within 10 feet to weep blood. Injured enemies in the area take 1 point of bleed damage per round. This ability functions only while the antipaladin is conscious. This ability replaces aura of despair.</p>",systems/pf1/icons/skills/affliction_18.jpg
63,Antipaladin,"[[""Antipaladin],[""Rough Rampage""]]",Antipaladin (Rough Rampage),Rough Rampage,antipaladinauraofsin_14,14,Aura of Quietus (Su),"<p>At 14th level, a rough rampager radiates an aura that causes the failure of healing spells, spell-like abilities, and supernatural abilities used to restore enemies within 10 feet of him. This is not an antimagic field, however, and ongoing or passive effects are not affected. Casters can overcome this ability with a successful caster level check versus the rough rampager&#146;s class level + 11. This ability replaces aura of sin.</p>",systems/pf1/icons/skills/affliction_18.jpg
88,Antipaladin,"[[""Antipaladin],[""Knight of the Sepulcher""]]",Antipaladin (Knight of the Sepulcher),Knight of the Sepulcher,antipaladinauraofdepravity_17,17,Soul of the Crypt (Su),"<p>At 17th level, a knight of the sepulcher gains DR 5/bludgeoning and good. This ability replaces aura of depravity.</p>",systems/pf1/icons/skills/affliction_18.jpg
89,Antipaladin,"[[""Antipaladin],[""Knight of the Sepulcher""]]",Antipaladin (Knight of the Sepulcher),Knight of the Sepulcher,antipaladinauraofdespair_8,8,Fortitude of the Crypt (Ex),"<p>At 8th level, a knight of the sepulcher gains immunity to poison. He also gains darkvision 60 feet if he does not already possess it. This ability replaces the aura of despair ability.</p>",systems/pf1/icons/skills/affliction_18.jpg
