id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Arcanist,"[[""Arcanist""],[""Arcane Tinkerer""]]",Arcanist (Arcane Tinkerer),Arcane Tinkerer,<id-00003,5,Break Magic Immunity (Su),"<p>At 5th level, an arcane tinkerer can overcome a construct's immunity to magic. When targeting a construct with a spell, the construct is instead treated as if it has spell resistance equal to 15 + the construct's CR. At 11th level, a construct is instead treated as if it has spell resistance equal to 11 + the construct's CR.</p>",systems/pf1/icons/spells/runes-orange-2.jpg
,Arcanist,"[[""Arcanist""],[""Arcane Tinkerer""]]",Arcanist (Arcane Tinkerer),Arcane Tinkerer,<id-00007,1,Manipulate Construct (Su),"<p>An arcane tinkerer can turn the animating magic of a construct against itself. As a standard action, she can expend 1 point from her arcane reservoir to impose a -1 penalty on a single construct's attack and damage rolls for 1 round. The target can attempt a Will save to negate this effect (DC = 10 + half the arcane tinkerer's level + the arcane tinkerer's Charisma modifier). At 7th level, instead of gaining an arcanist exploit, an arcane tinkerer can improve her manipulate construct ability to instead affect a construct with slow for 1 round. At 13th level, if the arcane tinkerer has previously improved this ability, instead of gaining an arcanist exploit, she can improve this ability again to instead cause a construct to become helpless for 1 round.</p>",systems/pf1/icons/spells/runes-orange-2.jpg
,Arcanist,"[[""Arcanist""],[""Blood Arcanist""]]",Arcanist (Blood Arcanist),Blood Arcanist,<id-00007,1,Bloodline,"<p>A blood arcanist selects one bloodline from those available through the sorcerer bloodline class feature. The blood arcanist gains the bloodline arcana and bloodline powers of that bloodline, treating her arcanist level as her sorcerer level. The blood arcanist does not gain the class skill, bonus feats, or bonus spells from her bloodline.</p><p>If the blood arcanist takes levels in another class that grants a bloodline, the bloodlines must be the same type, even if that means that the bloodline of one of her classes must change. Subject to GM discretion, the blood arcanist can change her former bloodline to make them conform.</p><p>This ability replaces the arcanist exploits gained at 1st, 3rd, 9th, and 15th levels, as well as magical supremacy. A blood arcanist cannot select the bloodline development arcanist exploit.</p>",systems/pf1/icons/spells/runes-orange-2.jpg
,Arcanist,"[[""Arcanist""],[""Brown-Fur Transmuter""]]",Arcanist (Brown-Fur Transmuter),Brown-Fur Transmuter,<id-00004,3,Powerful Change (Su),"<p>At 3rd level, the brown-fur transmuter learns to harness the power of her magic to empower her transmutations. Whenever the brown-fur transmuter casts a transmutation spell using one of her arcanist spell slots, she can expend 1 point from her arcane reservoir as a free action to bolster the spell. If the spell grants a bonus to an ability score, the bonus then increases by 2. If it grants a bonus to more than one ability score, only one of the ability scores gains this bonus. The brownfur transmuter cannot expend more than 1 point from her arcane reservoir in this way. This ability replaces the arcanist exploit gained at 3rd level.</p>",systems/pf1/icons/spells/runes-orange-2.jpg
,Arcanist,"[[""Arcanist""],[""Brown-Fur Transmuter""]]",Arcanist (Brown-Fur Transmuter),Brown-Fur Transmuter,<id-00011,9,Share Transmutation (Su),"<p>At 9th level, the brown-fur transmuter can target others with her transmutation spells. A brown-fur transmuter can expend 1 point from her arcane reservoir to change any transmutation spell with a range of personal to a range of touch. Such a spell automatically fails on unwilling creatures. This ability replaces the arcanist exploit gained at 9th level.</p>",systems/pf1/icons/spells/runes-orange-2.jpg
,Arcanist,"[[""Arcanist""],[""Brown-Fur Transmuter""]]",Arcanist (Brown-Fur Transmuter),Brown-Fur Transmuter,<id-00017,20,Transmutation Supremacy (Su),"<p>At 20th level, the brown-fur transmuter learns to fully master the power of transmutation. Whenever she casts a transmutation spell, it is treated as it were affected by the Extend Spell feat without altering the casting time or slot used. (She cannot then alter its duration again with the Extend Spell feat). Whenever she uses her powerful change ability, the bonus increases by 4 instead of 2. Her share transmutation ability can now target a willing creature within 30 feet. This ability replaces magical supremacy.</p>",systems/pf1/icons/spells/runes-orange-2.jpg
,Arcanist,"[[""Arcanist""],[""Eldritch Font""]]",Arcanist (Eldritch Font),Eldritch Font,<id-00017,20,Bottomless Well,"<p>At 20th level, an eldritch font can spend 1 hour studying her spellbook to refuel herself. Doing so allows her to prepare new spells and regain points of arcane reservoir equal to 1/2 her level. She can use this ability multiple times per day, however she still only regains spell slots once per day. This ability replaces magical supremacy.</p>",systems/pf1/icons/spells/runes-orange-2.jpg
,Arcanist,"[[""Arcanist""],[""Eldritch Font""]]",Arcanist (Eldritch Font),Eldritch Font,<id-00004,3,Eldritch Surge (Su),"<p>At 3rd level, an eldritch font can, as a swift action, pour more power into her spells and abilities. She can add 2 to the caster level and DC of a spell, or increase her effective arcanist level by 2 when using an arcanist exploit. She becomes fatigued upon using this ability. If she is already fatigued, she becomes exhausted. If she's already exhausted, or something would prevent her from becoming fatigued or exhausted, she cannot use this ability. This ability does not stack with spending points from her arcane reservoir to increase the spell's caster level or DC (as the arcane reservoir class feature). Only rest can remove fatigue or exhaustion caused by an eldritch surge-spells and abilities have no effect. This ability replaces the arcanist exploit gained at 3rd level.</p>",systems/pf1/icons/spells/runes-orange-2.jpg
,Arcanist,"[[""Arcanist""],[""Eldritch Font""]]",Arcanist (Eldritch Font),Eldritch Font,<id-00019,1,Font of Power,"<p>An eldritch font gains one additional spell slot for each level of arcanist spell she can cast. However, the number of spells of each level that she can prepare reduces by 1. If this reduces her spells prepared for a level to 0, she still gains spell slots of that level, which can be consumed using the consume spells class feature to fuel her arcane reservoir or cast spells using metamagic feats.</p>",systems/pf1/icons/spells/runes-orange-2.jpg
,Arcanist,"[[""Arcanist""],[""Eldritch Font""]]",Arcanist (Eldritch Font),Eldritch Font,<id-00013,13,Greater Surge (Su),"<p>At 13th level, an eldritch font can use her eldritch surge ability to force a creature to reroll a saving throw against one spell or arcanist exploit and take the lower value. The eldritch font must declare the use of this ability before the result of that creature's saving throw is revealed. If the spell or arcanist exploit affects more than one target, only one target is affected by this ability. This ability replaces the arcanist exploit gained at 13th level.</p>",systems/pf1/icons/spells/runes-orange-2.jpg
