id,Class,Tags,Combined,Archetype,,Level,Class Ability,Description,Img
,Barbarian (UC),"[[""Barbarian (UC)""],[""Raging Cannibal""]]",Barbarian (UC) (Raging Cannibal),Raging Cannibal,<id-00005,2,Animal Fury,"<p>At 2nd level, a raging cannibal must select animal fury as her first rage power.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Armored Hulk""]]",Barbarian (UC) (Armored Hulk),Armored Hulk,<id-00004,2,Armored Swiftness,"<p>At 2nd level, an armored hulk moves faster in medium and heavy armor. When wearing medium or heavy armor, an armored hulk can move 5 feet faster than normal, to a maximum of her speed. This ability replaces uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Breaker""]]",Barbarian (UC) (Breaker),Breaker,<id-00006,3,Battle Scavenger,"<p>At 3rd level, the breaker barbarian suffers no penalty on attack rolls when using an improvised weapon or a weapon with the broken condition. In addition, she gains a +1 bonus on damage rolls with improvised or broken weapons for every three levels beyond 3rd. This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Mounted Fury""]]",Barbarian (UC) (Mounted Fury),Mounted Fury,<id-00008,5,Bestial Mount,"<p>At 5th level, the mounted fury gains the service of a feral mount. This ability functions as a druid's animal companion, using the barbarian's level -4 as her effective druid level. This companion must be one that she is capable of riding and is suitable as a mount. A Medium barbarian can select a camel or a horse. A Small barbarian can select a pony or a wolf, but can also select a boar or a dog if she is at least 8th level. Whenever a barbarian is raging while mounted on her bestial mount, the mount gains a +2 morale bonus to its Strength. This ability replaces uncanny dodge and improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Titan Mauler""]]",Barbarian (UC) (Titan Mauler),Titan Mauler,<id-00002,1,Big Game Hunter,<p>A titan mauler gains a +1 bonus on attack rolls and a +1 dodge bonus to AC in melee with creatures larger than themselves. This ability replaces fast movement.</p>,icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Sharptooth""]]",Barbarian (UC) (Sharptooth),Sharptooth,<id-00010,6,Blood in the Water,"<p>At 6th level, a sharptooth can tear the flesh from living creatures. Her attacks add 3 points of bleed damage while she is raging. At 12th level, this bleed damage increases to equal her Constitution modifier if it's higher.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Fearsome Defender""]]",Barbarian (UC) (Fearsome Defender),Fearsome Defender,<id-00008,5,Bloodlust,"<p>At 5th level, a fearsome defender's eagerness for bloodshed makes her quicker to act in a fight. She adds her Charisma modifier to initiative checks and always acts during the surprise round. If the fearsome defender is surprised during the surprise round, she acts last in that round and then determines initiative order normally for the remainder of combat.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Pack Rager""]]",Barbarian (UC) (Pack Rager),Pack Rager,<id-00005,2,Bonus Feat,"<p>At 2nd level and every 4 levels thereafter, the pack rager can take a bonus teamwork feat. This teamwork feat must also be a combat feat.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Wildborn""]]",Barbarian (UC) (Wildborn),Wildborn,<id-00032,4,Bonus Feat,"<p>At 4th level, 10th level and 16th level, a wildborn can choose a bonus feat from the following rather than select a rage power: Alertness, Animal Affinity, Athletic, Great Fortitude, Improvised Weapon Mastery, Iron Will, Lightning Reflexes, Self-Sufficient, Stealthy, or Throw Anything.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Pack Hunter""]]",Barbarian (UC) (Pack Hunter),Pack Hunter,<id-00031,2,Bonus Feats,"<p>Whenever a pack hunter would gain a new rage power, she can instead select a teamwork feat. She must still meet the prerequisites for the teamwork feat.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Shoanti Burn Rider""]]",Barbarian (UC) (Shoanti Burn Rider),Shoanti Burn Rider,<id-00006,3,Cinder Dance,"<p>At 3rd level, when a burn rider succeeds at a Reflex save to avoid fire damage, she can spend an immediate action to move up to half her speed. If the burn rider ends this movement outside the area of effect, she takes no damage from the effect. After this sudden movement, the burn rider is staggered until the end of her next turn. If the burn rider is mounted, her mount makes the movement instead, and both the mount and the burn rider are staggered until the end of the burn rider's next turn. This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Shoanti Burn Rider""]]",Barbarian (UC) (Shoanti Burn Rider),Shoanti Burn Rider,<id-00004,2,Cinder Sight,"<p>At 2nd level, a Shoanti burn rider can see through fire, fog, and smoke without penalty as long as the light is sufficient to allow her to see normally. This ability replaces uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Raging Cannibal""]]",Barbarian (UC) (Raging Cannibal),Raging Cannibal,<id-00004,2,Consume Vigor,"<p>At 2nd level, when a raging cannibal reduces a creature of the same creature type as herself to 0 or fewer hit points with her bite attack during combat while raging, she can consume a chunk of its body to gain a portion of its power. If the creature's CR equals or exceeds her barbarian level, the raging cannibal gains 1 additional round of rage. She can never consume the same creature's vigor more than once. At 5th level and every 3 levels thereafter, the raging cannibal gains 1 additional round of rage each time she uses this ability.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Untamed Rager""]]",Barbarian (UC) (Untamed Rager),Untamed Rager,<id-00008,5,Deplorable Tactics,"<p>At 5th level, the untamed rager gains Greater Dirty Trick as a bonus feat. This ability replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Untamed Rager""]]",Barbarian (UC) (Untamed Rager),Untamed Rager,<id-00004,2,Despicable Tactics,"<p>At 2nd level, the untamed rager gains Improved Dirty Trick as a bonus feat. This ability replaces uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Breaker""]]",Barbarian (UC) (Breaker),Breaker,<id-00002,1,Destructive,"<p>Whenever the breaker barbarian makes a melee attack that targets an unattended object or makes a sunder combat maneuver, she adds half her barbarian level (minimum +1) on the damage roll. This ability replaces fast movement.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Untamed Rager""]]",Barbarian (UC) (Untamed Rager),Untamed Rager,<id-00012,7,Dishonorable,"<p>At 7th level and every 3 barbarian levels thereafter, the untamed rager gains a +1 bonus on combat maneuver checks when performing dirty tricks and to her CMD to resist others' dirty tricks. This ability replaces damage reduction.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Numerian Liberator""]]",Barbarian (UC) (Numerian Liberator),Numerian Liberator,<id-00008,5,Disruptor,"<p>At 5th level, for any foes in a Numerian liberator's threatened area, the DC to cast spells defensively increases by 1. The DC increases by 1 again for every 5 levels thereafter (to a maximum increase of 4 at 20th level). If the barbarian gains the disruptive rage power, the two abilities stack. This ability replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Drunken Rager""]]",Barbarian (UC) (Drunken Rager),Drunken Rager,<id-00002,1,Drunken Rage,"<p>At 1st level, a drunken rager can drink a unit of ale or other strong alcohol while raging to gain 1 drunken rage point. The act of drinking is a standard action that does not provoke attacks of opportunity. At 1st level, the barbarian can have a maximum of 1 drunken rage point; this maximum increases by 1 every 2 levels thereafter. These drunken rage points last for 1 hour or until spent, whichever comes first. The barbarian can use drunken rage points only while raging. Unless otherwise noted, spending a drunken rage point is a free action.</p><p>A drunken rager can spend 1 drunken rage point to increase her movement speed by 20 feet for 1 round, provided she is wearing no armor, light armor, or medium armor and is not carrying a heavy load. She can also spend 1 drunken rage point to gain 1 additional round of her rage class feature, which lasts for 1 hour or until used. This ability replaces fast movement.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Drunken Rager""]]",Barbarian (UC) (Drunken Rager),Drunken Rager,<id-00018,12,Drunken Swing,"<p>At 12th level, a drunken rager can spend 1 drunken rage point as a swift action before making a melee attack to drastically increase the deadliness of her attack. The critical threat range of her next attack that round increases by 1 (for example, a critical threat range of 20 would increase to 19-20). This ability does not stack with any other effect that expands the critical threat range of a weapon. At 16th level and again at 20th level, the barbarian can spend 1 additional drunken rage point to further increase the critical threat range of her next attack (to a maximum critical threat range increase of 3 at 20th level). This ability replaces the rage power gained at 12th level.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
