Class,Tags,Combined,Archetype,id,Level,Class Ability,Description,Img
Barbarian,"[[""Barbarian""],[""Hateful Rager""]]",Barbarian (Hateful Rager),Hateful Rager,<barbariantrapsense_9,9,Amplified by Hate (Ex),"<p>At 9th level, a hateful rager adds half her favored enemy bonus to the DC of any rage power she uses against a favored enemy. This ability replaces trap sense +3.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Raging Cannibal""]]",Barbarian (Raging Cannibal),Raging Cannibal,<barbarianragepowers_2,2,Animal Fury,"<p>While raging, the barbarian gains a bite attack. If used as part of a full attack action, the bite attack is made at the barbarian's full base attack bonus &#150;5. If the bite hits, it deals 1d4 points of damage (assuming the barbarian is Medium; 1d3 points of damage if Small) plus half the barbarian's Strength modifier. A barbarian can make a bite attack as part of the action to maintain or break free from a grapple. This attack is resolved before the grapple check is made. If the bite attack hits, any grapple checks made by the barbarian against the target this round are at a +2 bonus.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Armored Hulk""]]",Barbarian (Armored Hulk),Armored Hulk,<barbarianuncannydodge_2,2,Armored Swiftness (Ex),"<p>At 2nd level, an armored hulk moves faster in medium and heavy armor. When wearing medium or heavy armor, an armored hulk can move 5 feet faster than normal, to a maximum of her speed. This ability replaces uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Breaker""]]",Barbarian (Breaker),Breaker,<barbariantrapsense_3,3,Battle Scavenger (+1),"<p>At 3rd level, the breaker barbarian suffers no penalty on attack rolls when using an improvised weapon or a weapon with the broken condition. In addition, she gains a +1 bonus on damage rolls with improvised or broken weapons for every three levels beyond 3rd. This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Titan Mauler""]]",Barbarian (Titan Mauler),Titan Mauler,<barbarianfastmovement_1,1,Big Game Hunter (Ex),<p>A titan mauler gains a +1 bonus on attack rolls and a +1 dodge bonus to AC in melee with creatures larger than themselves. This ability replaces fast movement.</p>,icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Sharptooth""]]",Barbarian (Sharptooth),Sharptooth,<barbarianragepowers_6,6,Blood in the Water,"<p>At 6th level, a sharptooth can tear the flesh from living creatures. Her attacks add 3 points of bleed damage while she is raging. At 12th level, this bleed damage increases to equal her Constitution modifier if it&#146;s higher.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Fearsome Defender""]]",Barbarian (Fearsome Defender),Fearsome Defender,<barbarianimproveduncannydodge_5,5,Bloodlust (Ex),"<p>At 5th level, a fearsome defender&#146;s eagerness for bloodshed makes her quicker to act in a fight. She adds her Charisma modifier to initiative checks and always acts during the surprise round. If the fearsome defender is surprised during the surprise round, she acts last in that round and then determines initiative order normally for the remainder of combat.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Pack Rager""]]",Barbarian (Pack Rager),Pack Rager,<barbarianragepowers_2,2,Bonus Feat,"<p>At 2nd level and every 4 levels thereafter, the pack rager can take a bonus teamwork feat. This teamwork feat must also be a combat feat. This ability replaces the rage powers gained at 2nd, 6th, 10th, 14th, and 18th level.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Shoanti Burn Rider""]]",Barbarian (Shoanti Burn Rider),Shoanti Burn Rider,<barbariantrapsense_3,3,Cinder Dance (Ex),"<p>At 3rd level, when a burn rider succeeds at a Reflex save to avoid fire damage, she can spend an immediate action to move up to half her speed. If the burn rider ends this movement outside the area of effect, she takes no damage from the effect. After this sudden movement, the burn rider is staggered until the end of her next turn. If the burn rider is mounted, her mount makes the movement instead, and both the mount and the burn rider are staggered until the end of the burn rider&#146;s next turn. This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Shoanti Burn Rider""]]",Barbarian (Shoanti Burn Rider),Shoanti Burn Rider,<barbarianuncannydodge_2,2,Cinder Sight (Ex),"<p>At 2nd level, a Shoanti burn rider can see through fire, fog, and smoke without penalty as long as the light is sufficient to allow her to see normally. This ability replaces uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Raging Cannibal""]]",Barbarian (Raging Cannibal),Raging Cannibal,<barbarianuncannydodge_2,2,Consume Vigor,"<p>At 2nd level, when a raging cannibal reduces a creature of the same creature type as herself to 0 or fewer hit points with her bite attack during combat while raging, she can consume a chunk of its body to gain a portion of its power. If the creature&#146;s CR equals or exceeds her barbarian level, the raging cannibal gains 1 additional round of rage. She can never consume the same creature&#146;s vigor more than once. At 5th level and every 3 levels thereafter, the raging cannibal gains 1 additional round of rage each time she uses this ability.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""<id-00001""]]",Barbarian (Geminate Invoker),Geminate Invoker,<id-00001,1,Contemplative (Ex),"<p>A geminate invoker adds Knowledge (history), Knowledge (religion), and Linguistics to his list of class skills. Unlike most barbarians, a geminate invoker can be lawful, but must maintain a neutral element to his alignment. A geminate invoker who ceases to be neutral-aligned cannot activate his trance ability.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Urban Barbarian""]]",Barbarian (Urban Barbarian),Urban Barbarian,<barbarianrage_1,1,Controlled Rage (Ex),"<p>When an urban barbarian rages, instead of making a normal rage she applies a +4 morale bonus to her Strength, Dexterity, or Constitution. This bonus increases to +6 when she gains greater rage and +8 when she gains mighty rage. She may apply the full bonus to one ability score or may split the bonus between several scores in increments of +2. When using a controlled rage, an urban barbarian gains no bonus on Will saves, takes no penalties to AC, and can still use Intelligence-, Dexterity-, and Charisma-based skills. This ability otherwise follows the normal rules for rage.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Savage Technologist""]]",Barbarian (Savage Technologist),Savage Technologist,<barbarianimproveduncannydodge_5,5,Crack Shot,"<p>At 5th level, a savage technologist adds her Dexterity modifier to her damage rolls when making ranged attacks with a firearm while raging. This ability replaces Improved Uncanny Dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Urban Barbarian""]]",Barbarian (Urban Barbarian),Urban Barbarian,<barbarianfastmovement_1,1,Crowd Control (Ex),"<p>At 1st level, an urban barbarian gains a +1 bonus on attack rolls and a +1 dodge bonus to AC when adjacent to two or more enemies. In addition, her movement is not impeded by crowds, and she gains a bonus equal to 1/2 her barbarian level on Intimidate checks to influence crowds. This ability replaces fast movement.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Deepwater Rager""]]",Barbarian (Deepwater Rager),Deepwater Rager,<barbarianindomitablewill_14,14,Crushing Grapple (Ex),"<p>At 14th level, a deepwater rager gains the constrict special attack (Pathfinder RPG Bestiary 298), which deals an amount of damage equal to the damage her unarmed strike deals.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Wildborn""]]",Barbarian (Wildborn),Wildborn,<barbariandamagereduction_7,7,Damage reduction,"<p>At 7th level, a barbarian gains damage reduction. Subtract 1 from the damage the barbarian takes each time she is dealt damage from a weapon or a natural attack. At 10th level, and every three barbarian levels thereafter (13th, 16th, and 19th level), this damage reduction rises by 1 point. Damage reduction can reduce damage to 0 but not below 0.</p><p>Inexhaustible (Ex): Wildborn live ruggedly and sleep lightly. At 7th level, a wildborn recovers nonlethal damage for each minute of rest as if an hour had passed. She applies twice her damage reduction gained from barbarian levels against nonlethal damage.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Jungle Rager""]]",Barbarian (Jungle Rager),Jungle Rager,<barbariandamagereduction_7,8,Damage reduction,"<p>At 7th level, a barbarian gains damage reduction. Subtract 1 from the damage the barbarian takes each time she is dealt damage from a weapon or a natural attack. At 10th level, and every three barbarian levels thereafter (13th, 16th, and 19th level), this damage reduction rises by 1 point. Damage reduction can reduce damage to 0 but not below 0.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""<id-00001""]]",Barbarian (Dreadnought),Dreadnought,<id-00001,1,Dead Calm (Ex),"<p>A dreadnought can enter a dispassionate killing spree as a free action, granting her additional combat prowess. The dreadnought gains only half the usual bonuses from her rage but takes no penalty to her AC, can use all her normal skills and effects that require concentration, and is not fatigued when her rage ends. The dreadnought cannot enter a rage for 1 minute after she ends her rage, and she cannot charge or run while under the effects of her rage.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Untamed Rager""]]",Barbarian (Untamed Rager),Untamed Rager,<barbarianimproveduncannydodge_5,5,Deplorable Tactics,"<p>At 5th level, the untamed rager gains Greater Dirty Trick as a bonus feat. This ability replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Untamed Rager""]]",Barbarian (Untamed Rager),Untamed Rager,<barbarianuncannydodge_2,2,Despicable Tactics,"<p>At 2nd level, the untamed rager gains Improved Dirty Trick as a bonus feat. This ability replaces uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Breaker""]]",Barbarian (Breaker),Breaker,<barbarianfastmovement_1,1,Destructive (Ex),"<p>Whenever the breaker barbarian makes a melee attack that targets an unattended object or makes a sunder combat maneuver, she adds half her barbarian level (minimum +1) on the damage roll. This ability replaces fast movement.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Untamed Rager""]]",Barbarian (Untamed Rager),Untamed Rager,<barbariandamagereduction_7,7,Dishonorable,"<p>At 7th level and every 3 barbarian levels thereafter, the untamed rager gains a +1 bonus on combat maneuver checks when performing dirty tricks and to her CMD to resist others&#146; dirty tricks. This ability replaces damage reduction.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
