id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Bard,"[[""Bard""],[""Animal Speaker""]]",Bard (Animal Speaker),Animal Speaker,<bardfascinate_1,1,Animal Friend,"<p>An animal speaker selects a particular kind of animal, such as apes, badgers, bears, boars, cats, snakes, and so on. The bard gains a +4 bonus on Handle Animal checks to influence animals of his chosen kind. Animals of this kind have a starting attitude of at least &#147;indifferent&#148; toward the bard and never attack him unless he attacks them first.</p><p>Animal companions and magically controlled animals of the bard's chosen kind can be directed to attack the bard if the controlling creature wins an opposed Charisma check against the bard (this check can be made once per round until it succeeds, after which no further checks are needed). Supernatural versions of animals (such as animals with the fiendish template) can attempt an opposed Charisma check against the bard with a +4 bonus on its roll to overcome this hesitation. This ability has no effect on creatures other than animals. This ability replaces fascinate.</p>",icons/tools/instruments/harp-lap-brown.webp
,Bard,"[[""Bard""],[""Animal Speaker""]]",Bard (Animal Speaker),Animal Speaker,<bardsuggestion_6,6,Attract Rats,"<p>At 6th level, the animal speaker can use bardic performance to summon 1d3 rat swarms; they remain as long as he continues performing. At 11th level, he summons 2d3 swarms instead of 1d3 and the swarms have the advanced creature simple template. At 17th level, the number of swarms he summons increases to 3d3. This ability replaces suggestion.</p>",icons/tools/instruments/harp-lap-brown.webp
,Bard,"[[""Bard""],[""Animal Speaker""]]",Bard (Animal Speaker),Animal Speaker,<bardwellversed_2,5,Nature's Speaker,"<p>At 5th, 11th, and 17th level, the animal speaker selects another kind of animal friend. The bard can use speak with animals at will on animals of his selected kinds. This ability replaces well-versed.</p>",icons/tools/instruments/harp-lap-brown.webp
,Bard,"[[""Bard""],[""Animal Speaker""]]",Bard (Animal Speaker),Animal Speaker,<bardinspirecompetence_3,3,Soothing Performance,"<p>At 3rd level, an animal speaker can use bardic performance to influence animals. This works like the druid ability wild empathy, except he expends 1 round of bardic performance and makes a Perform check. If the bard already has wild empathy from another class, he adds the class levels that provide wild empathy to the result of his Perform check to influence an animal. This ability replaces inspire competence.</p>",icons/tools/instruments/harp-lap-brown.webp
,Bard,"[[""Bard""],[""Animal Speaker""]]",Bard (Animal Speaker),Animal Speaker,<bardinspirecompetence_15,1,Summon Nature's Ally,"<p>At 1st level, the animal speaker adds summon nature's ally I to his bard spell list and bard spells known as a 1st-level spell. At 4th level (when he gains access to 2nd-level spells) he adds summon nature's ally II to his spell list and spells known as a 2nd-level spell, and so on every 3 levels thereafter, until 16th level when he adds summon nature's ally VI to his 6th-level spell list and spells known. This replaces mass suggestion</p>",icons/tools/instruments/harp-lap-brown.webp
,Bard,"[[""Bard""],[""Animal Speaker""]]",Bard (Animal Speaker),Animal Speaker,<bardversatileperformance_2,2,Versatile performance,"<p>At 2nd level, a bard can choose one type of Perform skill. He can use his bonus in that skill in place of his bonus in associated skills. When substituting in this way, the bard uses his total Perform skill bonus, including class skill bonus, in place of its associated skill's bonus, whether or not he has ranks in that skill or if it is a class skill. At 6th level, and every 4 levels thereafter, the bard can select an additional type of Perform to substitute.The types of Perform and their associated skills are - Act (Bluff, Disguise), Comedy (Bluff, Intimidate), Dance (Acrobatics, Fly), Keyboard Instruments (Diplomacy, Intimidate), Oratory (Diplomacy, Sense Motive), Percussion (Handle Animal, Intimidate), Sing (Bluff, Sense Motive), String (Bluff, Diplomacy), and Wind (Diplomacy, Handle Animal).</p>",icons/tools/instruments/harp-lap-brown.webp
,Bard,"[[""Bard""],[""Arcane Duelist""]]",Bard (Arcane Duelist),Arcane Duelist,<bardjackofalltrades_10,10,Arcane Armor,"<p>At 10th level, an arcane duelist gains Medium Armor Proficiency and can cast bard spells in medium armor with no chance of arcane spell failure. At 16th level, he gains Heavy Armor Proficiency and can cast bard spells in heavy armor with no arcane spell failure. This ability replaces jack of all trades.</p>",icons/tools/instruments/harp-lap-brown.webp
,Bard,"[[""Bard""],[""Arcane Duelist""]]",Bard (Arcane Duelist),Arcane Duelist,<bardloremaster_5,5,Arcane Bond,"<p>At 5th level, an arcane duelist gains the arcane bond ability as a wizard, using a weapon as his bonded item, allowing him to cast any one addition spell that he knows once per day. He may not choose a familiar or other type of bonded item. He may use the hand holding his bonded weapon for somatic components. This ability replaces lore master.</p>",icons/tools/instruments/harp-lap-brown.webp
,Bard,"[[""Bard""],[""Arcane Duelist""]]",Bard (Arcane Duelist),Arcane Duelist,<bardbardicknowledge_1,1,Arcane Strike,<p>Arcane duelists gain Arcane Strike as a bonus feat at 1st level. This ability replaces bardic knowledge.</p>,icons/tools/instruments/harp-lap-brown.webp
,Bard,"[[""Bard""],[""Arcane Duelist""]]",Bard (Arcane Duelist),Arcane Duelist,<bardsuggestion_6,6,Bladethirst,"<p>An arcane duelist of 6th level or higher may use performance to grant one weapon, one natural weapon, one end of a double weapon, or 50 items of ammunition of the same type within 30 feet a +1 enhancement bonus. This enhancement bonus increases by +1 for every three levels after 6th (maximum +5 at 18th level). These bonuses stack with existing bonuses and may be used to increase the item's enhancement bonus up to +5 or to add any of the following weapon properties: defending, distance, ghost touch, keen, mighty cleaving, returning, shock, shocking burst, seeking, speed, or wounding. If the weapon is not magical, at least a +1 enhancement bonus must be added before adding special abilities. This performance replaces suggestion.</p>",icons/tools/instruments/harp-lap-brown.webp
,Bard,"[[""Bard""],[""Arcane Duelist""]]",Bard (Arcane Duelist),Arcane Duelist,<bardversatileperformance_2,2,Bonus Feat,"<p>An arcane duelist weaves might and magic in his combat style, gaining the following bonus feats at 2nd level and every four levels thereafter: 2nd level-Combat Casting, 6th level-Disruptive, 10th level-Spellbreaker, 14th level-Penetrating Strike, 18th level-Greater Penetrating Strike. This ability replaces versatile performance and well-versed.</p>",icons/tools/instruments/harp-lap-brown.webp
,Bard,"[[""Bard""],[""Arcane Duelist""]]",Bard (Arcane Duelist),Arcane Duelist,<bardmasssuggestion_18,18,Mass Bladethirst,"<p>An arcane duelist of 18th level or higher can use his bladethirst performance to enhance the weapons of as many allies as desired within 30 feet. The bonus provided by this power is +4 if conferred on two allies, +3 for three allies, +2 for four allies, and +1 for five or more allies. The power granted to each weapon must be identical. This ability replaces mass suggestion.</p>",icons/tools/instruments/harp-lap-brown.webp
,Bard,"[[""Bard""],[""Arcane Duelist""]]",Bard (Arcane Duelist),Arcane Duelist,<bardcountersong_1,1,Rallying Cry,"<p>At 1st level, an arcane duelist can use performance to rally dispirited allies. Each round he makes an Intimidate check. Any ally (including the bard) within 30 feet may use this check in place of his own saving throw against fear and despair effects. Those already under a fear or despair effect can attempt a new save each round using the bard's Intimidate check. Rallying cry does not work on effects that don't allow saves. This is a mind-affecting ability that uses audible components. This performance replaces countersong.</p>",icons/tools/instruments/harp-lap-brown.webp
,Bard,"[[""Bard""],[""Arcane Healer""]]",Bard (Arcane Healer),Arcane Healer,<bardversatileperformance_2,2,Channel Energy,"<p>At 2nd level, an arcane healer gains the ability to channel positive energy as a cleric of one level lower than his level. If a creature within the channeled energy's area of effect would be allowed a save against its effects, the DC is equal to 10 + 1/2 the arcane healer's level + the arcane healer's Charisma modifier. An arcane healer can use this ability once per day at 2nd level, gaining an additional use per day every four levels thereafter (6th, 10th, 14th, and 18th), to a maximum of 5 times per day at 18th level. This ability replaces versatile performance.</p>",icons/tools/instruments/harp-lap-brown.webp
,Bard,"[[""Bard""],[""Arcane Healer""]]",Bard (Arcane Healer),Arcane Healer,<bardloremaster_5,5,Inspiring Healing (CLW),"<p>At 5th level, an arcane healer gains the ability to expend rounds of his bardic performance to provide extra healing to his allies. By expending 2 rounds of bardic performance, an arcane healer can cast cure light wounds as a spell-like ability. At 11th level, the arcane healer can expend 2 rounds of bardic performance to cast cure moderate wounds as a spell-like ability. At 17th level, he may instead expend 2 rounds of bardic performance to cast cure serious wounds as a spell-like ability. No single target may be affected by an arcane healer's inspiring healing ability more than once in a 24-hour period. This ability replaces loremaster.</p>",icons/tools/instruments/harp-lap-brown.webp
,Bard,"[[""Bard""],[""Archaeologist""]]",Bard (Archaeologist),Archaeologist,<id-00016,12,Advanced Talent,"<p>At 12th level, and every four levels thereafter, an archaeologist can choose an advanced rogue talent in place of a rogue talent.</p>",icons/tools/instruments/harp-lap-brown.webp
,Bard,"[[""Bard""],[""Archaeologist""]]",Bard (Archaeologist),Archaeologist,<bardbardicperformance_1,1,Archaeologist's Luck,"<p>Fortune favors the archaeologist. As a swift action, an archaeologist can call on fortune's favor, giving him a +1 luck bonus on attack rolls, saving throws, skill checks, and weapon damage rolls. He can use this ability for a number of rounds per day equal to 4 + his Charisma modifier. Maintaining this bonus is a free action, but it ends immediately if the archaeologist is killed, paralyzed, stunned, knocked unconscious, or otherwise prevented from taking a free action to maintain it each round. Archaeologist's luck is treated as bardic performance for the purposes of feats, abilities, effects, and the like that affect bardic performance. Like bardic performance, it cannot be maintained at the same time as other performance abilities. This bonus increases to +2 at 5th level, +3 at 11th level, and +4 at 17th level.</p>",icons/tools/instruments/harp-lap-brown.webp
,Bard,"[[""Bard""],[""Archaeologist""]]",Bard (Archaeologist),Archaeologist,<bardversatileperformance_2,2,Clever Explorer,"<p>At 2nd level, an archaeologist gains a bonus equal to half his class level on Disable Device and Perception checks. He can disable intricate and complex devices in half the normal amount of time (minimum 1 round) and open a lock as a standard action. At 6th level, an archaeologist can take 10 on Disable Device checks, even if distracted or endangered, and can disarm magical traps. This ability replaces the versatile performance ability.</p>",icons/tools/instruments/harp-lap-brown.webp
,Bard,"[[""Bard""],[""Archaeologist""]]",Bard (Archaeologist),Archaeologist,<bardsuggestion_6,6,Evasion,"<p>At 6th level, an archaeologist gains evasion, as the rogue ability of the same name.</p>",icons/tools/instruments/harp-lap-brown.webp
,Bard,"[[""Bard""],[""Archaeologist""]]",Bard (Archaeologist),Archaeologist,<id-00015,4,Rogue Talents,"<p>At 4th level, an archaeologist gains a rogue talent. He gains an additional rogue talent for every four levels of archaeologist gained after 4th level. Otherwise, this works as the rogue's rogue talent ability.</p>",icons/tools/instruments/harp-lap-brown.webp
,Bard,"[[""Bard""],[""Archaeologist""]]",Bard (Archaeologist),Archaeologist,<bardinspirecompetence_3,3,Trap Sense,"<p>A bard of 3rd level or higher can use his performance to help an ally succeed at a task. That ally must be within 30 feet and be able to hear the bard. The ally gets a +2 competence bonus on skill checks with a particular skill as long as she continues to hear the bard's performance. This bonus increases by +1 for every four levels the bard has attained beyond 3rd (+3 at 7th, +4 at 11th, +5 at 15th, and +6 at 19th). Certain uses of this ability are infeasible, such as Stealth, and may be disallowed at the GM's discretion. A bard can't inspire competence in himself. Inspire competence relies on audible components.</p>",icons/tools/instruments/harp-lap-brown.webp
,Bard,"[[""Bard""],[""Archaeologist""]]",Bard (Archaeologist),Archaeologist,<id-00005,6,Trap Sense,"<p>At 3rd level, an archaeologist gains trap sense +1, as the rogue class feature of the same name. This bonus improves by +1 for every three levels gained after 3rd, to a maximum of +6 at 18th level.</p>",icons/tools/instruments/harp-lap-brown.webp
,Bard,"[[""Bard""],[""Archaeologist""]]",Bard (Archaeologist),Archaeologist,<bardwellversed_2,2,Uncanny Dodge,"<p>At 2nd level, an archaeologist gains uncanny dodge, as the rogue class feature of the same name. This ability replaces well-versed.</p>",icons/tools/instruments/harp-lap-brown.webp
,Bard,"[[""Bard""],[""Archivist""]]",Bard (Archivist),Archivist,<bardjackofalltrades_10,5,Jack of All Trades,"<p>At 5th level, an archivist can use any skill, even if the skill normally requires him to be trained. At 11th level, he considers all skills to be class skills, and at 17th level he can take 10 on any skill check, even if it is not normally allowed. This ability replaces lore master.</p>",icons/tools/instruments/harp-lap-brown.webp
,Bard,"[[""Bard""],[""Archivist""]]",Bard (Archivist),Archivist,<bardsuggestion_6,6,Lamentable Belaborment,"<p>At 6th level, an archivist can bewilder a creature already fascinated by his performance. Using this ability does not disrupt the fascinate effect, but it does require a standard action to activate (in addition to the free action to continue the fascinate effect). The target must make a Will save (DC 10 + 1/2 the bard's level + the bard's Cha modifier). Success renders the target immune to this power for 24 hours, but failure leaves the target either dazed or confused (archivist's choice) for as long as the performance continues. If the target takes damage, this effect ends immediately. This mind-affecting ability relies on audible components. This ability replaces suggestion.</p>",icons/tools/instruments/harp-lap-brown.webp
