<<<<<<< HEAD
id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Brawler,"[[""Brawler""],[""Wild Child""]]",Brawler (Wild Child),Wild Child,<id-00010,1,Animal Companion,"<p>At 1st level, a wild child forms a bond with a loyal companion that accompanies the wild child on his adventures. A wild child can begin play with any of the animals available to a druid. The wild child uses his brawler level as his effective druid level for determining the abilities of his animal companion. This ability replaces the bonus combat feats gained at 2nd, 8th, 14th, and 20th levels.</p>",systems/pf1/icons/skills/fire_07.jpg
,Brawler,"[[""Brawler""],[""Living Avalanche""]]",Brawler (Living Avalanche),Living Avalanche,<id-00003,16,Avalanche,"<p>At 16th level, a living avalanche can attempt to overrun multiple creatures as a full-round action. The living avalanche moves up to twice her speed in a straight line and attempts an overrun combat maneuver against each creature in her path, as long as that creature is no more than two size categories larger than herself. Each creature she succeeds against is knocked prone and takes damage as if the living avalanche hit it with a close weapon she is wielding or an unarmed strike. If she fails her combat maneuver check against a creature, she stops her movement in the space directly in front of the creature.</p>",systems/pf1/icons/skills/fire_07.jpg
,Brawler,"[[""Brawler""],[""Bouncer""]]",Brawler (Bouncer),Bouncer,<id-00004,5,Bar Fight Mastery,"<p>At 5th level, in addition to the benefits of close weapon mastery, when a bouncer confirms a critical hit against a major participant in a bar fight, she also reduces the tenacity of the crowd by her normal brawling damage amount (this amount isn't doubled).</p>",systems/pf1/icons/skills/fire_07.jpg
,Brawler,"[[""Brawler""],[""Ulfen Beast-Wrestler""]]",Brawler (Ulfen Beast-Wrestler),Ulfen Beast-Wrestler,<id-00007,4,Beast Defenses,"<p>At 4th level, when facing enemies she selected with beast training, the beast-wrestler gains a bonus to AC equal to 1/2 her beast training bonus against that creature. This ability replaces AC bonus.</p>",systems/pf1/icons/skills/fire_07.jpg
,Brawler,"[[""Brawler""],[""Ulfen Beast-Wrestler""]]",Brawler (Ulfen Beast-Wrestler),Ulfen Beast-Wrestler,<id-00008,3,Beast Training,"<p>At 3rd level, an Ulfen beast-wrestler selects a creature type from the Ranger Favored Enemies table. The only humanoid subtype the beast-wrestler can select is giant. She gains a +2 bonus on combat maneuver checks and to her CMD against creatures of the type she selected.</p><p>At 7th, 11th, 15th, and 19th levels, the Ulfen beast-wrestler can select an additional type of creature. In addition, at each such interval the bonuses against any one type of creature she's chosen (including the one just selected, if so desired) increase by 2. If a specific creature falls into more than one category, the beast-wrestler's bonuses don't stack; she simply uses whichever bonus is higher. This ability replaces maneuver training.</p>",systems/pf1/icons/skills/fire_07.jpg
,Brawler,"[[""Brawler""],[""Mutagenic Mauler""]]",Brawler (Mutagenic Mauler),Mutagenic Mauler,<id-00007,4,Beastmorph,"<p>Starting at 4th level, a mutagenic mauler gains additional abilities when using her mutagen. At 4th level, she gains low-light vision and a +10 enhancement bonus to her base speed. At 9th level, she gains darkvision to a range of 30 feet and a climb speed of 15 feet. At 13th level, the enhancement bonus to her base speed increases to +15 feet and she gains the scent ability within 30 feet. At 18th level, her climb speed increases to 30 feet, and the enhancement bonus to her base speed increases to +20 feet. This ability replaces AC bonus.</p>",systems/pf1/icons/skills/fire_07.jpg
,Brawler,"[[""Brawler""],[""Constructed Pugilist""]]",Brawler (Constructed Pugilist),Constructed Pugilist,<id-00010,2,Bonus Combat Feat,"<p>At 2nd level and every 3 levels thereafter, a brawler gains a bonus combat feat in addition to those gained from normal advancement. These bonus feats must be ones that affect or improve her defenses or melee attacks. The brawler must meet the prerequisites of the selected bonus combat feat.</p><p>Upon reaching 5th level and every 3 levels thereafter, a brawler can choose to learn a new bonus combat feat in place of a bonus combat feat she has already learned. In effect, the brawler loses the bonus combat feat in exchange for the new one. The old feat cannot be one that was used as a prerequisite for another feat, prestige class, or other ability. A brawler can only change one feat at any given level, and must choose whether or not to swap the feat at the time she gains a new bonus combat feat for the level.</p><p>At 2nd level, a constructed pugilist adds Craft Magic Arms and Armor, Master Craftsman (Craft [weapons]), and Skill Focus (Craft [weapons]) to the list of bonus feats she can choose (instead of just combat feats).</p>",systems/pf1/icons/skills/fire_07.jpg
,Brawler,"[[""Brawler""],[""Exemplar""]]",Brawler (Exemplar),Exemplar,<id-00011,1,Call to Arms,"<p>At 1st level, an exemplar can expend a use of martial flexibility to rouse her allies into action. All allies within 30 feet are no longer flat-footed, even if they are surprised. Using this ability is a move action. At 6th level, the exemplar can use it as a swift action instead. At 10th level, she can use it as a free action. At 12th level, she can use it as an immediate action. This ability replaces unarmed strike and close weapon mastery.</p>",systems/pf1/icons/skills/fire_07.jpg
,Brawler,"[[""Brawler""],[""Shield Champion""]]",Brawler (Shield Champion),Shield Champion,<id-00022,15,Champion Defense,"<p>At 15th level, once per day when she would be reduced to 0 or fewer hit points by damage in combat from a weapon, unarmed, or natural attack, the shield champion can attempt to absorb all the damage with her shield. To use this ability, the shield champion must attempt a Fortitude saving throw, with the DC equal to the damage dealt. If it succeeds, she takes only half damage from the blow; otherwise, she takes full damage. She must be aware of the attack and able to react to it in order to use this ability-if she is denied her Dexterity bonus to AC, she can't use this ability. At 19th level, she can use this ability twice per day. This ability replaces the maneuver training gained at 15th and 19th levels.</p>",systems/pf1/icons/skills/fire_07.jpg
,Brawler,"[[""Brawler""],[""Constructed Pugilist""]]",Brawler (Constructed Pugilist),Constructed Pugilist,<id-00028,1,Constructed Limb,"<p>A constructed pugilist begins play with a special prosthetic limb built for fighting and typically made of iron, steel, stone, or wood, with the corresponding hardness and hit points (see Table 7-13). She treats attacks with this limb as unarmed strikes that gain all the benefits of the brawler's unarmed strike class feature. She treats the limb as a light weapon and is proficient with it. Removing or reattaching the constructed limb takes 10 minutes.</p><p>The constructed pugilist can improve her constructed limb as if it were a normal melee weapon. For the purpose of rebuilding the limb as a masterwork weapon, rebuilding the limb out of a special material, or adding certain magical special abilities to it, the limb counts as a one-handed melee weapon that costs 60 gp and weighs 6 pounds-though it is specially fitted to the constructed pugilist and can't be resold or used by anyone else. A constructed limb can benefit from either its own enhancement bonus and special abilities or those granted by an amulet of mighty fists, but if it would benefit from both simultaneously, it benefits only from the source with the higher effective enhancement bonus (the limb benefits from its own abilities in the case of a tie).</p>",systems/pf1/icons/skills/fire_07.jpg
