id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Cavalier,"[[""Cavalier""],[""Beast Rider""]]",Cavalier (Beast Rider),Beast Rider,<id-00001,1,Exotic Mount,"<p>At 1st level, a beast rider forms a bond with a strong, loyal companion that permits him to ride it as a mount. This mount functions as a druid's animal companion, using the beast rider's level as his effective druid level. The animal chosen as a mount must be large enough to carry the beast rider (Medium or Large for a Small character; Large or Huge for a Medium character).</p><p>The beast rider does not take an armor check penalty on Ride checks while riding his mount. The mount is always considered combat trained, and begins play with Endurance as a bonus feat. A beast rider's mount does not gain the share spells special ability.</p><p>Each time the beast rider increases in level, he can choose to select a new, more impressive mount better suited to his increased power.</p><p>Small-sized beast riders can choose a pony or wolf mount at 1st level. At 4th level, a Small beast rider can also choose an allosaurus, ankylosaurus, arsinoitherium, aurochs, bison, boar, brachiosaurus, elephant, glyptodon, hippopotamus, mastodon, megaloceros, riding dog, snapping turtle (giant), triceratops, or tyrannosaurus. At 7th level, he can also choose a dinosaur (deinonychus or velociraptor).</p><p>Medium beast riders can choose a camel or horse mount at 1st level. At 4th level, a Medium beast rider can also choose an allosaurus, ankylosaurus, arsinoitherium, aurochs, bison, brachiosaurus, elephant, glyptodon, hippopotamus, lion, mastodon, megaloceros, snapping turtle (giant), tiger, triceratops, or tyrannosaurus as his mount. Additional mounts might be available with GM approval.</p><p>In addition, a 7th-level or higher Medium beast rider can select any creature whose natural size is Large or Huge, provided that creature is normally available as a Medium-sized animal companion at 7th level (like a bear). To generate statistics for such a mount, apply the following modifications: Size Large; Ability Scores Str +2, Dex -2, Con +2. Increase the damage of each of the mount's natural attacks by one die size. A beast rider cannot choose a mount that is not capable of bearing his weight, that has fewer than four legs, or that has a fly speed (although the GM may allow mounts with a swim speed in certain environments).</p><p>Anytime a feat or ability allows a mount to make a hoof attack, it can make a claw, slam, or other analogous attack instead.</p>",icons/tools/smithing/horseshoe-steel-blue.webp
,Cavalier,"[[""Cavalier""],[""Beast Rider""]]",Cavalier (Beast Rider),Beast Rider,<cavaliercavalierweaponandarmorproficiency_1,1,Weapon and Armor Proficiency,"<p>A beast rider is proficient with light and medium armor, and with shields (with the exception of tower shields).</p>",icons/tools/smithing/horseshoe-steel-blue.webp
,Cavalier,"[[""Cavalier""],[""Castellan""]]",Cavalier (Castellan),Castellan,<cavaliermount_1,1,Castle Defender,"<p>At 1st level, a castellan gains a +1 bonus to Armor Class and an additional +1 bonus on attack rolls when he is on higher ground. He also gains an additional +1 bonus to Armor Class and on Reflex saves when he has cover other than soft cover from other creatures. At 6th level, a castellan gains evasion (as a rogue) when he has cover (but not soft cover) against the source of the attack. At 11th level, these bonuses increase by 1. At 16th level, he gains improved evasion instead of evasion. Both the evasion and improved evasion abilities work even when the castellan wears medium or heavy armor. This ability replaces mount.</p>",icons/tools/smithing/horseshoe-steel-blue.webp
,Cavalier,"[[""Cavalier""],[""Castellan""]]",Cavalier (Castellan),Castellan,<cavaliercavalierscharge_3,3,Castle Lore,"<p>At 3rd level, the castellan gains a +2 bonus on initiative checks and Knowledge (engineering), Knowledge (local), Knowledge (nobility), Perception, and Stealth checks when he is in urban terrain, including fortifications. A castellan in an urban environment can always act in a surprise round, though he remains flat-footed until he acts. At 8th level and every 5 levels thereafter, the castellan's bonuses on skill and initiative checks increase by 2. This ability replaces cavalier's charge.</p>",icons/tools/smithing/horseshoe-steel-blue.webp
,Cavalier,"[[""Cavalier""],[""Castellan""]]",Cavalier (Castellan),Castellan,<cavalierdemandingchallenge_12,12,Defending Challenge,"<p>At 12th level, the castellan takes no penalty to Armor Class when using his challenge ability. This ability replaces demanding challenge.</p>",icons/tools/smithing/horseshoe-steel-blue.webp
,Cavalier,"[[""Cavalier""],[""Castellan""]]",Cavalier (Castellan),Castellan,<cavalierexperttrainer_4,4,Guard Companion,"<p>At 4th level, the castellan forms a bond with an animal companion that serves as a guard. While most castellans select birds or canines, the castellan can choose any animal companions available to rangers. This ability functions like the druid nature bond ability, except that the castellan's effective druid level is equal to his cavalier level - 3 and his animal companion doesn't gain the share spells special ability. This ability replaces expert trainer.</p>",icons/tools/smithing/horseshoe-steel-blue.webp
,Cavalier,"[[""Cavalier""],[""Castellan""]]",Cavalier (Castellan),Castellan,<cavaliermightycharge_11,11,Mighty Defense,"<p>At 11th level, when the castellan readies an action to make a melee attack against a creature that is not yet adjacent to him, he doubles the threat range of any melee weapons wielded during the attack. This increase doesn't stack with other effects that increase the threat range of his weapons. In addition, the cavalier can attempt a free dirty trick, disarm, sunder, or trip combat maneuver if his readied attack is successful. This free combat maneuver doesn't provoke an attack of opportunity. This ability replaces mighty charge.</p>",icons/tools/smithing/horseshoe-steel-blue.webp
,Cavalier,"[[""Cavalier""],[""Castellan""]]",Cavalier (Castellan),Castellan,<cavaliersupremecharge_20,20,Supreme Defense,"<p>At 20th level, whenever the castellan readies an action to make a melee attack against a creature that is not yet adjacent to him, his readied attack deals double the normal amount of damage (or triple the damage if using a brace weapon against a charge). In addition, if the cavalier confirms a critical hit on the readied attack, the target is stunned for 1d4 rounds. A successful Will save (DC = 10 + the cavalier's class level + the cavalier's Strength modifier) reduces this to being staggered for 1d4 rounds. This ability replaces supreme charge.</p>",icons/tools/smithing/horseshoe-steel-blue.webp
,Cavalier,"[[""Cavalier""],[""Charger""]]",Cavalier (Charger),Charger,<cavalierexperttrainer_4,4,Courser,"<p>At 4th level, a charger's constant training increases his land speed by 10 feet. A charger can also move through up to 10 feet of difficult terrain each round as if it were normal terrain. These benefits apply only when he is wearing no armor, light armor, or medium armor, and not carrying a heavy load. Apply this bonus before modifying the charger's speed because of any load carried or armor worn. These bonuses stack with any other bonuses to the charger's land speed or ability to ignore difficult terrain. This ability replaces expert trainer.</p>",icons/tools/smithing/horseshoe-steel-blue.webp
,Cavalier,"[[""Cavalier""],[""Charger""]]",Cavalier (Charger),Charger,<cavaliermount_1,1,Natural Mount,"<p>A charger counts as having the Mounted Combat feat only for the purpose of meeting feat prerequisites, and substitutes the Acrobatics skill for any Ride skill prerequisites when acquiring feats that have Mounted Combat as a prerequisite. Because of his equine form, a charger can wield a lance one-handed as if mounted and deals double damage with a lance while charging. A charger can never gain the benefit of the Mounted Combat feat (or other similar feats or effects, such as Trick Riding) if ridden by another creature. This ability replaces mount.</p>",icons/tools/smithing/horseshoe-steel-blue.webp
