id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Cleric,"[[""Cleric""],[""Angelfire Apostle""]]",Cleric (Angelfire Apostle),Angelfire Apostle,<id-00001,1,Diminished Spellcasting,"<p>An angelfire apostle is less concerned with the traditional divine magic that many religious adherents receive. The angelfire apostle receives one fewer spell slot at each spell level. When an angelfire apostle gets no spells per day at a spell level, he can cast domain spells of that level normally, but can only cast nondomain spells of that level if he gets them as bonus spells.</p>",icons/equipment/neck/amulet-carved-stone-cross.webp
,Cleric,"[[""Cleric""],[""Angelfire Apostle""]]",Cleric (Angelfire Apostle),Angelfire Apostle,<id-00003,1,Channel Angelfire,"<p>An angelfire apostle must be of good or neutral alignment and must choose to channel positive energy, even if his deity is neutral or if he is not devoted to a particular deity. When an angelfire apostle channels positive energy, affected nongood creatures are dazzled for 1 round, with no saving throw for this effect, in addition to experiencing the normal effects of channel energy.</p>",icons/equipment/neck/amulet-carved-stone-cross.webp
,Cleric,"[[""Cleric""],[""Angelfire Apostle""]]",Cleric (Angelfire Apostle),Angelfire Apostle,<id-00002,1,Extra Channel,"<p>At 1st level, the angelfire apostle gains Extra Channel as a bonus feat.</p>",icons/equipment/neck/amulet-carved-stone-cross.webp
,Cleric,"[[""Cleric""],[""Angelfire Apostle""]]",Cleric (Angelfire Apostle),Angelfire Apostle,<id-00004,5,Versatile Healing Channel,"<p>At 5th level, the angelfire apostle can spend two uses of his channel energy ability to cast remove blindness/deafness or lesser restoration as a spell-like ability. At 7th level, he can choose remove disease or remove paralysis. At 9th level, he can choose neutralize poison. At 11th level, he can choose breath of life. At 13th level, he can choose heal. At 15th level, he can choose regenerate. At 17th level, he can choose restoration but cannot affect permanent negative levels. At 19th level, he can choose resurrection but can affect only a target that has been dead no more than 1 round per his cleric level.</p>",icons/equipment/neck/amulet-carved-stone-cross.webp
,Cleric,"[[""Cleric""],[""Angelfire Apostle""]]",Cleric (Angelfire Apostle),Angelfire Apostle,<id-00005,9,Cleansing Flames,"<p>At 9th level, the angelfire apostle becomes a direct conduit for the righteous power of his deity. Whenever the angelfire apostle casts a spell that belongs to the healing subschool that is a lower spell level than the highest spell he can cast, he can unleash a blast of flames as a swift action by expending one use of his channel energy ability. The flames last for 1 round and fill a contiguous area equal to one 10-foot cube per level of the healing spell cast (at least one side of the cube must be adjacent to the angelfire apostle's space). The flames deal 1d4 points of damage per spell level. Half of the damage is fire damage, and half is raw divine power not subject to fire resistance or immunity. Any creature in the area can halve the damage with a successful Reflex saving throw against the spell's DC. The angelfire apostle can use this ability a number of times per day equal to his Charisma modifier.</p>",icons/equipment/neck/amulet-carved-stone-cross.webp
,Cleric,"[[""Cleric""],[""Asmodean Advocate""]]",Cleric (Asmodean Advocate),Asmodean Advocate,<id-00002,1,Pact-Bound,"<p>An Asmodean advocate must choose Asmodeus as her deity and select the Trickery domain. She does not gain a second domain. If she ever changes her deity, she loses this archetype and becomes a normal ex-cleric. This ability alters domains.</p>",icons/equipment/neck/amulet-carved-stone-cross.webp
,Cleric,"[[""Cleric""],[""Asmodean Advocate""]]",Cleric (Asmodean Advocate),Asmodean Advocate,<id-00001,1,Serpent,"<p>At 1st level, an Asmodean advocate gains a familiar as the arcane bond class feature, using her cleric level as her wizard level. She must choose a viper familiar. The viper speaks one language of the Asmodean advocate's choice as a supernatural ability.</p>",icons/equipment/neck/amulet-carved-stone-cross.webp
,Cleric,"[[""Cleric""],[""Asmodean Advocate""]]",Cleric (Asmodean Advocate),Asmodean Advocate,<id-00003,1,Devil in the Details,"<p>At 1st level, an Asmodean advocate learns to choose her words so carefully that even when she says something designed to deceive listeners, the words are phrased to be technically true. She can use her Profession (barrister) skill for Bluff and Diplomacy checks. This benefit also extends to her familiar. The Asmodean advocate gains an insight bonus equal to 1/2 her cleric level (minimum +1) on Linguistics checks related to forgeries and on all Profession (barrister) checks.</p>",icons/equipment/neck/amulet-carved-stone-cross.webp
,Cleric,"[[""Cleric""],[""Asmodean Advocate""]]",Cleric (Asmodean Advocate),Asmodean Advocate,<id-00004,8,Shoulder Devil,"<p>At 8th level, an Asmodean advocate can choose an imp familiar as though she had the Improved Familiar feat.</p>",icons/equipment/neck/amulet-carved-stone-cross.webp
,Cleric,"[[""Cleric""],[""Blossoming Light""]]",Cleric (Blossoming Light),Blossoming Light,<id-00001,1,Luminous Font,"<p>A blossoming light forsakes her deity's deeper mysteries to focus on benevolence, healing, and bringing light to darkness. A blossoming light still selects domains and retains access to domain powers, but does not gain domain spell slots. Blossoming lights are beacons of goodness, guiding others to follow their own best natures. A blossoming light adds half her level on Diplomacy checks against good creatures or to convince an evil creature to take an action against its evil nature.</p><p>A blossoming light's channel energy is usable a number of times per day equal to 5 + her Charisma modifier. At 2nd level and every 2 levels thereafter, the blossoming light gains an additional use per day of channel energy.</p><p>At 3rd level, when a blossoming light channels energy to harm undead, her channeled energy also harms chaotic evil outsiders, worshipers of chaotic evil deities, and evil creatures with light sensitivity or light blindness as if they were undead.</p><p>At 7th level, when a blossoming light channels energy, she can expend an additional use to fill the affected area with bright light (as per daylight) for a number of rounds equal to her cleric level.</p><p>At 10th level, a blossoming light can use atonement once per day as a spell-like ability, but only to offer redemption to others (as per the spell). Using the spell in this way does not require a focus or material component.</p>",icons/equipment/neck/amulet-carved-stone-cross.webp
