<<<<<<< HEAD
id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Druid,"[[""Druid""],[""Urban Druid""]]",Druid (Urban Druid),Urban Druid,<druidathousandfaces_13,6,A thousand faces,"<p>At 13th level, a druid gains the ability to change her appearance at will, as if using the <i>alter self </i>spell, but only while in her normal form.</p>",systems/pf1/icons/spells/leaf-orange-3.jpg
,Druid,"[[""Druid""],[""Green Faith Initiate""]]",Druid (Green Faith Initiate),Green Faith Initiate,<druidathousandfaces_13,13,A Thousand Voices,"<p>At 13th level, a Green Faith initiate can communicate with any creature that has a language or with any stone, as if using tongues or stone tell, respectively, for up to 1 minute per druid level each day. This duration does not need to be consecutive, but it must be spent in 1-minute increments.</p>",systems/pf1/icons/spells/leaf-orange-3.jpg
,Druid,"[[""Druid""],[""Green Scourge""]]",Druid (Green Scourge),Green Scourge,<druidnaturesense_1,1,Aberration Sense,"<p>At 1st level, a green scourge adds Knowledge (dungeoneering) to her class skills and gains a +2 bonus on Knowledge (dungeoneering) checks.</p>",systems/pf1/icons/spells/leaf-orange-3.jpg
,Druid,"[[""Druid""],[""Undine Adept""]]",Druid (Undine Adept),Undine Adept,<druidwoodlandstride_2,2,Amphibious,"<p>At 2nd level, the undine adept gains the aquatic subtype and the amphibious universal monster ability, allowing her to breathe water or air. This ability replaces woodland stride.</p>",systems/pf1/icons/spells/leaf-orange-3.jpg
,Druid,"[[""Druid""],[""Ancient Guardian""]]",Druid (Ancient Guardian),Ancient Guardian,<id-00002,1,Ancient Arms,"<p>An ancient guardian can't wield weapons made primarily of metal. She is proficient with only the club, dart, quarterstaff, shortspear, sling, and spear. She is also proficient with all natural attacks (claw, bite, and so forth) of any form she assumes with wild shape. Using a prohibited weapon renders her unable to cast druid spells or use any of her druid supernatural or spell-like class abilities while wielding the weapon and for 24 hours after ceasing to wield it. This alters the druid's normal weapon proficiencies.</p>",systems/pf1/icons/spells/leaf-orange-3.jpg
,Druid,"[[""Druid""],[""Ancient Guardian""]]",Druid (Ancient Guardian),Ancient Guardian,<druidtracklessstep_3,3,Ancient Ways,"<p>At 3rd level, an ancient guardian increases any climb, fly, or swim speeds she has or gains via her wild shape ability by 10 feet.</p>",systems/pf1/icons/spells/leaf-orange-3.jpg
,Druid,"[[""Druid""],[""Feral Shifter""]]",Druid (Feral Shifter),Feral Shifter,<druidnaturebond_1,1,Animal Focus,"<p>At 1st level, as a swift action, a feral shifter can take on the aspect of an animal, gaining a bonus or special ability based on the type of animal emulated. This functions as the hunter's animal focus class feature (see page 27). The feral shifter can use this ability for a number of minutes per day equal to her druid level. This duration does not need to be consecutive, but it must be spent in 1-minute increments. She can emulate only one animal at a time. This ability replaces nature bond.</p>",systems/pf1/icons/spells/leaf-orange-3.jpg
,Druid,"[[""Druid""],[""Nithveil Adept""]]",Druid (Nithveil Adept),Nithveil Adept,<druidspontaneouscasting_1,1,Animal Speech ,"<p>A Nithveil adept can imbue normal animals with the ability to speak for a brief period. Once per day as a standard action, the Nithveil adept can touch an animal to grant it the ability to speak any language the druid knows for 1 minute per druid level. This does not increase the animal's Intelligence or improve its attitude, and the animal behaves as though communicating with someone under the effects of a speak with animals spell, save that it can speak with anyone who understands the language the Nithveil adept grants it. The Nithveil adept gains one additional use of this ability at 4th level and every 4 levels thereafter.</p>",systems/pf1/icons/spells/leaf-orange-3.jpg
,Druid,"[[""Druid""],[""Supernaturalist""]]",Druid (Supernaturalist),Supernaturalist,<druidwildshape_4,4,Animal Spirit,"<p>At 4th level, a supernaturalist can perform a seance to call an animal spirit of any animal with which she is familiar to serve as her companion and guide. The supernaturalist gains spirit, spirit bonus, spirit surge, and taboo abilities as a medium (Occult Adventures 30) 3 levels lower than her druid level. The supernaturalist's allies cannot participate in this seance. This ability replaces wild shape. The spirit abilities of the animal spirit are as follows.</p><p><i>Spirit Bonus: </i>Your spirit bonus applies on attack and damage rolls with natural weapons and on skill checks relating to animals and plants.</p><p><i>Seance Boon: </i>Your natural armor bonus to AC increases by 1.</p><p><i>Favored Location: </i>Native terrain of the animal type being invoked.</p><p><i>Influence Penalty: </i>You become wild and savage, taking a penalty equal to your spirit bonus on caster level checks, Charisma- and Intelligencebased ability checks, and skill checks.</p><p><i>Taboos: </i>Choose one: you must not speak (except with animals and plants); you must not wield manufactured weapons; you must not eat anything you did not kill or harvest yourself.</p><p><i>Totem Transformation (Lesser, Su): </i>You gain any of the following abilities possessed by the animal you select as your animal spirit: bite (1d6 for a Medium druid), 2 claws (1d4 for a Medium druid), darkvision, improved land movement speed (up to a +20-foot enhancement bonus to the druid's base land movement speed), low-light vision, scent, and swim (up to 30 feet).</p><p><i>Pack Leader (Intermediate, Su): </i>When you summon animals that match your animal spirit, they gain a +2 bonus on attack rolls, damage rolls, and saving throws.</p><p><i>Wildstrike (Greater, Su): </i>You can allow your animal spirit to gain 1 point of influence over you as a swift action to allow an animal or plant (including your companion) within 30 feet that can see or hear you to immediately take an additional standard action.</p><p><i>Wild Heart (Supreme, Ex): </i>You gain a +4 bonus on saves against enchantment and mind-affecting effects, and immunity to effects that affect only humanoids. Once per day, you can cast any summon nature's ally spell you can cast spontaneously as a standard action without expending a spell slot.</p>",systems/pf1/icons/spells/leaf-orange-3.jpg
,Druid,"[[""Druid""],[""Aquatic Druid""]]",Druid (Aquatic Druid),Aquatic Druid,<druidwoodlandstride_2,2,Aquatic Adaptation,"<p>At 2nd level, an aquatic druid gains an insight bonus on Initiative checks and Knowledge (geography), Perception, Stealth, Survival, and Swim checks equal to 1/2 her druid level in aquatic terrain, and she cannot be tracked such environments.</p>",systems/pf1/icons/spells/leaf-orange-3.jpg
