<<<<<<< HEAD
id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Fighter,"[[""Fighter""],[""Shielded Fighter""]]",Fighter (Shielded Fighter),Shielded Fighter,<id-00021,3,Active Defense,"<p>At 3rd level, a shielded fighter gains a +1 dodge bonus to AC when wielding a shield and fighting defensively, using Combat Expertise, or using total defense. This bonus increases by +1 for every four levels beyond 3rd. As a swift action, he may share this bonus with one adjacent ally, or half of the bonus (minimum +0) with all adjacent allies, until the beginning of his next turn. This ability replaces armor training 1, 2, 3, and 4.</p>",systems/pf1/icons/skills/weapon_26.jpg
,Fighter,"[[""Fighter""],[""Aerial Assaulter""]]",Fighter (Aerial Assaulter),Aerial Assaulter,<id-00026,19,Aerial Dodge,"<p>At 19th level, an aerial assaulter can perform an aerial dodge that allows him to evade attacks while flying. As an immediate action, when an opponent attempts an attack against the aerial assaulter, he can attempt a Fly check with a DC equal to the result of the attacker's attack roll. If he succeeds, he can take a 5-foot step and gain a dodge bonus to his AC equal to his Dexterity modifier. This movement doesn't negate the attack if the aerial assaulter remains in range of the attacking enemy's reach at the end of the 5-foot step. If the Fly check fails, the aerial assaulter does not move, does not gain an AC bonus, and provokes an attack of opportunity from each creature that threatens him, including the initial attacker. The aerial assaulter must be flying to use this ability.</p>",systems/pf1/icons/skills/weapon_26.jpg
,Fighter,"[[""Fighter""],[""Aerial Assaulter""]]",Fighter (Aerial Assaulter),Aerial Assaulter,<id-00017,2,Aerial Expertise,"<p>At 2nd level, an aerial assaulter gains a +2 bonus on Fly checks. Additionally, whenever he is affected by a spell or ability that grants him a fly speed, he treats that spell or ability as though its caster level were 2 higher for the purposes of determining its effects. At 6th level and every 4 levels thereafter, this bonus on Fly checks increases by an additional 2, to a maximum of +10 at 18th level.</p>",systems/pf1/icons/skills/weapon_26.jpg
,Fighter,"[[""Fighter""],[""Airborne Ambusher""]]",Fighter (Airborne Ambusher),Airborne Ambusher,<id-00025,5,Aerobatics,"<p>At 5th level, an airborne ambusher may make a Fly check instead of an Acrobatics check to move through a threatened area or an enemy's space. This replaces weapon training 1.</p>",systems/pf1/icons/skills/weapon_26.jpg
,Fighter,"[[""Fighter""],[""Mobile Fighter""]]",Fighter (Mobile Fighter),Mobile Fighter,<id-00017,2,Agility,"<p>At 2nd level, a mobile fighter gains a +1 bonus on saving throws made against effects that cause him to become paralyzed, slowed, or entangled. This bonus increases by +1 for every four levels beyond 2nd. This ability replaces bravery.</p>",systems/pf1/icons/skills/weapon_26.jpg
,Fighter,"[[""Fighter""],[""Opportunist""]]",Fighter (Opportunist),Opportunist,<id-00025,5,Alchemical Onslaught,"<p>At 5th level, an opportunist gains a +1 bonus on attack rolls with alchemical weapons and bombs and can add his Intelligence modifier to damage rolls for splash weapons. He can draw an alchemical weapon as a free action once per round.</p>",systems/pf1/icons/skills/weapon_26.jpg
,Fighter,"[[""Fighter""],[""Swarm Fighter""]]",Fighter (Swarm Fighter),Swarm Fighter,<id-00023,13,Always Underfoot,"<p>At 13th level, the swarm fighter gains Step Up as a bonus feat. A creature sharing a square with the swarm fighter is considered adjacent for the purposes of this feat. At 17th level, the swarm fighter gains Following Step as a bonus feat. <b></b></p>",systems/pf1/icons/skills/weapon_26.jpg
,Fighter,"[[""Fighter""],[""Druman Blackjacket""]]",Fighter (Druman Blackjacket),Druman Blackjacket,<id-00006,8,Amateurs!,"<p>At 8th level, when using the Blackjacket tactics ability, a Druman Blackjacket can include one or more creatures without levels in this archetype, but doing so reduces the duration of the effect to a number of minutes equal to the class level of the highest-level Blackjacket instead of a number of hours per level. If only Blackjackets are included in the effect, all Druman Blackjackets affected gain a +1 morale bonus on skill checks and saving throws for the duration of the effect. This ability replaces the bonus feat gained at 8th level.</p>",systems/pf1/icons/skills/weapon_26.jpg
,Fighter,"[[""Fighter""],[""Aquanaut""]]",Fighter (Aquanaut),Aquanaut,<id-00021,3,Aquadynamic Paragon,"<p>At 3rd level, an aquanaut gains a swim speed equal to his unmodified base land speed (if he has a racial swim speed, he instead increases it by 10 feet) and can choose to have a neutral buoyancy once per turn as a free action. At 7th level, he can choose any of the five states of buoyancy once per turn as a free action, and can take his buoyancy movement as part of that free action instead of at the end of his turn without becoming off-balance and without requiring a Swim check; additionally, he can choose to double or halve how far a current moves him. At 11th level, whenever he takes a move, double move, withdraw, or run action underwater, he can leave a current behind him in the squares along his path; this current has a speed of 10 feet in the direction of his movement (if his movement was circuitous, so is the current) and lasts until the beginning of his next turn. At 15th level, as a full round action, an aquanaut can spin ferociously underwater, creating a whirlpool around himself with a spinning force that drags all creatures within 120 feet of him 30 feet closer to him. Creatures closer than 30 feet spend the 30 feet of movement circling around the aquanaut in a single direction of his choice. The whirlpool isn't fast enough to deal damage, but the aquanaut is unaffected by his own whirlpool, allowing him to make attacks of opportunity against creatures moving in it. At 19th level, the aquanaut learns to use the water around him to soften blows, gaining DR 5/- while underwater.</p>",systems/pf1/icons/skills/weapon_26.jpg
,Fighter,"[[""Fighter""],[""Armiger""]]",Fighter (Armiger),Armiger,<id-00017,2,Ardent,"<p>Armigers are difficult to sway from their beliefs. At 2nd level, an armiger gains a +1 bonus on Will saves against charm effects. This bonus increases by 1 for every 4 fighter levels beyond 2nd. Once per day, if an armiger is forced to take an action that is diametrically opposed to her order's beliefs and values while under the influence of a charm or compulsion effect, she can immediately attempt a Will save against the effect's DC to resist acting out that order. Success does not remove the existing charm or compulsion effect, but does allow the armiger to resist betraying her beliefs.</p>",systems/pf1/icons/skills/weapon_26.jpg
