id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Gunslinger,"[[""Gunslinger""],[""Gun Scavenger""]]",Gunslinger (Gun Scavenger),Gun Scavenger,<id-00010,2,Arbitrary Aim,"<p>Starting at 2nd level, a gun scavenger's attacks with firearms are difficult to predict. When shooting a firearm at a creature that has a dodge or insight bonus to its Armor Class, the gun scavenger treats the combined bonus as if it were 1 lower. This value increases by 1 for every 4 levels beyond 2nd level (to a maximum of 5 at 20th level). This ability replaces nimble.</p>",icons/weapons/guns/gun-red.webp
,Gunslinger,"[[""Gunslinger""],[""Gun Tank""]]",Gunslinger (Gun Tank),Gun Tank,<id-00015,4,Armor Training,"<p>At 4th level, a gun tank learns to be more maneuverable while wearing armor. Whenever she is wearing armor, the armor check penalty is reduced by 1 (to a minimum of 0) and the maximum Dexterity bonus allowed by her armor increases by 1. Every four levels thereafter (8th, 12th, and 16th), the bonus increases by 1, to a maximum of a -4 reduction of the armor check penalty and a +4 increase to the maximum Dexterity bonus allowed. This ability stacks with the fighter class ability of the same name. If the gun tank has both class features, she takes the most advantageous benefit of the two class features. This ability replaces the bonus feats the gunslinger gains at 4th level and every four levels thereafter.</p>",icons/weapons/guns/gun-red.webp
,Gunslinger,"[[""Gunslinger""],[""Gulch Gunner""]]",Gunslinger (Gulch Gunner),Gulch Gunner,<id-00022,9,Belly Shot,"<p>At 9th level, a gulch gunner can press her firearm directly against a vulnerable location of an adjacent target, dealing additional damage. When the gulch gunner successfully hits an adjacent target with a ranged firearm attack, she deals +1d6 points of damage. This damage increases to +2d6 at 13th level and to +3d6 at 17th level. Creatures immune to precision damage, critical hits, or sneak attacks do not take this additional damage. This ability replaces the gun training ability gained at 9th, 13th, and 17th level.</p>",icons/weapons/guns/gun-red.webp
,Gunslinger,"[[""Gunslinger""],[""Firebrand""]]",Gunslinger (Firebrand),Firebrand,<id-00021,5,Bombs,"<p>At 5th level, the firebrand gains the bombs ability as an alchemist of her gunslinger level - 4, using her Charisma modifier in place of her Intelligence modifier to determine her number of bombs per day and the DC to avoid splash damage. The firebrand adds her Charisma modifier to her bombs' damage instead of her Intelligence modifier, even if she has the throw anything class feature. In addition, the firebrand's bombs are always under the effect of the explosive bombs discovery. Firebrand levels do not stack with levels in other classes with the bombs class feature.</p>",icons/weapons/guns/gun-red.webp
,Gunslinger,"[[""Gunslinger""],[""Gun Tank""]]",Gunslinger (Gun Tank),Gun Tank,<id-00019,20,Bonus Feat,"<p>At 20th level, a gunslinger gains a bonus feat in addition to those gained by normal advancement. These bonus feats must be combat or grit feats.</p>",icons/weapons/guns/gun-red.webp
,Gunslinger,"[[""Gunslinger""],[""Siege Gunner""]]",Gunslinger (Siege Gunner),Siege Gunner,<id-00015,4,Bonus Feat,"<p>At 4th level, a siege gunner gains Siege Engineer as a bonus feat. At 8th level, she gains Master Siege Engineer as a bonus feat. She does not need to meet the prerequisites for these feats. At 12th level and for every 4 levels thereafter, the siege gunner gains a bonus feat in addition to those gained by normal advancement. These additional bonus feats must be combat or grit feats, and she must meet the prerequisites as normal. This replaces the gunslinger's normal bonus feats.</p>",icons/weapons/guns/gun-red.webp
,Gunslinger,"[[""Gunslinger""],[""Techslinger""]]",Gunslinger (Techslinger),Techslinger,<id-00015,4,Bonus Feat,"<p>At 4th level, and every four levels thereafter, a gunslinger gains a bonus feat in addition to those gained by normal advancement. These bonus feats must be combat or grit feats.</p><p>A techslinger can select Technologist as a bonus feat, even though it's neither a combat nor a grit feat.</p>",icons/weapons/guns/gun-red.webp
,Gunslinger,"[[""Gunslinger""],[""Buccaneer""]]",Gunslinger (Buccaneer),Buccaneer,<id-00015,4,Bonus Feat,"<p>At 4th level, and every four levels thereafter, a gunslinger gains a bonus feat in addition to those gained by normal advancement. These bonus feats must be combat or grit feats.</p><p>In addition to combat and grit feats, a buccaneer can select from the following feats as her bonus feats: Expert Driver (water vehicles only), Master Siege Engineer, Siege Engineer, Siege Gunner, Skilled Driver (water vehicles only).</p>",icons/weapons/guns/gun-red.webp
,Gunslinger,"[[""Gunslinger""],[""Gun Tank""]]",Gunslinger (Gun Tank),Gun Tank,<id-00010,2,Bullet Defection,"<p>A gun tank is adept at modifying and using her armor to stop firearm attacks. Starting at 2nd level, a gun tank wearing medium or heavy armor gains half the armor's bonus plus the armor's enhancement bonus (if any) as a deflection bonus against any non-siege firearm or splash weapon attack (including the alchemist's bomb class ability). This ability has no affect on spells, spell-like abilities, or supernatural abilities that make a touch attack. This ability replaces nimble.</p>",icons/weapons/guns/gun-red.webp
,Gunslinger,"[[""Gunslinger""],[""Bushwhacker""]]",Gunslinger (Bushwhacker),Bushwhacker,<id-00026,1,Craven Deeds,"<p>A bushwhacker replaces some of her deeds with the following deeds. This ability otherwise works like the gunslinger's deed ability and alters that ability.</p><p>Shifty Shot (Ex): At 3rd level, a bushwhacker with at least 1 grit point deals 1d6 points of extra damage when using her firearm to attack opponents denied their Dexterity bonus to AC (whether the target actually has a Dexterity bonus or not). Except for the requirement that she must use a firearm and must have at least 1 grit point to use it, this deed otherwise works identically to a rogue's sneak attack class feature (including the requirement that she must be within 30 feet of her target to deal this extra damage), and stacks with the sneak shot ability (see below) and sneak attack. This deed replaces the utility shot deed.</p><p>Long Range Shifty Shot (Ex): At 7th level, a bushwhacker can double the range at which she deals extra damage from a sneak attack or shifty shot (from 30 feet to 60 feet) with a firearm by spending 1 grit point. When she spends this grit point, she must still have at least 1 grit point left to deal extra damage from shifty shot if she is using this deed. This deed replaces the targeting deed.</p>",icons/weapons/guns/gun-red.webp
