id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Hunter,"[[""Hunter""],[""Patient Ambusher""]]",Hunter (Patient Ambusher),Patient Ambusher,<id-00017,3,Additional Trap,"<p>At 3rd level and every 3 hunter levels thereafter, a patient ambusher can learn a new type of trap, selected from the list of ranger traps presented on pages 64-65 of Ultimate Magic. Once a trap is learned, it can't be unlearned and replaced with a different type of trap. The patient ambusher cannot learn an individual trap more than once.</p>",systems/pf1/icons/spells/wild-jade-3.jpg
,Hunter,"[[""Hunter""],[""Roof Runner""]]",Hunter (Roof Runner),Roof Runner,<id-00024,8,Alley Ghost,"<p>At 8th level, a roof runner gains the benefits of the fast stealth rogue talent.</p>",systems/pf1/icons/spells/wild-jade-3.jpg
,Hunter,"[[""Hunter""],[""Courtly Hunter""]]",Hunter (Courtly Hunter),Courtly Hunter,<id-00022,7,Alternate Form,"<p>At 7th level, the courtly hunter's animal companion learns an additional subtle form. When the courtly hunter gains this ability, she chooses a Tiny animal. When under the effects of the subtle companion ability, the courtly hunter's animal companion can change between a shrunken, more innocuous version of its original shape or the shape of the chosen animal as a standard action. When it transforms, it loses abilities dependent on its original shape and gains abilities from its new shape as beast shape II. At 13th and 19th levels, the courtly hunter can select an additional form to add to the animal companion's list of choices while it is in its polymorphed form.</p>",systems/pf1/icons/spells/wild-jade-3.jpg
,Hunter,"[[""Hunter""],[""Treestrider""]]",Hunter (Treestrider),Treestrider,<id-00005,1,Animal Companion,"<p>At 1st level, as a free action, a treestrider must select an ape as her animal companion.. A hunter may begin play with any of the animals available to a druid. This animal is a loyal companion that accompanies the hunter on her adventures. This ability functions like the druid animal companion ability (which is part of the nature bond class feature). The hunter's effective druid level is equal to her hunter level. If a character receives an animal companion from more than one source, her effective druid levels stack for the purposes of determining the companion's statistics and abilities. A hunter may teach her companion hunter's tricks from the skirmisher ranger archetype (Pathfinder RPG Advanced Player's Guide 128) instead of standard tricks. The animal companion can use skirmisher tricks when commanded, a number of times per day equal to half its Hit Dice plus its Wisdom modifier.</p><p>If a hunter releases her companion from service or her animal companion perishes, she may gain a new one by performing a ceremony requiring 24 uninterrupted hours of prayer in the environment where the new companion typically lives. While the hunter's animal companion is dead, any animal she summons with a summon nature's ally spell remains for 1 minute per level instead of 1 round per level. A hunter cannot have more than one summon nature's ally spell active in this way at one time. If this ability is used again, any existing summon nature's ally immediately ends.</p>",systems/pf1/icons/spells/wild-jade-3.jpg
,Hunter,"[[""Hunter""],[""Urban Hunter""]]",Hunter (Urban Hunter),Urban Hunter,<id-00005,1,Animal Companion,"<p>Urban hunters have animal companions that are domesticated animals or animals native to a major city. The urban hunter must select her animal companion from the following list: axe beakB3, badger, bird, camel, dire rat, dog, horse, llama (Pathfinder Player Companion: Animal Archive 28), ostrich (Pathfinder Campaign Setting: Osirion, Legacy of Pharaohs 55), pony, ramB2, or trumpeter swanB4. In urban settings, an urban hunter's animal companion seems domesticated and likely harmless to anyone who has not seen it in combat (potentially reducing the DC of Diplomacy checks to convince anyone to allow it into secure areas). It draws no more attention than a friendly dog, loyal horse, or similar tame animal.</p><p>Creatures who have never seen the animal companion make an attack must succeed at a Sense Motive check (opposed by the animal companion's Stealth check) to realize the animal companion is a potential threat. The hunter can calm those who witness her animal companion's attacks (so long as they were not injured) with a successful Handle Animal check (DC = 15 + the target's Will save modifier).</p>",systems/pf1/icons/spells/wild-jade-3.jpg
,Hunter,"[[""Hunter""],[""Aquatic Beastmaster""]]",Hunter (Aquatic Beastmaster),Aquatic Beastmaster,<id-00006,1,Animal Focus,"<p>An aquatic beastmaster emulates animals found beneath the waves. This functions as animal focus, but it allows only the following choices.</p><p>At 1st level, a hunter can take on the aspect of an animal as a swift action. She must select one type of animal to emulate, gaining a bonus or special ability based on the type of animal emulated and her hunter level. The hunter can use this ability for a number of minutes per day equal to her level. This duration does not need to be consecutive, but must be spent in 1-minute increments. The hunter can emulate only one animal at a time.</p><p>The hunter can also apply one of these aspects to her animal companion. Unlike with the hunter herself, there is no duration on the animal aspect applied to her animal companion. An aspect applied in this way does not count against the hunter's minutes of duration per day-it remains in effect until the hunter changes it. The companion's aspect can be the same aspect the ranger has taken on or a different one. The hunter can select or change the animal foci on both herself and her animal companion as part of the same swift action.</p><p>If the hunter's animal companion is dead, the hunter can apply her companion's animal focus to herself instead of her animal companion. This is in addition to the normal one she can choose, and (as with a companion's focus) remains in effect until the hunter changes it instead of counting against her minutes per day.</p><p>See the Hunter Animal Focuses section for a full list of Focuses from all sources.</p>",systems/pf1/icons/spells/wild-jade-3.jpg
,Hunter,"[[""Hunter""],[""Forester""]]",Hunter (Forester),Forester,<id-00006,1,Animal Focus,"<p>As a forester has no animal companion, the aspects granted by this ability always apply to the forester herself, just as if a normal hunter's companion were dead.</p><p>At 1st level, a hunter can take on the aspect of an animal as a swift action. She must select one type of animal to emulate, gaining a bonus or special ability based on the type of animal emulated and her hunter level. The hunter can use this ability for a number of minutes per day equal to her level. This duration does not need to be consecutive, but must be spent in 1-minute increments. The hunter can emulate only one animal at a time.</p><p>The hunter can also apply one of these aspects to her animal companion. Unlike with the hunter herself, there is no duration on the animal aspect applied to her animal companion. An aspect applied in this way does not count against the hunter's minutes of duration per day-it remains in effect until the hunter changes it. The companion's aspect can be the same aspect the ranger has taken on or a different one. The hunter can select or change the animal foci on both herself and her animal companion as part of the same swift action.</p><p>If the hunter's animal companion is dead, the hunter can apply her companion's animal focus to herself instead of her animal companion. This is in addition to the normal one she can choose, and (as with a companion's focus) remains in effect until the hunter changes it instead of counting against her minutes per day.</p><p>See the Hunter Animal Focuses section for a full list of Focuses from all sources.</p>",systems/pf1/icons/spells/wild-jade-3.jpg
,Hunter,"[[""Hunter""],[""Feykiller""]]",Hunter (Feykiller),Feykiller,<id-00006,1,Animal Focus,"<p>At 1st level, a hunter can take on the aspect of an animal as a swift action. She must select one type of animal to emulate, gaining a bonus or special ability based on the type of animal emulated and her hunter level. The hunter can use this ability for a number of minutes per day equal to her level. This duration does not need to be consecutive, but must be spent in 1-minute increments. The hunter can emulate only one animal at a time.</p><p>The hunter can also apply one of these aspects to her animal companion. Unlike with the hunter herself, there is no duration on the animal aspect applied to her animal companion. An aspect applied in this way does not count against the hunter's minutes of duration per day-it remains in effect until the hunter changes it. The companion's aspect can be the same aspect the ranger has taken on or a different one. The hunter can select or change the animal foci on both herself and her animal companion as part of the same swift action.</p><p>If the hunter's animal companion is dead, the hunter can apply her companion's animal focus to herself instead of her animal companion. This is in addition to the normal one she can choose, and (as with a companion's focus) remains in effect until the hunter changes it instead of counting against her minutes per day.</p><p>See the Hunter Animal Focuses section for a full list of Focuses from all sources.</p><p>A feykiller emulates animals that grant her the ability to unmask fey trickery. She adds the following choices to her animal focus ability instead of the bear, frog, monkey, mouse, and snake choices.</p><p>Crow: The creature gains a +4 competence bonus on Knowledge checks to identify the abilities and weaknesses of creatures. This bonus increases to +6 at 8th level and +8 at 15th level.</p><p>Goat: The creature gains a +2 competence bonus on saving throws against enchantment spells and spell-like abilities. This bonus increases to +4 at 8th level and +6 at 15th level.</p><p>Mongoose: The creature gains a +2 competence bonus on grapple combat maneuver checks and on saving throws against poison. These bonuses increase to +4 at 8th level and +6 at 15th level.</p><p>Shark: The creature gains a +4 competence bonus on Survival checks to track a creature that has taken damage from the hunter or her animal companion in the past 24 hours. This bonus increases to +6 at 8th level and +8 at 15th level.</p><p>Turtle: The creature gains a +2 enhancement bonus to its natural armor bonus. This bonus increases to +4 at 8th level and +6 at 15th level. (A creature without natural armor has an effective natural armor bonus of +0.)</p>",systems/pf1/icons/spells/wild-jade-3.jpg
,Hunter,"[[""Hunter""],[""Urban Hunter""]]",Hunter (Urban Hunter),Urban Hunter,<id-00019,5,Animal Insight,"<p>At 5th level, an urban hunter and her animal companion learn to combine their insights to defeat deception and manipulation. As long as they are within 30 feet of each other, both hunter and animal companion gain an insight bonus on Sense Motive checks equal to half the urban hunter's hunter level. They also gain a +2 insight bonus on Will saving throws against illusions and mindaffecting effects. This ability replaces woodland stride.</p>",systems/pf1/icons/spells/wild-jade-3.jpg
,Hunter,"[[""Hunter""],[""Chameleon Adept""]]",Hunter (Chameleon Adept),Chameleon Adept,<id-00019,5,Animal Shape,"<p>At 5th level as a standard action, a chameleon adept can assume a form superficially identical to her animal companion's animal form. She gains no bonuses or natural attacks while in this form, only forms of movement. Her size category does not change. This is a polymorph effect. She can assume this form for 1 minute per level per day, in 1-minute increments. She can dismiss this ability at any point as a standard action.</p>",systems/pf1/icons/spells/wild-jade-3.jpg
