<<<<<<< HEAD
id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Inquisitor,"[[""Inquisitor""],[""Urban Infiltrator""]]",Inquisitor (Urban Infiltrator),Urban Infiltrator,<inquisitorstalwart_11,11,A Thousand Faces,"<p>At 11th level, an urban inquisitor gains the ability to change her appearance at will, as if using the alter self spell.</p>",icons/sundries/books/book-symbol-canterbury-cross.webp
,Inquisitor,"[[""Inquisitor""],[""Cold Iron Warden""]]",Inquisitor (Cold Iron Warden),Cold Iron Warden,<inquisitorsolotactics_3,3,Abyssal Scourge,"<p>At 3rd level, a cold iron warden gains Alignment Channel as a bonus feat and must choose either chaotic or evil outsiders. She can channel energy as a cleric of her inquisitor level - 2 a number of times per day equal to 3 + her Charisma modifier, but only to use Alignment Channel to damage outsiders. The DC of the Will save to halve the damage is equal to 10 + 1/2 the inquisitor's level + the inquisitor's Charisma modifier. At 6th level, the energy lingers in the affected area for 1 round as a shimmering, barely perceptible, mist that disrupts Abyssal magic. A creature in the mist that casts a conjuration (summoning) spell or spell-like ability with the selected alignment subtype must succeed at a concentration check or lose the spell. At 15th level, any chaotic or evil creature that casts a conjuration (teleportation) spell or spell-like ability while in the mist must succeed at a concentration check or lose the spell. The concentration check DC for both abilities is equal to 15 + double the level of the conjuration spell.</p><p>A cold iron warden can take other feats to add to this ability such as Improved Channeling, but not feats that alter this ability, such as Command Undead. This ability replaces solo tactics and the teamwork feats gained at 6th and 15th level.</p>",icons/sundries/books/book-symbol-canterbury-cross.webp
,Inquisitor,"[[""Inquisitor""],[""Cloaked Wolf""]]",Inquisitor (Cloaked Wolf),Cloaked Wolf,<inquisitormonsterlore_1,1,Always Wary,"<p>A cloaked wolf is always ready for betrayal and subterfuge. Whenever she attempts a Sense Motive check to avoid being surprised by a foe using Bluff to conceal the attack, the cloaked wolf can always act during the surprise round, regardless of the result of the check. At 2nd level, she adds her Wisdom modifier (in addition to her Dexterity modifier) to her initiative checks during any such encounter.</p>",icons/sundries/books/book-symbol-canterbury-cross.webp
,Inquisitor,"[[""Inquisitor""],[""Sacred Huntsmaster""]]",Inquisitor (Sacred Huntsmaster),Sacred Huntsmaster,<inquisitorjudgment_1,1,Animal Companion,"<p>At 1st level, a sacred huntsmaster forms a bond with an animal companion. This ability works as the hunter class feature of the same name, using her inquisitor level as her hunter level. This ability replaces judgment 1/day.</p>",icons/sundries/books/book-symbol-canterbury-cross.webp
,Inquisitor,"[[""Inquisitor""],[""Sacred Huntsmaster""]]",Inquisitor (Sacred Huntsmaster),Sacred Huntsmaster,<inquisitorjudgment_4,4,Animal Focus,"<p>At 4th level, a sacred huntsmaster can take on the aspects of an animal as a swift action. This ability works as the hunter's animal focus class feature, with her inquisitor level serving as her hunter level. This ability replaces later iterations of the judgment ability.</p>",icons/sundries/books/book-symbol-canterbury-cross.webp
,Inquisitor,"[[""Inquisitor""],[""Exarch""]]",Inquisitor (Exarch),Exarch,<inquisitorsecondjudgment_8,8,Aura of Repetition,"<p>At 8th level, once per day while using her judgment, an exarch can project an aura of repetition, as the Toil subdomain power. If the exarch takes Artifice (Toil) as her domain, the save DC of her aura increases by 2 but its duration does not increase. This ability replaces her second judgment.</p>",icons/sundries/books/book-symbol-canterbury-cross.webp
,Inquisitor,"[[""Inquisitor""],[""Exarch""]]",Inquisitor (Exarch),Exarch,<inquisitorthirdjudgment_16,16,Aura of Reversion,"<p>At 16th level, while using her judgment, an exarch can project a 30-foot-radius emanation for a number of rounds per day equal to her inquisitor level. Any creature other than the exarch that is using a transmutation effect within this aura at the beginning of its turn becomes sickened, or sickened and nauseated if using a polymorph effect, including the change shape ability (Fortitude negates; DC 10 + 1/2 the exarch's level + her Wisdom modifier). Continuous effects from permanent magical items do not cause this effect. Within the aura, dispel checks against transmutation effects gain a +4 bonus. This ability cannot be used simultaneously with aura of repetition. This ability replaces her third judgment.</p>",icons/sundries/books/book-symbol-canterbury-cross.webp
,Inquisitor,"[[""Inquisitor""],[""Cold Iron Warden""]]",Inquisitor (Cold Iron Warden),Cold Iron Warden,<inquisitorbane_5,5,Bane,"<p>A cold iron warden reduces the amount of bonus damage dealt when using her bane ability against creatures that are not outsiders with the chaotic or evil subtype by 1d6. She increases the amount of bonus damage by 1d6 when she selects outsiders with the chaotic or evil subtype. This ability modifies the bane ability.</p><p>At 5th level, an inquisitor can imbue one of her weapons with the <i>bane </i>weapon special ability as a swift action. She must select one creature type when she uses this ability (and a subtype if the creature type selected is humanoid or outsider). Once selected, the type can be changed as a swift action. This ability only functions while the inquisitor wields the weapon. If dropped or taken, the weapon resumes granting this ability if it is returned to the inquisitor before the duration expires. This ability lasts for a number of rounds per day equal to the inquisitor's level. These rounds do not need to be consecutive.</p>",icons/sundries/books/book-symbol-canterbury-cross.webp
,Inquisitor,"[[""Inquisitor""],[""Vampire Hunter""]]",Inquisitor (Vampire Hunter),Vampire Hunter,<inquisitorbane_5,5,Bane,"<p>At 5th level, an inquisitor can imbue one of her weapons with the <i>bane </i>weapon special ability as a swift action. A vampire hunter can only imbue her weapons with the undead-bane ability, but it persists even when she isn't holding the weapon. This ability lasts for a number of rounds per day equal to the inquisitor's level. These rounds do not need to be consecutive.</p>",icons/sundries/books/book-symbol-canterbury-cross.webp
,Inquisitor,"[[""Inquisitor""],[""Tactical Leader""]]",Inquisitor (Tactical Leader),Tactical Leader,<inquisitorexploitweakness_14,14,Battle Acumen,"<p>At 14th level, a tactical leader can grant his judgment benefits to a single other ally within 30 feet who can see and hear the tactical leader as an immediate action. These benefits last until the beginning of the tactical leader's next turn. A tactical leader must have a judgment active to use this ability and the benefits granted are the same as those selected by his judgment. A tactical leader can use this ability a number of times per day equal to his Wisdom modifier (minimum 1).</p>",icons/sundries/books/book-symbol-canterbury-cross.webp
