<<<<<<< HEAD
id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Kineticist,"[[""Kineticist""],[""Elemental Ascetic""]]",Kineticist (Elemental Ascetic),Elemental Ascetic,<id-00026,2,AC Bonus,"<p>At 2nd level, when unarmored, not using a shield, and unencumbered, an elemental ascetic adds his Wisdom bonus (if any) to his AC and his CMD. These bonuses to AC apply even against touch attacks or when the elemental ascetic is flat-footed. He loses these bonuses when he is immobilized or helpless. This bonus increases by 1 for every 4 kineticist levels the elemental ascetic possesses beyond 2nd. The elemental ascetic's kineticist levels stack with monk levels for the purpose of determining when the bonus increases. An elemental ascetic can never take the expanded defense utility wild talent. This ability replaces elemental defense.</p>",systems/pf1/icons/skills/yellow_09.jpg
,Kineticist,"[[""Kineticist""],[""Arakineticist""]]",Kineticist (Arakineticist),Arakineticist,<id-00022,13,Accursed Infusion,"<p>At 13th level, an arakineticist's blasts can temporarily curse and bedevil her foe. On a failed Will save, the target takes a -4 penalty on ability checks, attack rolls, saving throws, and skills checks for 1 round as if it were affected by bestow curse. A single creature can't be affected by more than one curse from this infusion at a time. This is a 6th-level substance infusion that costs 4 points of burn and can be used with negative and void blasts.</p><p>This replaces the utility wild talent gained at 13th level.</p>",systems/pf1/icons/skills/yellow_09.jpg
,Kineticist,"[[""Kineticist""],[""Arakineticist""]]",Kineticist (Arakineticist),Arakineticist,<id-00004,4,Accursed Shadow,"<p>At 4th level, an arakineticist's curse casts a dark shadow over her soul, shielding her from death magic. She gains a +2 bonus on saving throws against necromancy spells and death effects. This bonus increases by 1 every 4 levels beyond 4th, to a maximum of +6 at 20th level.</p><p>This replaces the utility wild talent gained at 4th level.</p>",systems/pf1/icons/skills/yellow_09.jpg
,Kineticist,"[[""Kineticist""],[""Aquakinetcist""]]",Kineticist (Aquakinetcist),Aquakinetcist,<id-00025,1,Aquatic Focus,"<p>An aquakineticist must choose water as her primary element and for both expanded elements, and must choose water blast as her first simple blast.</p><p>This ability alters expanded element.</p>",systems/pf1/icons/skills/yellow_09.jpg
,Kineticist,"[[""Kineticist""],[""Ioun Kineticist""]]",Kineticist (Ioun Kineticist),Ioun Kineticist,<id-00050,7,Azlanti Blast,"<p>An ioun kineticist who selects aether as her expanded element does not gain the force composite blast. She instead gains the Azlanti composite blast, which costs 2 points of burn. An Azlanti blast is a physical blast that deals bludgeoning, piercing, or slashing damage.</p>",systems/pf1/icons/skills/yellow_09.jpg
,Kineticist,"[[""Kineticist""],[""Elysiokineticist""]]",Kineticist (Elysiokineticist),Elysiokineticist,<id-00046,1,Basic Elysiokinesis,"<p>An elysiokineticist can use the power of Elysium to assist others and bolster their vigor, allowing her to cast resistance, stabilize, or virtue as a spell-like ability at will as a standard action.</p>",systems/pf1/icons/skills/yellow_09.jpg
,Kineticist,"[[""Kineticist""],[""Ioun Kineticist""]]",Kineticist (Ioun Kineticist),Ioun Kineticist,<id-00047,1,Basic Iounkinesis,"<p>An ioun kineticist can manipulate ioun stones with ease and channel their magical fields to create simple effects. She can activate (making the stones orbit her) or stow a number of ioun stones equal to her class level in any combination as a move action, and she can activate or stow twice as many as a standard action. She can affect only ioun stones orbiting her and unattended ioun stones within 15 feet with this ability. This ability also allows her to cast prestidigitation at will as a spell-like ability.</p>",systems/pf1/icons/skills/yellow_09.jpg
,Kineticist,"[[""Kineticist""],[""Leshykineticist""]]",Kineticist (Leshykineticist),Leshykineticist,<id-00025,1,Basic Leshykinesis,"<p>A vine leshy leshykineticist can use her basic phytokinesis to move while in her alternate vine form, with a base speed of 10 feet and a climb speed of 10 feet. The vine counts as a prehensile appendage for the purpose of aiming kinetic blasts and gathering power. At the GM's discretion, this ability might apply to leshykineticists of other leshy varieties as long as their alternate forms aren't rooted to the ground (and even then, they might be able to use something like a branch to aim kinetic blasts).</p>",systems/pf1/icons/skills/yellow_09.jpg
,Kineticist,"[[""Kineticist""],[""Aquakinetcist""]]",Kineticist (Aquakinetcist),Aquakinetcist,<id-00046,1,Basis Aquakinesis,"<p>An aquakineticist can create mild currents, as per basic hydrokinesis. Additionally, she can adjust her buoyancy (see page 43) to whatever level she wishes as a standard action, lasting until she uses basic aquakinesis again.</p><p>This ability replaces basic hydrokinesis as her basic utility talent, and alters elemental focus.</p>",systems/pf1/icons/skills/yellow_09.jpg
,Kineticist,"[[""Kineticist""],[""Elemental Annihilator""]]",Kineticist (Elemental Annihilator),Elemental Annihilator,<id-00018,5,Blast Training,"<p>At 1st level, a kineticist gains an infusion wild talent from the list of options available based on her elemental focus. She gains additional infusions at 3rd, 5th, 9th, 11th, 13th, 17th, and 19th levels. By using infusions along with her kinetic blasts, a kineticist can alter her kinetic blasts to suit her needs. Infusions come in two types, each of which changes a kinetic blast differently: a substance infusion causes an additional effect, while a form infusion causes the kinetic blast to manifest in a different way. Each infusion can alter only certain kinds of kinetic blasts, which are listed in its Associated Blasts entry. Each time the kineticist uses one of her kinetic blast wild talents, she can apply up to one associated form infusion and up to one associated substance infusion. Some infusions change the action required to activate a kinetic blast or entirely transform the kinetic blast's normal effects. The burn cost listed in each infusion's Burn entry is added to the burn cost of the kinetic blast the infusion modifies.</p><p>The DC for a save against an infusion is based on the associated kinetic blast's effective spell level, not the level of the infusion. The DCs for form infusions are calculated using the kineticist's Dexterity modifier instead of her Constitution modifier. When a kineticist modifies a kinetic blast with a form infusion and a substance infusion that both require saving throws, each target first attempts a saving throw against the form infusion. If a target succeeds and a successful save negates the infusion's effects, the entire kinetic blast is negated; otherwise, the target then attempts a saving throw against the substance infusion. If a kineticist's form and substance infusions both alter the kinetic blast's damage, apply the substance infusion's alteration first.</p><p>At 5th, 11th, and 17th levels, a kineticist can replace one of her infusions with another infusion of the same effective spell level or lower. She can't replace an infusion that she used to qualify for another of her wild talents.</p>",systems/pf1/icons/skills/yellow_09.jpg
