id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Magus,"[[""Magus""],[""Esoteric""]]",Magus (Esoteric),Esoteric,<id-00019,7,AC Bonus,"<p>At 7th level when an esoteric wears light or no armor, he gains a +1 dodge bonus to AC and CMD. This bonus increases by 1 at 13th level. He loses these bonuses while immobilized or helpless, or while wearing medium or heavy armor, using a shield, or carrying a medium or heavy load. This ability replaces medium armor and heavy armor.</p>",systems/pf1/icons/spells/enchant-blue-3.jpg
,Magus,"[[""Magus""],[""Spire Defender""]]",Magus (Spire Defender),Spire Defender,<id-00014,4,Arcane Augmentation,"<p>At 4th level, a magus can expend 1 point from his arcane pool as a swift action to grant himself a +5 competence bonus for 1 minute to one of the following skills: Acrobatics, Climb, Escape Artist, Perception, Stealth, and Swim. For every three levels beyond 4th, the magus gains another +1 enhancement bonus, to a maximum of +10 at 19th level. This ability replaces the spell recall ability.</p>",systems/pf1/icons/spells/enchant-blue-3.jpg
,Magus,"[[""Magus""],[""Skirnir""]]",Magus (Skirnir),Skirnir,<id-00029,1,Arcane Bond,"<p>At 1st level, a skirnir gains a shield (except for a tower shield) as an arcane bond item. This is identical to the wizard class ability, but the skirnir may only bond with a shield, not a familiar or other item.</p>",systems/pf1/icons/spells/enchant-blue-3.jpg
,Magus,"[[""Magus""],[""Soul Forger""]]",Magus (Soul Forger),Soul Forger,<id-00029,1,Arcane Bond,"<p>At 1st level, a soul forger gains a weapon as an arcane bond item. This is identical to the wizard class ability, but the soul forger must select a weapon.</p>",systems/pf1/icons/spells/enchant-blue-3.jpg
,Magus,"[[""Magus""],[""Spell Dancer""]]",Magus (Spell Dancer),Spell Dancer,<id-00017,5,Arcane Movement,"<p>At 5th level, whenever a spell dancer casts a magus spell, he gains a competence bonus on Acrobatics, Climb, Escape Artist, and Stealth checks equal to the spell's level until the beginning of his next turn. This ability replaces the bonus feat a magus receives at 5th level.</p>",systems/pf1/icons/spells/enchant-blue-3.jpg
,Magus,"[[""Magus""],[""Puppetmaster""]]",Magus (Puppetmaster),Puppetmaster,<id-00004,1,Arcane Pool,"<p>A puppetmaster cannot expend points from his arcane pool to grant enhancement bonuses or weapon special abilities to a weapon he is holding. As a swift action whenever the puppetmaster casts a spell of the enchantment or illusion school, he can expend 1 point from his arcane pool to increase the spell's save DC or caster level by 1. At 7th level, the increase to the spell's save DC or caster level changes to 2, at 13th level to 3, and at 19th to 4. This alters the magus's arcane pool ability.</p>",systems/pf1/icons/spells/enchant-blue-3.jpg
,Magus,"[[""Magus""],[""Armored Battlemage""]]",Magus (Armored Battlemage),Armored Battlemage,<id-00004,1,Arcane Pool,"<p>An armored battlemage cannot spend points from his arcane pool to enhance weapons. Instead, he can expend 1 point from his arcane pool as a swift action to grant armor he is wearing a +1 enhancement bonus for 1 minute. For every 4 magus levels he has beyond 1st, the armor gains another +1 enhancement bonus, to a maximum of +5 at 17th level. These bonuses stack with existing armor enhancement bonuses to a maximum of +5. Multiple uses of this ability do not stack with themselves.</p><p>At 5th level, these bonuses can be used to add any of the following armor special abilities: balancedUE, bitterUE, fortification (heavy, light, or medium), ghost touch, invulnerability, spell resistance (13, 15, 17, or 19), or spell storingUE. Adding these special abilities consumes an amount of bonus equal to the ability's base price modifier. In addition, the armored battlemage can grant his armor the energy resistance special ability at the cost of a +3 bonus or the improved energy resistance special ability at the cost of a +5 bonus. These special abilities are added to any the armor already has, but duplicates do not stack. If the armor is not magical, at least a +1 enhancement bonus must be added before any other special abilities can be added. These bonuses and special abilities are decided when the arcane pool point is spent and cannot be changed until the next time the armored battlemage uses this ability. These bonuses do not function if the armor is worn by anyone other than the magus.</p><p>An armored battlemage can enhance only one suit of armor in this way at one time. If he uses this ability again, the first use immediately ends.</p>",systems/pf1/icons/spells/enchant-blue-3.jpg
,Magus,"[[""Magus""],[""Greensting Slayer""]]",Magus (Greensting Slayer),Greensting Slayer,<id-00004,1,Arcane Pool,"<p>At 1st level, a greensting slayer can expend 1 point from his arcane pool as a swift action to add 1d6 points of sneak attack damage to his next melee attack that round. The attack must meet all of the usual prerequisites for making a sneak attack, as the rogue class feature. For every 4 levels beyond 1st, the amount of sneak attack damage dealt by this ability increases by 1d6 (to a maximum of 5d6 at 17th level). If a greensting slayer gets a sneak attack from another source, the bonuses on damage stack.</p><p>A greensting slayer cannot use his arcane pool to enhance his weapon. This modifies the arcane pool ability.</p>",systems/pf1/icons/spells/enchant-blue-3.jpg
,Magus,"[[""Magus""],[""Skirnir""]]",Magus (Skirnir),Skirnir,<id-00004,1,Arcane Pool,"<p>At 1st level, the magus gains a reservoir of mystical arcane energy that he can draw upon to fuel his powers and enhance his weapon. This arcane pool has a number of points equal to 1/2 his magus level (minimum 1) + his Intelligence modifier. The pool refreshes once per day when the magus prepares his spells.</p><p>At 1st level, a magus can expend 1 point from his arcane pool as a swift action to grant any weapon he is holding a +1 enhancement bonus for 1 minute. For every four levels beyond 1st, the weapon gains another +1 enhancement bonus, to a maximum of +5 at 17th level. These bonuses can be added to the weapon, stacking with existing weapon enhancement to a maximum of +5. Multiple uses of this ability do not stack with themselves.</p><p>At 5th level, these bonuses can be used to add any of the following weapon properties: dancing, flaming, flaming burst, frost, icy burst, keen, shock, shocking burst, speed, or vorpal. Adding these properties consumes an amount of bonus equal to the property's base price modifier (see the Magic Weapon Special Ability Descriptions). These properties are added to any the weapon already has, but duplicates do not stack. If the weapon is not magical, at least a +1 enhancement bonus must be added before any other properties can be added. These bonuses and properties are decided when the arcane pool point is spent and cannot be changed until the next time the magus uses this ability. These bonuses do not function if the weapon is wielded by anyone other than the magus.</p><p>At 1st level, a skirnir can use his arcane pool to grant an enhancement bonus to a weapon as normal, as well as to his shield, paying the arcane pool cost separately for each. At 5th level and above, he can also add the following shield special abilities: animated, arrow catching, arrow deflection, bashing, blinding, fortification (any), reflecting, spell resistance (any).</p><p>A magus can only enhance one weapon in this way at one time. If he uses this ability again, the first use immediately ends.</p>",systems/pf1/icons/spells/enchant-blue-3.jpg
,Magus,"[[""Magus""],[""Iron-Ring Striker""]]",Magus (Iron-Ring Striker),Iron-Ring Striker,<id-00004,1,Arcane Pool,"<p>At 1st level, the magus gains a reservoir of mystical arcane energy that he can draw upon to fuel his powers and enhance his weapon. This arcane pool has a number of points equal to 1/2 his magus level (minimum 1) + his Intelligence modifier. The pool refreshes once per day when the magus prepares his spells.</p><p>At 1st level, a magus can expend 1 point from his arcane pool as a swift action to grant any weapon he is holding a +1 enhancement bonus for 1 minute. For every four levels beyond 1st, the weapon gains another +1 enhancement bonus, to a maximum of +5 at 17th level. These bonuses can be added to the weapon, stacking with existing weapon enhancement to a maximum of +5. Multiple uses of this ability do not stack with themselves.</p><p>At 5th level, these bonuses can be used to add any of the following weapon properties: dancing, flaming, flaming burst, frost, icy burst, keen, shock, shocking burst, speed, or vorpal. Adding these properties consumes an amount of bonus equal to the property's base price modifier (see the Magic Weapon Special Ability Descriptions). These properties are added to any the weapon already has, but duplicates do not stack. If the weapon is not magical, at least a +1 enhancement bonus must be added before any other properties can be added. These bonuses and properties are decided when the arcane pool point is spent and cannot be changed until the next time the magus uses this ability. These bonuses do not function if the weapon is wielded by anyone other than the magus.</p><p>A magus can only enhance one weapon in this way at one time. If he uses this ability again, the first use immediately ends.</p><p>An iron-ring striker can use his arcane pool to enhance his unarmed strikes as if they were manufactured weapons. At 5th level, he can use these bonuses to add any of the following weapon special abilities to his weapons or unarmed strikes: advancing, cruel, defending, guardian, impact, invigorating, mimetic, negating, speed, and vicious.</p>",systems/pf1/icons/spells/enchant-blue-3.jpg
