<<<<<<< HEAD
id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Medium,"[[""Medium""],[""Relic Channeler""]]",Medium (Relic Channeler),Relic Channeler,<id-00017,5,Apport Relic,"<p>At 5th level, a relic channeler can call one of her relics to her once per day as though she had cast apport object on it and was mentally completing the spell. Furthermore, if the relic channeler gains the apport object spell, she can use it to receive her relics without casting it on them in advance in the same way. The range at which the relic channeler can apport her relics (both with this ability and the spell) increases by an additional 5 feet for every 2 levels she possesses beyond 5th. This ability replaces location channel.</p>",systems/pf1/icons/skills/blue_35.jpg
,Medium,"[[""Medium""],[""Kami Medium""]]",Medium (Kami Medium),Kami Medium,<id-00020,13,Ask the Kami,"<p>At 13th level, a kami medium can ask the local kami for information, as commune with nature. While he can do so any number of times per day, he can ask questions of the kami in any particular area only once per day. Afterward, he must move to a non-overlapping area to use this ability again. This ability replaces ask the spirits.</p>",systems/pf1/icons/skills/blue_35.jpg
,Medium,"[[""Medium""],[""Outer Channeler""]]",Medium (Outer Channeler),Outer Channeler,<id-00021,14,Ask the Planes,"<p>At 14th level, an outer channeler gains the ask the spirits ability of the standard medium, except he sends his consciousness to a native plane of his chosen outsider subtype (Heaven for archons, Hell for devils, any good-aligned plane for angels, and so on).</p>",systems/pf1/icons/skills/blue_35.jpg
,Medium,"[[""Medium""],[""Spirit Dancer""]]",Medium (Spirit Dancer),Spirit Dancer,<id-00023,18,Attacca,"<p>At 18th level, a spirit dancer learns how to shift rapidly into the next movement of his dance. He no longer takes a penalty after his spirit dance ends and can enter another spirit dance immediately.</p>",systems/pf1/icons/skills/blue_35.jpg
,Medium,"[[""Medium""],[""Voice of the Void""]]",Medium (Voice of the Void),Voice of the Void,<id-00028,2,Blasphemy,"<p>Emissaries demand that a medium perform acts appealing to their alien whims. These work just like taboos for an ordinary medium, but in addition to the base taboo, they require bizarre and alien acts that distance the voice of the void from his own humanity. These blasphemies cause the medium to take a -1 penalty on Charisma checks and Charisma-based skill checks whenever he accepts a taboo. The increased devotion required to maintain a blasphemy reaps a greater reward, however. If the voice of the void is under a blasphemy, the die for his spirit surge changes from 1d6 to 1d8, increasing to 1d10 at 10th level and 1d12 at 20th level.</p>",systems/pf1/icons/skills/blue_35.jpg
,Medium,"[[""Medium""],[""Reanimated Medium""]]",Medium (Reanimated Medium),Reanimated Medium,<id-00026,1,Channel Self,"<p>A reanimated medium is essentially a bodiless spirit using influence to possess his own spiritless body. 'The reanimated medium' refers to this spirit. Unlike a normal medium, a reanimated medium becomes more powerful the more influence it has over its body. Each day, the reanimated medium can perform a seance at a location as normal to focus on one of his potential future legends. He channels that legendary potential as strongly as possible into his body. The spirit gains 3 points of influence over his body, to a maximum of 6 points. Since he is his own possessing spirit, he doesn't lose control at 5 or more points of influence, though he still suffers the legend's influence penalty as normal at 3 or more points of influence. All effects and abilities that normally increase or decrease influence (such as spirit surge and spirit powers) have the opposite effect on a reanimated medium (for instance, propitiation increases influence by 1 point and spirit surge reduces influence by 1 point); this does not apply to the new abilities from the reanimated medium archetype. A reanimated medium can't choose to channel a weaker spirit to avoid losing influence from using spirit surge. The body of a reanimated medium who reaches 0 points of influence enters a deathlike coma and is helpless for 24 hours, after which the reanimated medium reverts to 1 point of influence if the body is still alive, but can't perform a seance for another 24 hours.</p><p>A character who selects the reanimated medium archetype after 1st level can do so only after dying; at the GM's discretion, a dead character of another class with an intact body who has earned enough experience points to level up can take a level in medium and gain the reanimated medium archetype, and a dead medium might be able to gain this archetype. In any case, being revived from gaining the reanimated medium archetype does not impart any negative levels or other ill effects.</p><p>This ability alters spirit.</p>",systems/pf1/icons/skills/blue_35.jpg
,Medium,"[[""Medium""],[""Relic Channeler""]]",Medium (Relic Channeler),Relic Channeler,<id-00018,7,Connection Specialty,"<p>At 7th level, a relic channeler gains connection channel and can use that ability as a normal medium, despite not possessing location channel. She requires familiarity to use this ability, even if she is in an appropriate location. This ability alters connection channel.</p>",systems/pf1/icons/skills/blue_35.jpg
,Medium,"[[""Medium""],[""Spirit Eater""]]",Medium (Spirit Eater),Spirit Eater,<id-00018,7,Consume Spirit,"<p>At 7th level, a spirit eater can attempt to consume an incorporeal creature and house it within his body. If he reduces an incorporeal creature to 0 hit points or fewer, he can instead leave the creature at 1 hit point and consume the creature as an immediate action. A consumed creature is contained in the spirit eater's body and grants him a +1 bonus on either attack rolls, saving throws, or skill checks, chosen by the spirit eater, and a number of temporary hit points equal to the consumed creature's Hit Dice.</p><p>A spirit eater's body can hold a number of creatures equal to his spirit bonus. If he attempts to consume another creature after this point, he releases the creature that has been contained in his body longest. He can release a consumed creature as a free action. A consumed creature attempts to escape after 24 hours. The spirit eater can attempt to keep a consumed creature in his body by attempting a Will save (DC = 10 + half the spirit eater's level + twice the number of the creatures he has contained in his body). If he succeeds, the consumed creatures remain, but they grant the spirit eater's channeled spirit 1 point of influence over him. A released creature is destroyed as if it were reduced to 0 hit points and can reconstitute again later, if able.</p>",systems/pf1/icons/skills/blue_35.jpg
,Medium,"[[""Medium""],[""Spirit Dancer""]]",Medium (Spirit Dancer),Spirit Dancer,<id-00025,20,Dance of Infinite Forms,"<p>At 20th level, a spirit dancer has perfected his dance. He can now use each of his supreme spirit powers' once-per-day abilities one time each day, instead of just one ability. He can use his spirit troika by spending 2 rounds of spirit dance instead of 3. Finally, he can enter a spirit dance with all six of his prepared spirits at once by spending 4 rounds of spirit dance each round.</p>",systems/pf1/icons/skills/blue_35.jpg
,Medium,"[[""Medium""],[""Fiend Keeper""]]",Medium (Fiend Keeper),Fiend Keeper,<id-00016,3,Dark Communion,"<p>At 3rd level, a fiend keeper can entice the evil spirit to lend him its knowledge or its power as a full-round action a number of times per day equal to his class level. If the fiend keeper seeks knowledge, this behaves as contact other plane using his medium level as his caster level, but if he fails the Intelligence or Charisma check, his spirit gains 1 point of inf luence over him instead of reducing his ability scores. Treat the spirit as an entity from the Astral Plane for this ability. Its knowledge is equivalent to that of a demigod at 5th level, a lesser deity at 7th level, and an intermediate deity at 13th level.</p><p>If the fiend keeper requests power, he must instead succeed at an Intelligence or Charisma check (DC 10 at 3rd level, DC 12 at 7th level, or DC 14 at 13th level or higher), or his spirit gains 1 point of inf luence over him. Regardless of the outcome, he gains one of the following powers for 1 minute. At 5th level, he also gains a number of temporary hit points equal to his medium level for 1 minute. At 7th level, he selects two powers.</p><p>Dark Power: The fiend keeper gains a +1 profane bonus on attack and damage rolls, and a +1 profane bonus to AC. At 13th level, these bonuses increase to +2. Fiendish Form: The fiend keeper gains darkvision 60 feet. At 7th level, he grows fiendish wings and gains a fly speed equal to his base speed (average maneuverability). At 13th level, his fly speed instead equals double his base speed (good maneuverability).</p><p>Natural Attacks: The fiend keeper gains two claw attacks and a bite attack. These are primary attacks that each deal 1d4 points of damage (1d6 if the fiend keeper is Medium). At 13th level, the damage increases to 1d6 (1d8 if Medium).</p><p>Spirit Power: The fiend keeper's spirit bonus increases by 1. At 13th level, the spirit bonus instead increases by 2.</p><p>Unholy Resilience: The fiend keeper gains resistance 5 to two of the following energy types: acid, cold, electricity, fire, or sonic. The resistance increases to 10 at 7th level and 20 at 13th level.</p><p>This ability replaces haunt channeler, location channel, connection channel, and ask the spirits.</p>",systems/pf1/icons/skills/blue_35.jpg
,Medium,"[[""Medium""],[""Medium of the Master""]]",Medium (Medium of the Master),Medium of the Master,<id-00026,1,Dedicated Spirit,"<p>A medium of the master can channel only a champion spirit. A medium of the master can channel that spirit in places of quiet introspection, such as a Darklands grotto, peaceful glade, or windswept peak, in addition to a champion spirit's favored locations.</p>",systems/pf1/icons/skills/blue_35.jpg
