id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Mesmerist,"[[""Mesmerist""],[""Enigma""]]",Mesmerist (Enigma),Enigma,<id-00036,20,Absentia,"<p>At 20th level, all creatures adjacent to the enigma subconsciously ignore him. Adjacent creatures are always treated as flat-footed to the enigma and are not considered to be directly observing the enigma for the purpose of the Stealth skill. This effect ends immediately if the enigma makes a successful attack against any creature, but automatically resumes at the beginning of his next turn.</p><p>This ability replaces rule minds.</p>",systems/pf1/icons/skills/violet_10.jpg
,Mesmerist,"[[""Mesmerist""],[""Aromaphile""]]",Mesmerist (Aromaphile),Aromaphile,<id-00017,3,Aromatic Manipulation,"<p>At 3rd level, the aromaphile can touch a creature affected by his hypnotic aroma to alter its mental state. This functions as the touch treatment class feature, except the aromaphile cannot remove the confused, cowering, or stunned conditions, and he cannot break enchantments using this ability. Instead, he adds fatigued to his list of minor conditions and exhausted to his list of greater conditions.</p><p>An aromaphile can also use this ability to inflict hampering conditions on a target by touching it. At 3rd level, he can cause his target to become fascinated by his aroma. At 6th level, he can deaden the target's emotions (as per calm emotions). At 10th level, he can cause the target to become stunned. At 14th level, he can cause the target to fall asleep (as per deep slumber, except the Hit Die limit is equal to the aromaphile's level + 2). The target can attempt a Will save to negate these effects (DC = 10 + half the aromaphile's level + the aromaphile's Charisma modifier). On a failed save, the target gains the chosen condition for a number of rounds equal to the aromaphile's level. Each round that the target is affected, it can attempt a new Will save at the same DC to end the effect early. If the target succeeds at such a save, its turn immediately ends.</p><p>This alters touch treatment and replaces mental potency.</p>",systems/pf1/icons/skills/violet_10.jpg
,Mesmerist,"[[""Mesmerist""],[""Thought Eater""]]",Mesmerist (Thought Eater),Thought Eater,<id-00003,1,Assume Identity,"<p>When a thought eater targets a creature with his hypnotic stare ability, the thought eater gains a bonus on Disguise checks to appear as that creature. This bonus is equal to the thought eater's mesmerist level, and lasts for 24 hours, or until he uses his hypnotic stare ability on a different creature.</p><p>This ability replaces consummate liar.</p>",systems/pf1/icons/skills/violet_10.jpg
,Mesmerist,"[[""Mesmerist""],[""Thought Eater""]]",Mesmerist (Thought Eater),Thought Eater,<id-00024,3,Assume Knowledge,"<p>At 3rd level, the thought eater can choose one Knowledge skill possessed by the target of his hypnotic stare. He uses the target's number of ranks in that skill, instead of his own, to calculate his bonus (but not for other purposes, such as meeting the prerequisites of feats) to a maximum number of ranks equal to his mesmerist level. This ability lasts for 24 hours or until he uses his hypnotic stare ability on a different creature.</p><p>This ability replaces touch treatment.</p>",systems/pf1/icons/skills/violet_10.jpg
,Mesmerist,"[[""Mesmerist""],[""Thought Eater""]]",Mesmerist (Thought Eater),Thought Eater,<id-00018,2,Assume Morality,"<p>At 2nd level, the thought eater's alignment matches that of the target of his assume identity ability for the purposes of spells and effects that discern alignment. This includes any increase to alignment aura strength from class features, such as a cleric's aura ability.</p><p>This ability replaces towering ego.</p>",systems/pf1/icons/skills/violet_10.jpg
,Mesmerist,"[[""Mesmerist""],[""Autohypnotist""]]",Mesmerist (Autohypnotist),Autohypnotist,<id-00032,1,Autohypnosis,"<p>At 1st level, an autohypnotist has mastered techniques that make his hypnotic stare ability more potent, but at a terrible cost-the autohypnotist succumbs to his own power when he uses it. Whenever the autohypnotist focuses his stare on an opponent, the penalties that opponent takes from the hypnotic stare (as well as any bold stare improvements or stare feats that the autohypnotist has) increase by 1. However, the autohypnotist takes the same penalties as his target while focusing his stare, including those of any bold stare improvements he has.</p><p>An autohypnotist can reduce or negate the penalty he imposes upon himself with his hypnotic stare, but doing so allows his opponent an opportunity to escape from the stare as well. The autohypnotist can reduce the penalty he takes from his hypnotic stare ability by half for 1 round as a swift action. If he does so, there is a 25% chance that his hypnotic stare ends altogether. Alternatively, he can choose to negate the penalty he takes from his hypnotic stare for 1 round, but his hypnotic stare then has a 50% chance of ending.</p><p>This ability alters hypnotic stare.</p>",systems/pf1/icons/skills/violet_10.jpg
,Mesmerist,"[[""Mesmerist""],[""Vexing Daredevil""]]",Mesmerist (Vexing Daredevil),Vexing Daredevil,<id-00024,3,Bonus Feat,"<p>A vexing daredevil gains Improved Feint as a bonus feat at 3rd level, Greater Feint as a bonus feat at 6th level, and Greater Mesmerizing Feint* as a bonus feat at 10th level. She doesn't need to meet the prerequisites for these feats. At 14th level, she gains a bonus stare feat; she must meet the prerequisites of that feat. These bonus feats replace touch treatment.</p>",systems/pf1/icons/skills/violet_10.jpg
,Mesmerist,"[[""Mesmerist""],[""Vexing Trickster""]]",Mesmerist (Vexing Trickster),Vexing Trickster,<id-00024,3,Bonus Feat,"<p>At 3rd level, a vexing trickster gains a trick feat as a bonus feat. He must meet the feat's prerequisites. At 10th level, he gains a second trick feat as a bonus feat.</p>",systems/pf1/icons/skills/violet_10.jpg
,Mesmerist,"[[""Mesmerist""],[""Spirit Walker""]]",Mesmerist (Spirit Walker),Spirit Walker,<id-00025,6,Command Undead,"<p>At 6th level, a spirit walker gains Command Undead as a bonus feat. A spirit walker can use Command Undead a number of times per day equal to 1 + his Charisma modifier (minimum 1), using his mesmerist level as his cleric level. At 10th level, the DC to resist this effect increases by 2. This ability replaces the 6th- and 10th-level touch treatments.</p>",systems/pf1/icons/skills/violet_10.jpg
,Mesmerist,"[[""Mesmerist""],[""Vox""]]",Mesmerist (Vox),Vox,<id-00032,1,Compelling Voice,"<p>A vox can focus the sound of his voice on one creature within 30 feet as a swift action, sapping that target's willpower and rendering her more vulnerable to mind-affecting powers, rather than using a stare like other mesmerists. A vox can use his compelling voice even while deafened, but it has a 20% chance to fail, just like casting a spell with a verbal component. The target does not need to be able to understand what the vox is saying, but does need to be able to hear the sound of the vox's voice (for instance, this ability cannot be used if either the vox or his target is in an area of magical silence). Otherwise, the vox's compelling voice has the effects of the standard mesmerist's hypnotic stare, and it gains further benefits as normal from abilities like the painful stare and bold stare class features.</p>",systems/pf1/icons/skills/violet_10.jpg
,Mesmerist,"[[""Mesmerist""],[""Thought Eater""]]",Mesmerist (Thought Eater),Thought Eater,<id-00036,20,Consume Identity,"<p>At 20th level, when the thought eater kills a target of his hypnotic stare, he can choose to entirely consume the creature's identity, mind, body, and soul as a free action. The target's corpse dissolves and as long as the thought eater lives, the target of consume identity cannot be brought back from the dead until the thought eater releases the identity (a standard action) or uses consume identity on another target. The creature's soul can also be released by a wish or miracle (which ends the effect of consume identity). When the thought eater has consumed an identity, all divination spells identify him as (and consider him to be) the creature whose identity he consumed rather than himself. This ability fools any spell short of discern location. Discern location pinpoints the thought eater's location, whenever either the thought eater or the consumed creature is the target of that spell.</p><p>This ability replaces rule minds.</p>",systems/pf1/icons/skills/violet_10.jpg
,Mesmerist,"[[""Mesmerist""],[""Gaslighter""]]",Mesmerist (Gaslighter),Gaslighter,<id-00003,1,Consummate Cruelty,<p>A gaslighter gains a bonus equal to 1/2 his mesmerist level (minimum 1) on Intimidate checks. A gaslighter can take Improved Dirty TrickAPG and Greater Dirty TrickAPG without having Combat Expertise or an Intelligence score of 13. He can also ignore those two prerequisites for other feats that have Improved Dirty Trick or Greater Dirty Trick as a prerequisite.</p><p>This ability replaces consummate liar.</p>,systems/pf1/icons/skills/violet_10.jpg
