id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Monk,"[[""Monk""],[""Monk of the Seven Forms""]]",Monk (Monk of the Seven Forms),Monk of the Seven Forms,<monktimelessbody_17,17,Aspect Master,"<p>At 17th level, a monk of the four winds must choose an aspect of one of the great spirits of the world. Once made, this choice cannot be changed. This spirit grants the monk a new appearance and new abilities, as well as changing or augmenting the monk's personality in some way. Once this choice is made, it cannot be changed. The monk must abide by the alignment restrictions of the aspect. If the monk ever changes his alignment to something outside the aspect's alignment restrictions, he loses this ability and cannot regain it unless his alignment later changes again to match that of the aspect. This ability replaces timeless body.</p>",systems/pf1/icons/items/weapons/unarmed.PNG
,Monk,"[[""Monk""],[""Sage Counselor""]]",Monk (Sage Counselor),Sage Counselor,<monkstunningfist_1,1,Awaken Divinity,"<p>At 1st level, as a standard action, an Ouat can touch a creature to grant it a temporary ki point until the beginning of the Ouat's next turn. In addition to any other ways in which the target can use ki, it can expend the ki point as a swift action in order to either gain a +2 dodge bonus to AC for 1 round or increase its base speed by 20 feet for 1 round. The Ouat can target himself with this ability as a swift action, but doing so costs 2 uses of the ability.</p><p>At 4th level, the dodge bonus to AC increases to +4. At 8th level, an affected creature can spend the ki point to ignore all Strength, Dexterity, and Constitution penalties it would otherwise take for 1 round. At 12th level, an Ouat can target two adjacent creatures with this ability as a standard action, but must expend one use of the ability for each target affected. At 16th level, an affected creature can spend this ki point to roll all saving throws twice and take the higher result for 1 round. At 20th level, an affected creature can spend the ki point to benefit from the Ouat's perfect self class ability for 1 round. If the creature already has the perfect self class feature, its damage reduction and any spell resistance it has increases by 2 for 1 round.</p><p>An Ouat can use this ability a number of times per day equal to his class level, but no more than once per round. This ability replaces the stunning fist monk class feature and the greed and hatred racial traits.</p>",systems/pf1/icons/items/weapons/unarmed.PNG
,Monk,"[[""Monk""],[""Brazen Disciple""]]",Monk (Brazen Disciple),Brazen Disciple,<monkstunningfist_1,1,Black Asp's Path,"<p>A black asp is trained in the use of poison and cannot accidentally poison himself when applying poison to a weapon or when rolling a natural 1 on an attack roll with a poisoned weapon. At 3rd level, the black asp's ability to use poison improves. He gains Adder StrikeUC as a bonus feat even if he does not meet the prerequisites.</p>",systems/pf1/icons/items/weapons/unarmed.PNG
,Monk,"[[""Monk""],[""Invested Regent""]]",Monk (Invested Regent),Invested Regent,<monkbonusfeat_1,1,Bonus feat,"<p>A hellcat selects bonus feats from the following list: Aspect of the Beast, Blind-Fight, Combat Reflexes, Dodge, Diehard, Improved Grapple, and Power Attack. At 6th level, the following feats are added to the list: Critical Focus, Greater Grapple, Improved Blind-Fight, Mobility, and Stalwart. At 10th level, the following feats are added to the list: Bleeding Critical, Greater Blind-Fight, Improved Critical, Improved Stalwart, and Spring Attack.</p>",systems/pf1/icons/items/weapons/unarmed.PNG
,Monk,"[[""Monk""],[""Maneuver Master""]]",Monk (Maneuver Master),Maneuver Master,<monkbonusfeat_1,1,Bonus feat,"<p>At 1st level, 2nd level, and every 4 levels thereafter, a monk may select a bonus feat. These feats must be taken from the following list: Catch Off-Guard, Combat Reflexes, Deflect Arrows, Dodge, Improved Grapple, Scorpion Style, and Throw Anything. At 6th level, the following feats are added to the list: Gorgon's Fist, Improved Bull Rush, Improved Disarm, Improved Feint, Improved Trip, and Mobility. At 10th level, the following feats are added to the list: Improved Critical, Medusa's Wrath, Snatch Arrows, and Spring Attack. A monk need not have any of the prerequisites normally required for these feats to select them.</p><p>At 1st level, an ironskin monk adds Power Attack to his list of bonus feats. At 6th level, he adds Improved Sunder to the list. At 10th level, he adds Greater Sunder to the list. These bonus feat choices replace Dodge, Mobility, and Spring Attack on his bonus feat list.</p>",systems/pf1/icons/items/weapons/unarmed.PNG
,Monk,"[[""Monk""],[""Scaled Fist""]]",Monk (Scaled Fist),Scaled Fist,<monkbonusfeat_1,1,Bonus feat,"<p>At 1st level, 2nd level, and every 4 levels thereafter, a monk may select a bonus feat. These feats must be taken from the following list: Catch Off-Guard, Combat Reflexes, Deflect Arrows, Dodge, Improved Grapple, Scorpion Style, and Throw Anything. At 6th level, the following feats are added to the list: Gorgon's Fist, Improved Bull Rush, Improved Disarm, Improved Feint, Improved Trip, and Mobility. At 10th level, the following feats are added to the list: Improved Critical, Medusa's Wrath, Snatch Arrows, and Spring Attack. A monk need not have any of the prerequisites normally required for these feats to select them.</p><p>A scaled fist adds Dragon Style and Intimidating Prowess to her list of bonus feats at 1st level. At 6th level, she adds Dazzling Display and Dragon Ferocity. At 10th level, she adds Disheartening Display, Dragon Roar and Shatter Defenses.</p>",systems/pf1/icons/items/weapons/unarmed.PNG
,Monk,"[[""Monk""],[""Monk of the Empty Hand""]]",Monk (Monk of the Empty Hand),Monk of the Empty Hand,<monkunarmedstrike_1,1,Claws,<p>A menhir guardian learns to draw upon natural forces to subtly change his body. He gains the shifter's shifter claws class feature and treats his monk level as his shifter level for the purposes of this ability. The menhir guardian cannot use the ki strike aspect of ki pool.</p><p>This replaces unarmed strike and alters ki pool.</p>,systems/pf1/icons/items/weapons/unarmed.PNG
,Monk,"[[""Monk""],[""Invested Regent""]]",Monk (Invested Regent),Invested Regent,<monkstillmind_3,3,Crucible of Pain,"<p>At 3rd level, a hellcat gains an amount of DR/- equal to half his monk level against nonlethal damage. In addition, a hellcat is inured to hot climate effects as if using endure elements.</p>",systems/pf1/icons/items/weapons/unarmed.PNG
,Monk,"[[""Monk""],[""Nornkith""]]",Monk (Nornkith),Nornkith,<id-00001,2,Defensive Aid,"<p>At 2nd level, a number of times per day equal to his Wisdom bonus, a nimble guardian can interpose herself between one adjacent ally and an attack or damage dealt in an area of effect. If an adjacent ally is the target of the attack or is required to make a Reflex saving throw against a damaging effect, as an immediate action the nimble guardian can grant that ally a +4 circumstance bonus to AC or on the saving throw against the effect. The nimble guardian must use this ability before the attack roll or saving throw is made. The nimble guardian can only use this ability if he is wearing light or no armor. This ability replaces evasion.</p>",systems/pf1/icons/items/weapons/unarmed.PNG
,Monk,"[[""Monk""],[""Nornkith""]]",Monk (Nornkith),Nornkith,<monkpurityofbody_5,5,Defensive Mastery,"<p>At 5th level, a nimble guardian gains 3 additional uses of her defensive aid ability per day. Furthermore, if an ally that gained the benefit of a use of defensive aid succeeds her Reflex saving throw, and the effect still deals damage on a successful saving throw, the nimble guardian can spend 1 ki point to negate that damage. Doing so is not an action. This ability replaces purity of body.</p>",systems/pf1/icons/items/weapons/unarmed.PNG
