id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Ninja,"[[""Ninja""],[""Petal Ninja""]]",Ninja (Petal Ninja),Petal Ninja,<id-00014,2,Blossom Shower,"<p>At 2nd level, as a standard action, a petal ninja can spend 1 ki point to create a burst of flower petals in a 15-foot radius centered on a point within 20 feet. A blossom shower lasts for a number of rounds equal to half the petal ninja's level (minimum 1 round).</p><p>When activating a blossom shower, the petal ninja forgoes a number of sneak attack dice to determine the shower's effects, as noted below. These sneak attack dice are unavailable for the duration of the blossom shower and are regained when the effect ends. If an effect requires a saving throw, the DC is equal to 10 + twice the number of sneak attack dice expended + the petal ninja's Charisma modifier. The petal ninja can choose to create a lesser effect even if she expends more dice than required. For example, she can expend 4 sneak attack dice, but impart the effect of 3 sneak attack dice. The shower does not affect the petal ninja herself, apart from the concealment granted by using 1 sneak attack die.</p><p>1 Sneak Attack Die: Creatures within the radius gain concealment (20% miss chance).</p><p>2 Sneak Attack Dice: As 1 sneak attack die, except each creature in the radius must succeed at a Will save or be dazzled for 1d6 rounds.</p><p>3 Sneak Attack Dice: As 2 sneak attack dice, except creatures are sickened on a failed save.</p><p>4 Sneak Attack Dice: As 2 sneak attack dice, except creatures are fascinated on a failed save.</p><p>5 Sneak Attack Dice: As 2 sneak attack dice, except creatures are staggered on a failed save.</p><p>6 Sneak Attack Dice: As 2 sneak attack dice, except creatures are nauseated on a failed save.</p>",icons/weapons/thrown/dagger-ringed-grey.webp
,Ninja,"[[""Ninja""],[""Petal Ninja""]]",Ninja (Petal Ninja),Petal Ninja,<id-00030,4,Burst of Blossoms,"<p>At 4th level, a petal ninja gains the ability to transform into a cloud of blossoms as a standard action. By spending 1 point from her ki pool, a petal ninja can take the form of a cloud of blossoms, becoming insubstantial for 1 round, as gaseous form. While insubstantial she also gains a +4 circumstance bonus on Stealth checks. At 8th level, the duration increases to a number of rounds equal to 1 plus the petal ninja's Charisma modifier.</p>",icons/weapons/thrown/dagger-ringed-grey.webp
,Ninja,"[[""Ninja""],[""Hunting Serpent""]]",Ninja (Hunting Serpent),Hunting Serpent,<id-00018,10,Certain Demise,"<p>At 10th level, the hunting serpent's sneak attack damage applies on the first attack she makes each round against the target of her death mark ability, even if it normally wouldn't. Other effects that trigger on a sneak attack do not apply with this ability.</p>",icons/weapons/thrown/dagger-ringed-grey.webp
,Ninja,"[[""Ninja""],[""Hunting Serpent""]]",Ninja (Hunting Serpent),Hunting Serpent,<id-00030,4,Death Mark,"<p>At 4th level, as a swift action once per day, a hunting serpent can mark an opponent damaged by her sneak attack for death. A hunting serpent gains a +1 competence bonus on attack and damage rolls against an opponent affected by death mark as well as on Survival checks to track the marked creature. The bonuses from death mark and its number of uses per day increase by 1 at 8th, 12th, and 16th levels. The effects of death mark last for 24 hours, until the marked creature is slain, or until the hunting serpent chooses to mark another creature, whichever comes first.</p>",icons/weapons/thrown/dagger-ringed-grey.webp
,Ninja,"[[""Ninja""],[""Gunpowder Bombardier""]]",Ninja (Gunpowder Bombardier),Gunpowder Bombardier,<id-00032,8,Delayed Explosive,"<p>At 8th level, a gunpowder bombardier can plant a gunpowder bomb and delay its explosion. As a standard action, the gunpowder bombardier can place a gunpowder bomb-adding effects as she would if she were throwing the gunpowder bomb, and spending the requisite ki points-and specify a number of rounds after which the bomb will detonate, up to a maximum number of rounds equal to the gunpowder bombardier's ninja level. If the bomb is touched or moved by another creature, it detonates immediately. The gunpowder bombardier can have only one delayed explosive active at a time; planting another gunpowder bomb renders the previous bomb inert.</p>",icons/weapons/thrown/dagger-ringed-grey.webp
,Ninja,"[[""Ninja""],[""Gunpowder Bombardier""]]",Ninja (Gunpowder Bombardier),Gunpowder Bombardier,<id-00030,4,Explosive Impairment,"<p>At 4th level, a gunpowder bombardier can imbue her gunpowder bombs with impairing effects. By spending 1 additional ki point when she throws a gunpowder bomb, the gunpowder bombardier can cause her bomb to inflict one of the following conditions, in addition to dealing its normal damage, for a number of rounds equal to half her ninja level: dazzled, deafened, entangled, or shaken. At 8th level, she adds nauseated and stunned to the list of conditions her bombs can inflict. A creature that succeeds at the Reflex save to halve the damage also negates the condition inflicted by the gunpowder bomb.</p>",icons/weapons/thrown/dagger-ringed-grey.webp
,Ninja,"[[""Ninja""],[""Mask of the Living God""]]",Ninja (Mask of the Living God),Mask of the Living God,<id-00036,2,Expurgate,"<p>The role of a mask of the Living God is to silence heretics and blasphemers, and he is an expert at rendering even the most glib of his foes into babbling fools. At 2nd level, when he deals damage to a target, he can expend 1 point from his ki pool to affect that target as if he had cast fumbletongue, using his ninja level as his caster level. The target can attempt a Will saving throw (DC = 10 + half the ninja's level + his Charisma modifier) to negate this effect. At 6th level, the target of this ability is instead struck entirely mute for 1d4 rounds unless it succeeds at a Will saving throw. The mask of the Living God cannot spend a point from his ki pool to make an additional attack.</p>",icons/weapons/thrown/dagger-ringed-grey.webp
,Ninja,"[[""Ninja""],[""Gunpowder Bombardier""]]",Ninja (Gunpowder Bombardier),Gunpowder Bombardier,<id-00014,2,Gunpowder Bomb 1d6,"<p>At 2nd level, a gunpowder bombardier can expend 1 ki point to throw a gunpowder bomb at a grid intersection as a ranged attack against AC 5 with a range of 20 feet. The gunpowder bomb deals 1d6 points of bludgeoning damage to all creatures in a 10-footradius burst, which can be increased to 20 feet by spending 1 additional ki point. A creature in the bomb's radius can attempt a Reflex save (DC = 10 + half the gunpowder bombardier's ninja level + her Dexterity modifier) for half damage. At 5th level and every 2 levels thereafter, the bomb's damage increases by 1d6, to a maximum of 9d6 points of bludgeoning damage at 19th level.</p>",icons/weapons/thrown/dagger-ringed-grey.webp
,Ninja,"[[""Ninja""],[""Frozen Shadow""]]",Ninja (Frozen Shadow),Frozen Shadow,<id-00035,2,Hardy Killer,"<p>At 2nd level, a frozen shadow has become incredibly inured to his surrounding climate. At the beginning of any day, the frozen shadow can spend 1 point from his ki pool to benefit from the effects of an endure elements spell. The frozen shadow does not treat any Acrobatics skill check to jump as if he had a running start, and at 10th level he cannot reduce the DC of Acrobatics skill checks made to jump by half.</p>",icons/weapons/thrown/dagger-ringed-grey.webp
,Ninja,"[[""Ninja""],[""Mask of the Living God""]]",Ninja (Mask of the Living God),Mask of the Living God,<id-00032,8,Improved Uncanny Dodge,"<p>At 8th level, a ninja can no longer be flanked. This defense denies another ninja (or rogue) the ability to sneak attack the ninja by flanking her, unless the attacker has at least four more ninja (or rogue) levels than the target does.</p><p>If a character already has uncanny dodge from another class, the levels from the classes that grant uncanny dodge stack when determining the minimum ninja (or rogue) level required to flank the character.</p>",icons/weapons/thrown/dagger-ringed-grey.webp
,Ninja,"[[""Ninja""],[""Mask of the Living God""]]",Ninja (Mask of the Living God),Mask of the Living God,<id-00035,1,Mask,<p>A mask of the Living God has a mask that is a symbol of his faith and the myriad powers invested in him. Abilities granted by this class other than undercover faith function only while the mask of the Living God is wearing his mask. Putting on or removing this mask is a move action.</p>,icons/weapons/thrown/dagger-ringed-grey.webp
,Ninja,"[[""Ninja""],[""Gunpowder Bombardier""]]",Ninja (Gunpowder Bombardier),Gunpowder Bombardier,<id-00024,3,No Trace +1,"<p>At 3rd level, a ninja learns to cover her tracks, remain hidden, and conceal her presence. The DC to track a ninja using the Survival skill increases by +1. In addition, her training gives her a +1 insight bonus on Disguise skill checks and on opposed Stealth checks whenever she is stationary and does not take any action for at least 1 round. Every three levels thereafter, the increase to Survival DCs and the bonuses on Disguise and opposed Stealth checks increase by 1.</p>",icons/weapons/thrown/dagger-ringed-grey.webp
,Ninja,"[[""Ninja""],[""Frozen Shadow""]]",Ninja (Frozen Shadow),Frozen Shadow,<id-00024,3,No Trace +1,"<p>At 3rd level, a ninja learns to cover her tracks, remain hidden, and conceal her presence. The DC to track a ninja using the Survival skill increases by +1. In addition, her training gives her a +1 insight bonus on Disguise skill checks and on opposed Stealth checks whenever she is stationary and does not take any action for at least 1 round. Every three levels thereafter, the increase to Survival DCs and the bonuses on Disguise and opposed Stealth checks increase by 1.</p>",icons/weapons/thrown/dagger-ringed-grey.webp
,Ninja,"[[""Ninja""],[""Hunting Serpent""]]",Ninja (Hunting Serpent),Hunting Serpent,<id-00024,3,Relentless Pursuit +1,"<p>At 3rd level, a hunting serpent gains a +1 bonus on Diplomacy checks to gather information and on Survival checks to identify or follow tracks. The bonus increases by 1 for every 3 ninja levels beyond 3rd.</p>",icons/weapons/thrown/dagger-ringed-grey.webp
,Ninja,"[[""Ninja""],[""Mask of the Living God""]]",Ninja (Mask of the Living God),Mask of the Living God,<id-00024,3,Stern Gaze,"<p>A mask of the Living God is trained to sense deception and strike fear into the hearts of his foes. At 3rd level, he gains a morale bonus equal to half his ninja level on Intimidate and Sense Motive checks.</p>",icons/weapons/thrown/dagger-ringed-grey.webp
,Ninja,"[[""Ninja""],[""Petal Ninja""]]",Ninja (Petal Ninja),Petal Ninja,<id-00031,6,Sundial,"<p>At 6th level, the petal ninja gains the ability to change the lighting in a 30-foot-radius emanation centered on herself as a move action. For every ki point she spends, the light levels change by one step (from darkness to dim light, normal light, and bright light, and vice versa). This change remains in effect for 1 minute.</p>",icons/weapons/thrown/dagger-ringed-grey.webp
,Ninja,"[[""Ninja""],[""Frozen Shadow""]]",Ninja (Frozen Shadow),Frozen Shadow,<id-00032,8,Swift Tracker,"<p>At 8th level, a frozen shadow can move at his normal speed while using Survival to follow tracks without taking the normal -5 penalty. He takes only a -10 penalty (instead of the normal -20) when moving up to twice his normal speed while tracking. Additionally, his bonus on Will saving throws to disbelieve illusions affecting a creature or creatures increases to +4.</p>",icons/weapons/thrown/dagger-ringed-grey.webp
,Ninja,"[[""Ninja""],[""Frozen Shadow""]]",Ninja (Frozen Shadow),Frozen Shadow,<id-00030,4,Track Victim,"<p>Starting at 4th level, a frozen shadow adds half his ninja level on Survival checks to follow tracks and on Perception checks to see through disguises. Additionally, if the frozen shadow sees a creature that has changed its appearance using the Disguise skill, he can always attempt a Perception check to see through the disguise, even if the disguised creature did nothing to draw attention to itself. The frozen shadow also gains a +2 bonus to Will saving throws when attempting to disbelieve an illusion affecting a creature or creatures.</p>",icons/weapons/thrown/dagger-ringed-grey.webp
