id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Occultist,"[[""Occultist""],[""Curator""]]",Occultist (Curator),Curator,<id-00035,3,Adaptable Powers,"<p>At 3rd level, a curator learns one focus power from each of the schools associated with his extensive collection. Whenever he activates his collection, he can use those focus powers associated with his selected school of magic while the relic remains empowered. Whenever the curator would learn another focus power for an implement, he can instead select two new focus powers from different schools associated with his extensive relic collection.</p>",icons/sundries/books/book-eye-purple.webp
,Occultist,"[[""Occultist""],[""Sha'ir""]]",Occultist (Sha'ir),Sha'ir,<id-00021,2,Augment Jin,"<p>Starting at 2nd level, a sha'ir's jin uses its master's base saving throws if they are better than its own, and it uses either its own hit point total or 1/2 its master's hit points, whichever is higher. At 4th level, a sha'ir can concentrate for 1 full round and expend 1 point of mental focus stored in a jin to grant that jin all the statistics of a Small elemental of its type for 1 round per occultist level (this includes gaining any of the following abilities, if applicable: air mastery, burn, drench, earth glide, earth mastery, vortex, water mastery, and whirlwind). At 8th level, she can instead expend 2 points of mental focus to give one of her jin all the statistics of a Medium elemental. At 10th level, the cost of giving a jin the statistics of a Medium elemental decreases to 1 point of mental focus, and the sha'ir can give a jin all the statistics of a Large elemental for 2 points of mental focus. At 12th level, the cost of giving a jin the statistics of a Large elemental decreases to 1 point of mental focus and the sha'ir can give a jin the statistics of a Huge elemental for 2 points of mental focus. At 14th level, the cost of giving a jin the statistics of a Huge elemental decreases to 1 point of mental focus and the sha'ir can give a jin the statistics of a greater elemental for 2 points of mental focus. At 16th level, the sha'ir can give a jin the statistics of an elder elemental for 3 points of mental focus. This ability replaces magic item skill and object reading.</p>",icons/sundries/books/book-eye-purple.webp
,Occultist,"[[""Occultist""],[""Battle Host""]]",Occultist (Battle Host),Battle Host,<id-00035,2,Battle Reading,"<p>At 2nd level, a battle host can use object reading on only weapons, armor, and shields. This ability alters object reading.</p>",icons/sundries/books/book-eye-purple.webp
,Occultist,"[[""Occultist""],[""Battle Host""]]",Occultist (Battle Host),Battle Host,<id-00034,2,Battle Skill,"<p>At 2nd level, a battle host's magic item skill ability applies only on checks with weapons, armor, and shields. This ability alters magic item skill.</p>",icons/sundries/books/book-eye-purple.webp
,Occultist,"[[""Occultist""],[""Tome Eater""]]",Occultist (Tome Eater),Tome Eater,<id-00033,1,Bonded Tome,"<p>At 1st level, a tome eater forms a supernatural bond with a specific book. She can replace her bonded tome with another book at any time, though the tome eater must perform a 24-hour binding ritual to attune herself to the new book.</p><p>The bonded tome starts as an implement for any two schools of magic at 1st level, and it gains access to additional schools of magic at 2nd, 10th, 14th, and 18th levels, granting the tome eater access to base focus powers and resonant powers accordingly. The tome eater's bonded tome serves as her implement component to cast occultist spells of all schools she knows. However, she must split her mental focus among the schools she knows for the purpose of determining resonant powers and using focus powers, even though she possesses only one physical item as an implement. Once per day as part of casting an occultist spell, a tome eater can expend 1 point of mental focus tied to the appropriate school to increase the spell's caster level by 1 or increase the spell's DC by 1. A tome eater can enhance a spell in this manner one additional time per day at 6th level, and another time per day for every 5 occultist levels she possesses beyond 6th. This ability alters implements, mental focus, spellcasting, and implement mastery.</p>",icons/sundries/books/book-eye-purple.webp
,Occultist,"[[""Occultist""],[""Battle Host""]]",Occultist (Battle Host),Battle Host,<id-00023,4,Bonus Feat,"<p>At 4th, 8th, 12th, and 16th levels, a battle host gains a bonus feat in addition to those gained from normal advancement. These bonus feats must be selected from those listed as combat feats. The battle host must meet the prerequisites of these bonus feats. This ability replaces shift focus, magic circles, binding circles, and fast circles.</p>",icons/sundries/books/book-eye-purple.webp
,Occultist,"[[""Occultist""],[""Secret Broker""]]",Occultist (Secret Broker),Secret Broker,<id-00021,2,Broker Secrets,"<p>At 2nd level, a secret broker can trade her secrets to another. For the purpose of this ability, an object's secret is composed of pieces of information gained from a single object through object reading, object seer, psychometry, or read object that the occultist didn't otherwise know and hasn't shared with another, written somewhere, or otherwise recorded or found a way to recover should she forget them and lose possession of the object. The secret broker can willingly use this ability in tandem with handing the object over to another creature in order to transfer the object's secret to that creature. The secret broker forgets the object's secret and the creature instantly learns the object's secret.</p><p>The secret broker can also destroy an object to remove his memory of the object's secret without transferring it to another. In either case, any onlookers who understand what the secret broker is doing, and the recipient in the case of a transfer, can intrinsically tell that the secret broker has used this ability rather than simply sharing the memory through other means or destroying the object but keeping its secret.</p>",icons/sundries/books/book-eye-purple.webp
,Occultist,"[[""Occultist""],[""Silksworn""]]",Occultist (Silksworn),Silksworn,<id-00019,1,Cantrips,"<p>Each time he selects an implement school, a silksworn gains one cantrip, or 0-level arcane spell (including when he selects a school that he has already learned to use). These cantrips otherwise behave as an occultist's knacks.</p>",icons/sundries/books/book-eye-purple.webp
,Occultist,"[[""Occultist""],[""Panoply Savant""]]",Occultist (Panoply Savant),Panoply Savant,<id-00031,16,Combined Powers,"<p>At 16th level, whenever a panoply savant uses a focus power from one of his chosen panoply's associated implements, he can expend 2 additional points of mental focus to also use a focus power from one of his chosen panoply's other associated implements as part of the same action. The second focus power must take the same amount of time or less to activate than the first focus power, and the panoply savant must expend the normal mental focus cost to use the second focus power.</p>",icons/sundries/books/book-eye-purple.webp
,Occultist,"[[""Occultist""],[""Curator""]]",Occultist (Curator),Curator,<id-00026,8,Complex Collection,"<p>At 8th level, a curator can empower two relics that are in his collection simultaneously, and he gains the benefits of both. When he does so, he must allocate his relic collection's mental focus between the two relics.</p>",icons/sundries/books/book-eye-purple.webp
