id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Oracle,"[[""Oracle""],[""Cyclopean Seer""]]",Oracle (Cyclopean Seer),Cyclopean Seer,<id-00016,1,Assume Fate,"<p>As an immediate action when targeted by an effect that requires a saving throw, you can choose another creature within line of sight that is attempting a save against the same effect. The target takes a penalty on its saving throw equal to 1d4 + 1 for every 4 levels you possess. You gain the value of their penalty as a luck bonus on your saving throw. You can use this ability a number of times per day equal to your Charisma bonus. This replaces the revelation gained at 1st level.</p>",systems/pf1/icons/skills/shadow_12.jpg
,Oracle,"[[""Oracle""],[""Black-Blooded Oracle""]]",Oracle (Black-Blooded Oracle),Black-Blooded Oracle,<id-00016,1,Black Blood Revelation,"<p>All black-blooded oracles have access to the following revelations, regardless of what mystery they choose.</p><p>Black Blood Spray (Su): As an immediate action whenever a black-blooded oracle takes piercing or slashing damage, she can cause some of her black blood to spray from the wound to strike any adjacent target. She must make a touch attack to hit the target (if she's attacking the creature that caused the wound, she gains a +4 circumstance bonus on her attack roll). If she hits, she deals 1d8 points of cold damage + 1 point per 2 oracle levels she possesses. She can use this ability a number of times per day equal to 1/2 her oracle level (minimum 1/day).</p><p>Dark Resilience (Su): The black blood flowing through a black-blooded oracle's veins gives her resistance to many effects to which undead are immune. Once per day, as an immediate action, whenever she fails a saving throw against an ability drain, a death effect, disease, energy drain, paralysis, or poison, she may attempt that saving throw again with a +4 circumstance bonus. She must take the second result, even if it is worse. At 7th level, she can use this ability twice per day. At 15th level, she can use the ability 3 times per day.</p><p>Darkvision (Ex): A black-blooded oracle gains darkvision with a range of 60 feet. The range increases to 90 feet at 15th level.</p>",systems/pf1/icons/skills/shadow_12.jpg
,Oracle,"[[""Oracle""],[""Spirit Guide""]]",Oracle (Spirit Guide),Spirit Guide,<id-00017,3,Bonded Spirit,"<p>At 3rd level, a spirit guide can form a temporary bond with a spirit, as the shaman's wandering spirit class feature (see page 37). She must make this selection each day when she refreshes her spells. A spirit guide cannot bond with a spirit that is incompatible with her alignment, ethos, or mystery (GM's discretion).</p><p>A spirit guide gains one hex of her choice from the list of hexes available from that spirit. She uses her oracle level as her shaman level, and she switches Wisdom for Charisma and vice versa for the purpose of determining the hex's effects.</p><p>At 4th level, she adds the bonded spirit's spirit magic spells to her oracle spells known for that day, but only of spell levels she can cast. At 7th level, she gains the spirit ability of her current bonded spirit. At 15th level, she gains the greater spirit ability of her current bonded spirit.</p>",systems/pf1/icons/skills/shadow_12.jpg
,Oracle,"[[""Oracle""],[""Psychic Searcher""]]",Oracle (Psychic Searcher),Psychic Searcher,<id-00008,4,Bonus Spell,"<p>Augury (4th), locate object (6th), divination (8th), find the path (12th), discern location (16th), foresight (18th). These bonus spells replace the oracle's normal mystery bonus spells at these levels.</p>",systems/pf1/icons/skills/shadow_12.jpg
,Oracle,"[[""Oracle""],[""Possessed Oracle""]]",Oracle (Possessed Oracle),Possessed Oracle,<id-00007,2,Bonus Spell,"<p>ventriloquism (2nd), spider climb (4th), screech (6th), sleepwalk (8th), telekinesis (10th), animate objects (12th), divine vessel (16th). These bonus spells replace the oracle's normal mystery bonus spells at these levels.</p>",systems/pf1/icons/skills/shadow_12.jpg
,Oracle,"[[""Oracle""],[""Tree Soul""]]",Oracle (Tree Soul),Tree Soul,<id-00007,2,Bonus Spell,"<p>Warp wood (2nd), tree stride (10th), ironwood (12th), changestaff (14th), repel metal or stone (16th), greater siege of trees (18th). These bonus spells replace the oracle's mystery bonus spells at these levels.</p>",systems/pf1/icons/skills/shadow_12.jpg
,Oracle,"[[""Oracle""],[""Stargazer""]]",Oracle (Stargazer),Stargazer,<id-00007,2,Bonus Spell,"<p>faerie fire (2nd), glitterdust (4th), guiding star (6th), wandering star motes (8th), meteor swarm (18th). These bonus spells replace the oracle's mystery bonus spells at these levels.</p>",systems/pf1/icons/skills/shadow_12.jpg
,Oracle,"[[""Oracle""],[""Shigenjo""]]",Oracle (Shigenjo),Shigenjo,<id-00007,2,Bonus Spell,"<p>true strike (2nd), alter self (4th), divine power (8th), magic jar (12th), ki shout (14th, ), moment of prescience (16th). These bonus spells replace the shigenjo's mystery bonus spells at these levels.</p>",systems/pf1/icons/skills/shadow_12.jpg
,Oracle,"[[""Oracle""],[""Seer""]]",Oracle (Seer),Seer,<id-00008,4,Bonus Spell,"<p>detect thoughts (4th), clairaudience/clairvoyance (6th), scrying (8th), true seeing (10th), legend lore (12th), greater scrying (14th), vision (16th), foresight (18th). These bonus spells replace the oracle's mystery bonus spells at these levels.</p>",systems/pf1/icons/skills/shadow_12.jpg
,Oracle,"[[""Oracle""],[""River Soul""]]",Oracle (River Soul),River Soul,<id-00007,2,Bonus Spell,"<p>Hydraulic push (2nd), hydraulic torrent (6th), control water (8th), cone of cold (10th), world wave (18th). These bonus spells replace the oracle's mystery bonus spells at these levels.</p>",systems/pf1/icons/skills/shadow_12.jpg
