id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,,Img
,Paladin,"[[""Paladin""],[""Virtuoso Bravo""]]",Paladin (Virtuoso Bravo),Virtuoso Bravo,<id-00025,11,Advanced Deeds,"<p>At 11th level, a virtuous bravo gains the following swashbuckler deeds: bleeding wound, evasive, subtle blade, superior feint, swashbuckler's grace, and targeted strike.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Tortured Crusader""]]",Paladin (Tortured Crusader),Tortured Crusader,<id-00031,1,All is Darkness,"<p>Everything around a tortured crusader is so bleak that detecting evil only reminds her that the odds are always against her. A tortured crusader doesn't gain the detect evil or divine grace class features. At 1st level, a tortured crusader gains the smite evil ability, but she doesn't add her Charisma bonus to attack rolls or a deflection bonus equal to her Charisma bonus to her AC against the target of her smite. At 2nd level, she adds a +4 bonus to attack rolls and a +4 deflection bonus to AC against the target of her smite.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Tortured Crusader""]]",Paladin (Tortured Crusader),Tortured Crusader,<id-00032,1,Alone in the Dark,"<p>Faced with endless foes, a tortured crusader can't ask others to confront the same horrors she does. She can't use her lay on hands ability to heal others or to channel energy, though starting at 4th level, she can convert two uses of lay on hands into an additional use of smite evil. Her aura of courage, aura of resolve, aura of faith, and aura of righteousness affect only her, not her allies. When she selects a divine bond, it must be with a weapon, not a mount.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Oath against Fiends""]]",Paladin (Oath against Fiends),Oath against Fiends,<id-00024,8,Anchoring Aura,"<p>At 8th level, a paladin's aura hampers extradimensional travel by evil outsiders. The aura extends 20 feet from the paladin. Evil outsiders attempting to use abilities such as dimension door, plane shift, or teleport to leave or enter the aura must succeed at a Will save (DC 10 + 1/2 the paladin's level + the paladin's Charisma modifier); failure means the ability does not function, as if the outsider were affected by dimensional anchor. The aura functions only while the paladin is conscious, not if she is unconscious or dead.</p><p>Alternatively, as an immediate action, the paladin can expend one use of her smite evil ability to target an evil outsider within 30 feet with dimensional anchor. A targeted dimensional anchor persists even if the paladin is unconscious or dead.</p><p>This ability replaces aura of resolve.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Tranquil Guardian""]]",Paladin (Tranquil Guardian),Tranquil Guardian,<id-00028,20,Apostle of Peace,"<p>At 20th level, a tranquil guardian's DR increases to 10/evil, and whenever she channels positive energy or uses lay on hands to heal, she heals the maximum possible amount. In addition, any creature struck by her Touch of Serenity, even if it saves, must make an additional Will save (DC 10 + 1/2 her tranquil guardian level + her Charisma modifier) the next time it tries to attack. If it fails this save, the attack (including spells or special abilities) automatically fails. This ability replaces holy champion.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Pearl Seeker""]]",Paladin (Pearl Seeker),Pearl Seeker,<id-00013,3,Aquatic Domain,"<p>At 3rd level, a pearl seeker gains the 1st-level domain power of the Aquatic terrain domain (see page 33 of Ultimate Magic), using her paladin level as her effective druid level. At 8th level, she gains the 6th-level domain power of the Aquatic terrain domain.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Iomedaen Enforcer""]]",Paladin (Iomedaen Enforcer),Iomedaen Enforcer,<id-00029,17,Armor of Law,"<p>When an enforcer gains damage reduction from aura of righteousness, it is DR 5/chaos instead of DR 5/evil. When that DR increases from the holy champion class feature, it increases to DR 10/chaos.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Oath against the Whispering Way""]]",Paladin (Oath against the Whispering Way),Oath against the Whispering Way,<id-00024,8,Aura against Necromancy,"<p>At 8th level, the paladin gains a +4 morale bonus on saves against necromancy spells and spell-like abilities. Each ally within 10 feet of her gains a +2 morale bonus on these saves. This ability functions only while the paladin is conscious, not if she is unconscious or dead.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Martyr""]]",Paladin (Martyr),Martyr,<id-00005,1,Aura Mastery,"<p>The martyr's aura of courage, aura of resolve, and aura of righteousness have a radius of 20 feet instead of 10 feet, but the martyr does not gain immunity to fear, charms, or compulsions from those abilities.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Tranquil Guardian""]]",Paladin (Tranquil Guardian),Tranquil Guardian,<id-00024,8,Aura of Calm,"<p>At 8th level, a tranquil guardian is immune to all spells and spell-like abilities with the emotion descriptor, as well as all fear effects. Each ally within 10 feet of her gains a +4 morale bonus on saving throws against these effects.</p><p>This ability functions only while the tranquil guardian is conscious, not if she is unconscious or dead. This ability replaces aura of resolve.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
