<<<<<<< HEAD
id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Psychic,"[[""Psychic""],[""Psychic Marauder""]]",Psychic (Psychic Marauder),Psychic Marauder,<id-00011,3,Aura of Insanity,"<p>At 3rd level, a psychic marauder's madness begins to leak out. As a standard action, the psychic marauder can spend 1 point from her phrenic pool to manifest an aura of insanity, letting bits of her psyche penetrate the minds of those around her. The aura is centered on the psychic marauder and has a radius of 10 feet, increasing by 5 feet for every 3 class levels beyond 3rd. Any creature starting its turn within the aura must succeed at a Will save (DC = 10 + half the psychic marauder's level + the psychic marauder's Charisma modifier) or be confused for 1 round. The psychic marauder can exclude a number of targets inside the radius equal to 1 + 1 for every 3 class levels beyond 3rd, shielding them from her madness. The aura of insanity lasts for a number of rounds equal to the psychic marauder's Charisma modifier. This is a mind-affecting effect.</p><p>At 11th level, when a creature rolls to determine the effects of a confusion effect while within the aura of insanity, the psychic marauder can spend 1 point from her phrenic pool to force the affected creature to roll twice. The psychic marauder selects which result is used.</p><p>At 19th level, when a creature would roll to determine the effects of a confusion effect while within the aura of insanity, the psychic marauder can spend 2 points from her phrenic pool to select the result of the affected creature's confused condition without rolling. This does not allow the psychic marauder to control how that result is applied.</p>",systems/pf1/icons/feats/iron-will.jpg
,Psychic,"[[""Psychic""],[""Terror Weaver""]]",Psychic (Terror Weaver),Terror Weaver,<id-00013,9,Aura of Intimidation,"<p>Because he lacks the physical prowess of most orcs, a terror weaver seeks to end fights before they start. At 9th level, he can cast aura of doom as a spell-like ability once per day. He can also expend any unused spell slot of 4th level or higher to cast aura of doom. Casting the spell using a higher-level spell slot gives no benefit on its own, but the terror weaver can apply metamagic feats that would increase the spell level to the appropriate level. At 11th level, a terror weaver's aura of doom causes enemies to become frightened instead of shaken. At 19th level, it causes enemies to become panicked.</p>",systems/pf1/icons/feats/iron-will.jpg
,Psychic,"[[""Psychic""],[""Mutation Mind""]]",Psychic (Mutation Mind),Mutation Mind,<id-00017,2,Bodily Mutation,"<p>Starting at 3rd level, whenever a mutation mind gains a phrenic amplification, she can select either a phrenic amplification or a bodily mutation. A bodily mutation grants its benefit only when the mutation mind is affected by her physical mutation. Each time she activates her physical mutation, she can activate any number of bodily mutations she possesses.</p><p>Adhesive (Ex): The mutation mind's skin becomes sticky, granting her a +4 bonus on disarm and grapple combat maneuver checks.</p><p>Bite Attack (Ex): The mutation mind's mouth fills with sharp teeth, allowing her to make a bite attack as part of a full-attack action at her highest base attack bonus. This attack deals 1d4 points of damage (1d3 if Small) and counts as a primary attack unless combined with manufactured weapon attacks, as normal.</p><p>Bulging Eyes (Ex): The mutation mind's eyes grow large and round, granting her darkvision with a range of 60 feet.</p><p>Claws (Ex): The mutation mind's hands turn into claws, allowing her to make two claw attacks as a full-attack action at her highest base attack bonus. Each of these attacks deals 1d4 points of damage (1d3 if Small) and counts as a primary attack unless combined with manufactured weapon attacks, as normal.</p><p>Elongated Fingers (Ex): The mutation mind's fingers grow long and supple, increasing her reach by 5 feet when she's making melee touch attacks.</p><p>Elongated Legs (Ex): The mutation mind's legs become long and spindly, increasing her base movement by 10 feet.</p><p>Energy Resistance (Ex): The mutation mind's body changes in color and texture, and gains energy resistance 5 to one energy type (acid, cold, electricity, fire, or sonic), chosen when this mutation is selected. This mutation can be selected multiple times. Each time it is selected, the mutation mind either chooses an additional energy type to gain energy resistance 5 against or increases the resistance granted to one existing type by 5.</p><p>Enlarged Torso (Ex): The mutation mind's torso enlarges disproportionately with the rest of her body, granting her a +2 natural armor bonus to AC.</p><p>Rubbery (Ex): The mutation mind's body becomes soft and rubbery, granting her DR 2/-.</p><p>Slimy (Ex): The mutation mind exudes a thin layer of oily slime over her body, granting her a +4 bonus to CMD.</p>",systems/pf1/icons/feats/iron-will.jpg
,Psychic,"[[""Psychic""],[""Formless Adept""]]",Psychic (Formless Adept),Formless Adept,<id-00020,1,Bonus Spells,"<p>The formless adept adds extra spells to his list of spells known while he's in a formless body (including when he uses the formless spell phrenic amplification). Spells with a duration last for their full duration, even if the psychic reverts to his physical form. For feats and other abilities that require these spells as prerequisites, the psychic counts as knowing the spells but can benefit from the feats and abilities only while in a formless body. The formless adept gains the following spells at the appropriate levels: chill touch and expeditious retreat (1st), levitate and stricken heartACG (4th), gaseous form and vampiric touch (6th), shadow stepUM and telekinesis (8th), dominate person and synapse overload (10th), disintegrate and enemy hammerAPG (12th), finger of death and telekinetic sphere (14th), etherealness and power word stun (16th), and dominate monster and telekinetic storm (18th). This ability replaces discipline spells.</p>",systems/pf1/icons/feats/iron-will.jpg
,Psychic,"[[""Psychic""],[""Psychic Marauder""]]",Psychic (Psychic Marauder),Psychic Marauder,<id-00013,9,Cracked Perspectives,"<p>At 9th level, a psychic marauder's growing madness renders her immune to confusion and insanity effects.</p>",systems/pf1/icons/feats/iron-will.jpg
,Psychic,"[[""Psychic""],[""Psychic Duelist""]]",Psychic (Psychic Duelist),Psychic Duelist,<id-00015,17,Expert Manifester,"<p>At 17th level, a psychic duelist doesn't have to expend as many resources to create manifestations. She gains 1 additional MP each time she creates a psychic manifestation, in addition to the MP she gains by sacrificing resources. This doesn't increase the maximum number of points she can spend per manifestation, but does allow her to create a manifestation costing 1 MP without sacrificing any resources. This ability replaces telepathy.</p>",systems/pf1/icons/feats/iron-will.jpg
,Psychic,"[[""Psychic""],[""Formless Adept""]]",Psychic (Formless Adept),Formless Adept,<id-00018,1,Formless Body,"<p>A formless adept gradually sheds his body, taking on increasingly nebulous forms. A formless adept can assume a formless body as a standard action. He can remain in each formless body type for a number of rounds per day equal to 3 + his Charisma modifier. The rounds don't have to be used consecutively, but must be used in 1-round increments. Resuming his physical form takes another standard action; otherwise, the formless adept continues spending rounds of formless body until he runs out of them. The formless adept must return to his physical form before assuming a different formless body.</p><p>Blurred Body (Su): At 1st level, a formless adept can act under the effect of a blur spell. At 5th level, the formless adept can use this ability for a number of minutes per day instead of rounds per day. These minutes don't have to be used consecutively, but must be used in 1-minute increments.</p><p>Gaseous Body (Su): At 5th level, a formless adept can become gaseous as gaseous form. At 13th level, the formless adept can use this ability for a number of minutes per day instead of rounds per day. These minutes don't have to be used consecutively, but must be used in 1-minute increments.</p><p>Incorporeal Body (Su): At 13th level, a formless adept can become incorporeal (Pathfinder RPG Bestiary 301).</p>",systems/pf1/icons/feats/iron-will.jpg
,Psychic,"[[""Psychic""],[""Formless Adept""]]",Psychic (Formless Adept),Formless Adept,<id-00016,20,Formless Master,"<p>At 20th level, a formless adept can assume any formless body as a swift action and change between formless body types as a standard action (without returning to his physical form first). He can use the formless spell phrenic amplification to cast any spell with a swiftaction casting time when assuming a formless body or any spell with a standard-action casting time while switching between formless bodies. The formless adept also adds his Charisma bonus as a deflection bonus to his AC while in a formless body. A formless adept can attempt a saving throw to bypass any spells that prevent entry of incorporeal creatures (such as anti-incorporeal shellACG), even if the spells don't normally allow one. This ability replaces remade self.</p>",systems/pf1/icons/feats/iron-will.jpg
,Psychic,"[[""Psychic""],[""Formless Adept""]]",Psychic (Formless Adept),Formless Adept,<id-00019,1,Formless Spell,"<p>At 1st level, a formless adept gains the formless spell phrenic amplification. He can spend 1 point from his phrenic pool to cast a spell with a standard-action casting time as part of the action he uses to assume his formless body, expending the spell slot as normal. This ability replaces the 1st-level phrenic amplification.</p>",systems/pf1/icons/feats/iron-will.jpg
,Psychic,"[[""Psychic""],[""Mutation Mind""]]",Psychic (Mutation Mind),Mutation Mind,<id-00019,11,Improved Bodily Mutation,"<p>At 11th level, a mutation mind can select one of the following improved bodily mutations instead of a phrenic amplification.</p><p>Aquatic Form (Ex): The mutation mind's legs fuse into a tail and fins to sprout from her back and side, granting her a swim speed of 30 feet, tremorsense with a range of 30 feet (affecting other creatures in contact with the same body of water), and the aquatic subtype. Her base land speed is reduced to 10 feet.</p><p>Enlarged Body (Ex): The mutation mind's body swells and stretches, enlarging her as the enlarge person spell but up to two size categories larger (maximum Huge).</p><p>Multiple Eyes (Ex): Multiple eyes erupt all over the mutation mind's body. She can't be flanked and gains a +4 bonus on Perception checks.</p><p>Recuperation (Ex): The mutation mind heals quickly from physical wounds, gaining fast healing 5.</p><p>Toppling Fists (Ex): The mutation mind's fists become large masses of flesh, allowing her to attempt a bull rush combat maneuver check against one creature within 10 feet of her as a standard action.</p><p>Wings (Ex): The mutation mind sprouts a pair of fleshy, batlike wings, giving her a fly speed of 60 feet with average maneuverability.</p>",systems/pf1/icons/feats/iron-will.jpg
