id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Ranger,"[[""Ranger""],[""Warden""]]",Ranger (Warden),Warden,<id-00010,5,Able Explorer,"<p>At 5th level, when making an Acrobatics, Climb, Fly, Ride, or Swim check in any of his favored terrains, a warden can make two skill checks and take the higher. This ability replaces the ranger's second, third, and fourth favored enemies.</p>",systems/pf1/icons/items/weapons/orc-hornbow.png
,Ranger,"[[""Ranger""],[""Fortune-Finder""]]",Ranger (Fortune-Finder),Fortune-Finder,<id-00019,4,Adaptable Study,"<p>At 4th level, a fortune-finder can adapt and orient himself to new environments and new enemies. He gains a +1 bonus on initiative checks and Knowledge (geography), Perception, Stealth, and Survival checks whenever he is in a terrain he hasn't selected as one of his favored terrains. He leaves no trail and can't be tracked in any such terrain (though he can leave a trail if he so chooses).</p><p>In addition to this, the fortune-finder can study an opponent he can see as a move action. He then gains a bonus on Bluff, Knowledge, Perception, Sense Motive, and Survival checks attempted against that opponent, as well as on weapon attack and damage rolls against it. The bonus is equal to half the fortune-finder's highest favored enemy bonus. A fortune-finder can't attempt Knowledge checks untrained to identify an opponent he has studied with adaptable study. Bonuses from adaptable study don't stack with those from the favored enemy ability. The ranger can study only a single target at a time.</p>",systems/pf1/icons/items/weapons/orc-hornbow.png
,Ranger,"[[""Ranger""],[""Infiltrator""]]",Ranger (Infiltrator),Infiltrator,<id-00015,3,Adaptation,"<p>At 3rd level, an infiltrator learns how to copy the unusual abilities of his prey. He chooses one type of creature he has selected as a favored enemy, such as 'aberrations.' The ranger selects one ability or feat from the adaptation list for that type (see below). A ranger can use adaptations for 10 minutes per day per ranger level he possesses. This duration does not need to be consecutive, but it must be used in 10-minute increments. If the adaptation requires the ranger to make a more specific choice (such as what skill to use with Skill Focus), this choice is permanent and cannot be changed.</p><p>At 8th, 13th, and 15th-level, the ranger chooses another one of his favored enemy types and selects one adaptation from that type's list, as well as an additional adaptation from any one list of a creature type he's selected (including the one just chosen, if so desired). The infiltrator can only use one adaptation at a time. This class ability replaces favored terrain.</p>",systems/pf1/icons/items/weapons/orc-hornbow.png
,Ranger,"[[""Ranger""],[""Battle Scout""]]",Ranger (Battle Scout),Battle Scout,<id-00006,5,Advantageous Terrain,"<p>At 5th level, when a battle scout is within one of his favorite terrains, he can spend up to 3 consecutive rounds studying an area of terrain to gain the benefits below. Each round of studying terrain is a standard action. During the first round of studying terrain, the battle scout designates a 60-foot-radius-burst area from a single square within line of sight. Depending on how many rounds the battle scout spends studying the area, he or his allies gain the following benefits for 10 minutes per ranger level he possesses. (For example, if he spends 2 rounds, he or his allies gain the first two benefits.)</p><p>1st Round: Allies within line of sight and that can hear the battle scout gain a +2 bonus on initiative checks while within the advantageous terrain area.</p><p>2nd Round: Allies within line of sight and that can hear the battle scout gain a +2 on Perception, Stealth, and Survival checks while within the advantageous terrain area.</p><p>3rd Round: The battle scout's movement is not hampered by difficult terrain while within the advantageous terrain area. Furthermore, the battle scout can take 10 on Climb and Swim checks and checks to jump while within the area, even when in immediate danger or distracted. This ability replaces the ranger's second favored enemy.</p>",systems/pf1/icons/items/weapons/orc-hornbow.png
,Ranger,"[[""Ranger""],[""Bow Nomad""]]",Ranger (Bow Nomad),Bow Nomad,<id-00014,3,Agile Maneuvers,"<p>At 3rd level, a bow nomad gains Agile Maneuvers as a bonus feat. This replaces Endurance.</p>",systems/pf1/icons/items/weapons/orc-hornbow.png
,Ranger,"[[""Ranger""],[""Beast Master""]]",Ranger (Beast Master),Beast Master,<id-00019,1,Animal Companion,"<p>A beast master forms a close bond with an animal companion. This ability functions like the druid animal companion ability except that the ranger's effective druid level is equal to his ranger level - 3. The ranger gains a +2 bonus on wild empathy and Handle Animal checks made regarding his animal companion. Unlike a normal ranger, a beast master's choice of animal companion is not limited to a subset of all possibile animal companion choices-he may choose freely among all animal companion choices, just as a druid can.</p><p>The beast master may have more than one animal companion, but he must divide up his effective druid level between his companions to determine the abilities of each companion. For example, a beast master with an effective druid level of 4 can have one 4th-level companion, two 2nd-level companions, or one 1st-level and one 3rd-level companion. Each time a beast master's effective druid level increases, he must decide how to allocate the increase among his animal companions (including the option of adding a new 1st-level companion). Once an effective druid level is allocated to a particular companion, it cannot be redistributed while that companion is in the ranger's service (he must release a companion or wait until a companion dies to allocate its levels to another companion). The share spells animal companion ability does not give the ranger the ability to cast a single spell so that it affects all of his animal companions. This ability replaces hunter's bond.</p>",systems/pf1/icons/items/weapons/orc-hornbow.png
,Ranger,"[[""Ranger""],[""Jungle Lord""]]",Ranger (Jungle Lord),Jungle Lord,<id-00002,1,Animal Focus,"<p>As a swift action, a jungle lord can take on the aspect of an animal, gaining a bonus or a special ability based on the type of animal emulated. This ability functions as the hunter's animal focus class feature (Path?nder RPG Advanced Class Guide 27), though it applies only to the jungle lord and not an animal companion. The jungle lord can use this ability for 1 minute per day per ranger level. This duration does not need to be consecutive, but it must be spent in 1-minute increments. He can emulate only one animal at a time.</p>",systems/pf1/icons/items/weapons/orc-hornbow.png
,Ranger,"[[""Ranger""],[""Wild Hunter""]]",Ranger (Wild Hunter),Wild Hunter,<id-00002,1,Animal Focus,"<p>At 1st level, as a swift action a wild hunter can take on the aspect of an animal, gaining a bonus or special ability based on the type of animal emulated. This functions as the hunter's animal focus class feature (see page 27), though this only applies to the wild hunter and not an animal companion (see shared focus, below). The wild hunter can use this ability for 1 minute per day per ranger level. This duration does not need to be consecutive, but it must be spent in 1-minute increments. He can only emulate one animal at a time. This ability replaces all instances of the favored enemy class ability.</p>",systems/pf1/icons/items/weapons/orc-hornbow.png
,Ranger,"[[""Ranger""],[""Abendego Diver""]]",Ranger (Abendego Diver),Abendego Diver,<id-00021,7,Aquatic Adaptation,"<p>At 7th level, an Abendego diver gains a swim speed equal to his unmodified base speed. Because he has a swim speed, he gains the standard +8 bonus on Swim checks to perform a special action or evade a hazard, the ability to take 10 on a Swim check even if distracted or threatened, and the ability to use the run action while swimming if he swims in a straight line. If he already has a swim speed, his swim speed increases by 10 feet.</p>",systems/pf1/icons/items/weapons/orc-hornbow.png
,Ranger,"[[""Ranger""],[""Tidal Hunter""]]",Ranger (Tidal Hunter),Tidal Hunter,<id-00010,3,Aquatic Mastery,"<p>At 3rd level, a tidal hunter must select water as his favored terrain, and he doesn't gain additional favored terrains. At 8th level and every 5 levels thereafter, the bonus from this favored terrain increases by 2.</p>",systems/pf1/icons/items/weapons/orc-hornbow.png
