id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Rogue,"[[""Rogue UC""],[""Acrobat""]]",Rogue (Acrobat),Acrobat,<id-00012,1,Expert Acrobat,"<p>At 1st level, an acrobat does not suffer any armor check penalties on Acrobatics, Climb, Fly, Sleight of Hand, or Stealth skill checks while wearing light armor. When she is not wearing armor, she gains a +2 competency bonus on Acrobatics and Fly skill checks. This ability replaces trapfinding.</p>",icons/weapons/daggers/dagger-ritual-black.webp
,Rogue,"[[""Rogue UC""],[""Acrobat""]]",Rogue (Acrobat),Acrobat,<id-00028,3,Second Chance,"<p>At 3rd level, an acrobat can reroll any Acrobatics, Climb, or Fly skill check she has just made. This reroll is made at a -5 penalty. She must take the second result, even if it is worse. An acrobat can use this ability only once on any given skill check. She can use this ability once per day at 3rd level, plus one additional time per day for every 3 levels beyond 3rd. This ability replaces trap sense.</p>",icons/weapons/daggers/dagger-ritual-black.webp
,Rogue,"[[""Rogue UC""],[""Bandit""]]",Rogue (Bandit),Bandit,<id-00035,4,Ambush,"<p>At 4th level, a bandit becomes fully practiced in the art of ambushing. When she acts in the surprise round, she can take a move action, standard action, and swift action during the surprise round, not just a move or standard action. This ability replaces uncanny dodge.</p>",icons/weapons/daggers/dagger-ritual-black.webp
,Rogue,"[[""Rogue UC""],[""Bandit""]]",Rogue (Bandit),Bandit,<id-00040,8,Fearsome Strike,"<p>At 8th level, a bandit can terrify an opponent with a single hit. A number of times per day equal to her Charisma modifier (minimum 1), when a bandit confirms a critical hit and deals sneak attack damage to an opponent, she can choose to make the opponent frightened for a number of rounds equal to her Charisma modifier (minimum 1). She cannot use this ability in conjunction with a critical feat. This ability replaces improved uncanny dodge.</p>",icons/weapons/daggers/dagger-ritual-black.webp
,Rogue,"[[""Rogue UC""],[""Bekyar Kidnapper""]]",Rogue (Bekyar Kidnapper),Bekyar Kidnapper,<id-00028,3,Abductor,"<p>At 3rd level, a Bekyar kidnapper gains a +1 bonus on combat maneuver checks to grapple a foe. In addition, the Bekyar kidnapper treats her combat maneuver bonus as 1 higher when a foe tries to grapple her or when a grappled target attempts to break free of her grapple. These bonuses increase by 1 for every 3 levels beyond 3rd. This ability replaces trap sense.</p>",icons/weapons/daggers/dagger-ritual-black.webp
,Rogue,"[[""Rogue UC""],[""Bekyar Kidnapper""]]",Rogue (Bekyar Kidnapper),Bekyar Kidnapper,<id-00012,1,Clean Capture,"<p>At 1st level, a Bekyar kidnapper reduces the penalty to her combat maneuver check to tie up a pinned or otherwise restrained target by an amount equal to 1/2 her rogue level. In addition, she can take the feats Improved Grapple and Greater Grapple as rogue talents. She can ignore the Improved Unarmed Strike requirement when selecting these feats as rogue talents, but must meet all other prerequisites. This ability replaces trapfinding.</p>",icons/weapons/daggers/dagger-ritual-black.webp
,Rogue,"[[""Rogue UC""],[""Bellflower Irrigator""]]",Rogue (Bellflower Irrigator),Bellflower Irrigator,<id-00043,1,Bellflower Crop,"<p>As a standard action, a Bellflower irrigator can designate a number of allies equal to 3 + his Charisma modifier as part of his Bellflower crop. Members of a Bellflower crop must remain within 30 feet of the Bellflower irrigator to gain any benefits from abilities that affect a Bellflower crop, regardless of the ability's source (whether it's a Bellflower harvester, irrigator, or tiller). If the allies leave this range, the Bellflower irrigator must designate them again to include them in his crop.</p>",icons/weapons/daggers/dagger-ritual-black.webp
,Rogue,"[[""Rogue UC""],[""Bellflower Irrigator""]]",Rogue (Bellflower Irrigator),Bellflower Irrigator,<id-00035,4,Grafting,"<p>At 4th level, a Bellflower irrigator is considered to be flanking an opponent if at least two members of his Bellflower crop are threatening that opponent, regardless of the irrigator's actual positioning.</p>",icons/weapons/daggers/dagger-ritual-black.webp
,Rogue,"[[""Rogue UC""],[""Bellflower Irrigator""]]",Rogue (Bellflower Irrigator),Bellflower Irrigator,<id-00040,8,Irrigation,"<p>At 8th level, if a Bellflower irrigator studies his target for 3 rounds (spending a standard action each round to do so) and then makes a sneak attack with a melee weapon that successfully deals damage, the attack has the additional effect of possibly either paralyzing or killing the target (Bellflower irrigator's choice). The death attack fails if the target detects the Bellflower irrigator or recognizes him as an enemy. If the victim of the attack fails a Fortitude save (DC = 10 + 1/2 the Bellflower irrigator's class level + the Bellflower irrigator's Intelligence modifier) against the kill effect, she dies. If the saving throw fails against the paralysis effect, the victim is rendered helpless and unable to act for 1d6 rounds plus 1 round per 2 rogue levels that the Bellflower irrigator has. If the victim's saving throw succeeds, the attack is just a normal sneak attack. Once the Bellflower irrigator has completed the 3 rounds of study, he must make the irrigation attempt within the next 3 rounds. A Bellflower irrigator can attempt to kill or paralyze a creature in this way once per day, plus one additional time per day for every 4 additional rogue levels he has after 8th.</p>",icons/weapons/daggers/dagger-ritual-black.webp
,Rogue,"[[""Rogue UC""],[""Bellflower Irrigator""]]",Rogue (Bellflower Irrigator),Bellflower Irrigator,<id-00012,1,Poison Use,<p>A Bellflower irrigator is trained in the use of poison and cannot accidentally poison himself when applying poison to a weapon.</p>,icons/weapons/daggers/dagger-ritual-black.webp
,Rogue,"[[""Rogue UC""],[""Burglar""]]",Rogue (Burglar),Burglar,<id-00035,4,Careful Disarm,"<p>At 4th level, whenever a burglar attempts to disarm a trap using Disable Device, she does not spring the trap unless she fails by 10 or more. If she does set off a trap she was attempting to disarm, she adds double her trap sense bonus to avoid the trap. This ability replaces uncanny dodge.</p>",icons/weapons/daggers/dagger-ritual-black.webp
,Rogue,"[[""Rogue UC""],[""Burglar""]]",Rogue (Burglar),Burglar,<id-00040,8,Distraction,"<p>At 8th level, whenever a burglar is detected while using Stealth, she can immediately attempt a Bluff skill check opposed by the Sense Motive skill of the creature that spotted her. If this check succeeds, the target assumes that the noise was something innocent and disregards the detection. This only functions if the creature cannot see the rogue. This ability can only be used once during a given Stealth attempt. If the same creature detects the rogue's presence again, the ability has no effect. This ability replaces improved uncanny dodge.</p>",icons/weapons/daggers/dagger-ritual-black.webp
,Rogue,"[[""Rogue UC""],[""Carnivalist""]]",Rogue (Carnivalist),Carnivalist,<id-00028,3,Animal Trainer,"<p>Starting at 3rd level, a carnivalist receives a bonus equal to 1/2 her rogue level whenever she uses Handle Animal on a Tiny or Small animal. In addition, she can increase the DC by 5 to reduce the time needed to teach an animal a new trick or train an animal for a general purpose to 1 day for every week normally required. She can also train more than one animal at once, although each animal after the first adds 2 to the DC. This ability replaces trap sense.</p>",icons/weapons/daggers/dagger-ritual-black.webp
,Rogue,"[[""Rogue UC""],[""Carnivalist""]]",Rogue (Carnivalist),Carnivalist,<id-00007,1,Familiar,"<p>At 1st level, a carnivalist gains a familiar as a wizard of equal level. Levels in a class that grants a familiar stack with carnivalist levels for determining the familiar's abilities.</p>",icons/weapons/daggers/dagger-ritual-black.webp
,Rogue,"[[""Rogue UC""],[""Carnivalist""]]",Rogue (Carnivalist),Carnivalist,<id-00008,1,Pet Performance,"<p>A carnivalist gains use of several bardic performances, making Handle Animal checks in place of any Perform checks. At 2nd level, she gains the distraction bardic performance. At 4th level, she gains the fascinate bardic performance. At 6th level, she also gains use of the following performance.</p><p><i>Trained Legerdemain (Ex): </i>At 6th level, a carnivalist can command a familiar or pet within 30 feet to make a Disable Device or Sleight of Hand check as if trained in the skill, using its own skill ranks (if any), Dexterity modifier, and equipment, with a competence bonus equal to 1/2 her rogue level. The check requires the normal amount of time to complete and the DC increases by 5. The carnivalist must maintain this pet performance each round her familiar or pet attempts a Disable Device or Sleight of Hand check.</p><p>The pet performance ability otherwise functions identically to bardic performance. Levels in a class with the distraction or fascinate bardic performances stack with carnivalist levels for the purpose of determining bonuses granted by these performances. This ability replaces the rogue talents gained at 2nd, 4th, and 6th level.</p>",icons/weapons/daggers/dagger-ritual-black.webp
