id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Samurai,"[[""Samurai""],[""Yojimbo""]]",Samurai (Yojimbo),Yojimbo,<id-00012,3,Armor Expertise,"<p>At 3rd level, a yojimbo selects one type of armor, such as chain shirt or scale mail. The yojimbo gains armor training, treating his samurai level as his fighter level, when wearing the selected armor.</p>",icons/weapons/swords/sword-katana-purple.webp
,Samurai,"[[""Samurai""],[""Warrior Poet""]]",Samurai (Warrior Poet),Warrior Poet,<id-00015,6,Battle Dance,"<p>At 6th level, the warrior poet gains Spring Attack as a bonus feat. At 12th level, she gains Improved Spring Attack as a bonus feat, and at 18th level, she gains Greater Spring Attack as a bonus feat. The warrior poet does not need to meet the prerequisites for these feats.</p>",icons/weapons/swords/sword-katana-purple.webp
,Samurai,"[[""Samurai""],[""Ironbound Sword""]]",Samurai (Ironbound Sword),Ironbound Sword,<id-00021,14,Blade Reversal,"<p>At 14th level, an ironbound sword can turn the force of an opponent's attacks back against them. Whenever the ironbound sword takes a full defense action, she can expend an attack of opportunity to attempt to counter melee attacks made against her. This counter is a single attack roll at the ironbound blade's full base attack bonus that resolves before the enemy's attack. If the counter successfully hits the attacking enemy's AC and if the ironbound sword's attack roll is higher than the attacking creature's attack roll, the ironbound sword takes no damage from the enemy's attack and can initiate a disarm combat maneuver against the attacking enemy as a free action. If the triggering attack was made with a natural attack or unarmed strike, a successful disarm combat maneuver renders that natural attack or unarmed strike unusable until the victim spends a standard action to reset dislocated joints. In addition, the ironbound sword can spend one use of her resolve when she hits with a nonlethal attack to initiate a disarm combat maneuver against her target as a free action.</p>",icons/weapons/swords/sword-katana-purple.webp
,Samurai,"[[""Samurai""],[""Sword Saint""]]",Samurai (Sword Saint),Sword Saint,<id-00024,3,Brutal Slash,"<p>At 3rd level, a sword saint's iaijutsu strike becomes even more deadly. If a sword saint threatens a critical hit with his iaijutsu strike, he adds a bonus equal to 1/2 his class level to the attack roll to confirm a critical hit. This ability replaces mounted charge.</p>",icons/weapons/swords/sword-katana-purple.webp
,Samurai,"[[""Samurai""],[""Warrior Poet""]]",Samurai (Warrior Poet),Warrior Poet,<id-00020,1,Dancer's Grace,"<p>When wearing no armor and not using a shield, the warrior poet gains a bonus to Armor Class equal to her Charisma bonus (to a maximum of her samurai level). A warrior poet loses this bonus while flatfooted or otherwise denied her Dexterity bonus.</p>",icons/weapons/swords/sword-katana-purple.webp
,Samurai,"[[""Samurai""],[""Brawling Blademaster""]]",Samurai (Brawling Blademaster),Brawling Blademaster,<id-00012,3,Dual Expertise,"<p>At 3rd level, a brawling blademaster gains Two-Weapon Fighting as a bonus feat, even if she doesn't meet the prerequisites. Furthermore, when the brawling blademaster selects a feat with the bonus feat class feature, she can ignore any Dexterity requirements for the feat if its prerequisites include the Two-Weapon Fighting feat. This replaces weapon expertise.</p>",icons/weapons/swords/sword-katana-purple.webp
,Samurai,"[[""Samurai""],[""Brawling Blademaster""]]",Samurai (Brawling Blademaster),Brawling Blademaster,<id-00009,1,Empty Hand,<p>A brawling blademaster gains Improved Unarmed Strike as a bonus feat. She uses her samurai level as her monk level for determining the amount of damage she deals with an unarmed strike. These levels stack with monk levels to determine the brawling blademaster's unarmed strike damage.</p>,icons/weapons/swords/sword-katana-purple.webp
,Samurai,"[[""Samurai""],[""Warrior Poet""]]",Samurai (Warrior Poet),Warrior Poet,<id-00009,1,Flourish,"<p>The warrior poet is skilled at performing elegant moves in battle. At 1st level, the warrior poet gains a flourish of her choice from the list below. She gains another flourish at 3rd, 5th, 9th, 13th, 17th, and 20th levels.</p><p>Chrysanthemum's Blooming: The warrior poet gains Vital Strike as a bonus feat and can apply its benefit when using Spring Attack. If the warrior poet is at least 16th level and has Improved Vital Strike, she can apply that feat's benefit instead. The warrior poet must be at least 11th level to select this flourish.</p><p>Exodus of Jinin: As long as the warrior poet is wearing light or no armor and carrying no more than a light load, her land speed increases by 10 feet. A warrior poet can select this flourish up to three times.</p><p>Harmony of the Tranquil Garden: The warrior poet can focus her senses as a move action to gain blindsense out to 5 feet for 1 round. For every 5 samurai levels she has, the range of this blindsense increases by 5 feet.</p><p>Jininsiel's Guidance: The warrior poet gains the rogue's uncanny dodge class feature. This flourish can be selected up to twice; selecting it a second time grants the warrior poet the rogue's improved uncanny dodge class feature. The warrior poet must be at least 4th level to select this flourish the first time and at least 8th level to select this flourish the second time.</p><p>Kitsune's Mystique: The warrior poet gains Improved Feint as a bonus feat, ignoring its prerequisites. When the warrior poet uses Spring Attack or takes a move action to move, she can attempt to feint against one creature she threatens during her movement as part of her movement.</p><p>Petals on the Wind: Whenever a foe provokes an attack of opportunity from the warrior poet, she can move 5 feet before making the attack of opportunity. This movement does not provoke attacks of opportunity. If the warrior poet takes an action to move during her next turn, she subtracts 5 feet from her total movement for each time she has used this ability since her last turn.</p><p>Wrath of the Heavens: The warrior poet gains Shot on the Run as a bonus feat, ignoring its prerequisites.</p>",icons/weapons/swords/sword-katana-purple.webp
,Samurai,"[[""Samurai""],[""Warrior Poet""]]",Samurai (Warrior Poet),Warrior Poet,<id-00013,4,Graceful Strike,"<p>At 4th level, when the warrior poet uses Weapon Finesse to make a melee attack that adds her Dexterity bonus to attack rolls and her Strength bonus to damage rolls, she also adds half her samurai level to damage rolls.</p>",icons/weapons/swords/sword-katana-purple.webp
,Samurai,"[[""Samurai""],[""Warrior Poet""]]",Samurai (Warrior Poet),Warrior Poet,<id-00017,1,Graceful Warrior,"<p>The warrior poet gains Weapon Finesse as a bonus feat and can apply its benefits to glaives, katanas, and naginatas as if they were light weapons. This does not alter the weapons' properties for the purposes of any other effects.</p>",icons/weapons/swords/sword-katana-purple.webp
