id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Shaman,"[[""Shaman""],[""Animist""]]",Shaman (Animist),Animist,<id-00006,1,Animist Spirit Magic,"<p>The animist adds the following spells to the list of spells he can cast using spirit magic: speak with animals (1st), skinsendUM (2nd), speak with plants (3rd), malfunctionUM (4th), dream (5th), speak with stone (6th), control constructUM (7th), trap the soul (8th), soul bind (9th). This ability replaces the spirit magic spells gained from the shaman's spirit.</p>",systems/pf1/icons/skills/green_10.jpg
,Shaman,"[[""Shaman""],[""Deep Shaman""]]",Shaman (Deep Shaman),Deep Shaman,<id-00023,1,Aquatic Hexes,"<p>When a deep shaman uses beckoning chill on a creature in the water, that creature becomes fatigued due to hypothermia for the duration, and it also becomes entangled if the creature takes damage from he deep shaman's spirit abilities and from spells and abilities with the water descriptor. Her crashing waves hex applies to her spirit abilities that deal damage as if they were spells with the water descriptor, raising her effective shaman level for those abilities. Instead of mist's shroud and watersight, she can select the two hexes below.</p>",systems/pf1/icons/skills/green_10.jpg
,Shaman,"[[""Shaman""],[""Deep Shaman""]]",Shaman (Deep Shaman),Deep Shaman,<id-00024,1,Aquatic Spirit Abilities,"<p>When used underwater, a deep shaman's wave strike deals lethal bludgeoning damage and pushes the target away 5 feet + an additional 5 feet for every 6 shaman levels she has. At 11th level, whenever the deep shaman is underwater, all weapons she holds are treated as if they had the impact special ability instead of quenching. Instead of a swim speed and the ability to breathe underwater, fluid mastery provides tremorsense with a range of 30 feet while in the water, and when underwater, fluid mastery's torrent deals 1d6 points of damage per shaman level in a 30-foot cone.</p>",systems/pf1/icons/skills/green_10.jpg
,Shaman,"[[""Shaman""],[""Benefactor""]]",Shaman (Benefactor),Benefactor,<id-00022,1,Benefactor Ethos,"<p>Benefactors cannot cast shaman spells with the curse descriptor; for the benefactor's purpose, they are considered not on the shaman spell list. A benefactor can't use spell-completion or spell-trigger magic items that use shaman spells with the curse descriptor unless she succeeds at a Use Magic Device check.</p>",systems/pf1/icons/skills/green_10.jpg
,Shaman,"[[""Shaman""],[""Benefactor""]]",Shaman (Benefactor),Benefactor,<id-00023,2,Benefactor Hexes,<p>A benefactor adds the following hexes to the list of shaman hexes she can choose from whenever she gains a new hex or a wandering hex. A benefactor cannot gain a hex that is a curse effect or that has the word 'curse' in its name as a hex or a wandering hex.</p>,systems/pf1/icons/skills/green_10.jpg
,Shaman,"[[""Shaman""],[""Deep Shaman""]]",Shaman (Deep Shaman),Deep Shaman,<id-00025,1,Brine Dragon Form,"<p>When a deep shaman gains access to the true version of the waves spirit, she can assume the form of a Large (or smaller) brine dragon as per form of the dragon II, with a line of acid breath weapon, acid resistance 20, and a swim speed of 60 feet. She can use this ability for 1 hour per shaman level each day, divided any way she chooses in 1 hour increments, though the spell's breath weapon limit applies across the whole day. Time she spends underwater doesn't count against this limit, but every minute (or fraction thereof ) that she spends flying expends 1 hour of her daily uses. At 18th level, she can assume the form of a Huge or smaller brine dragon as per form of the dragon III instead.</p>",systems/pf1/icons/skills/green_10.jpg
,Shaman,"[[""Shaman""],[""Crystal Tender""]]",Shaman (Crystal Tender),Crystal Tender,<id-00021,20,Cabochon Form,"<p>At 20th level, as a standard action, a crystal tender can transform her body into a living gemstone as per iron body with a duration of 12 hours. Instead of being vulnerable to effects that can harm an iron golem while in this form, she is vulnerable to effects that can harm a crystalline creature (such as shatter). She can use this ability once per day.</p>",systems/pf1/icons/skills/green_10.jpg
,Shaman,"[[""Shaman""],[""Animist""]]",Shaman (Animist),Animist,<id-00011,12,Contact with the Spirit World,"<p>At 12th level, the shaman can interact with incorporeal entities as if his unarmed strikes and melee weapons had the ghost touch weapon special ability. While using this ability, he can also see nearby ethereal entities and likewise strike at them as if they were incorporeal. He can use this ability for a number of rounds per day equal to his shaman level. The rounds need not be consecutive. This ability replaces the hex gained at 12th level.</p>",systems/pf1/icons/skills/green_10.jpg
,Shaman,"[[""Shaman""],[""Overseer""]]",Shaman (Overseer),Overseer,<id-00006,1,Controlling Magic,"<p>The overseer adds the following spells to the list of spells she can cast using spirit magic: charm person (1st), hideous laughter (2nd), hold person (3rd), crushing despair (4th), feeblemind (5th), mass suggestion (6th), power word blind (7th), irresistible dance (8th), and dominate monster (9th).</p>",systems/pf1/icons/skills/green_10.jpg
,Shaman,"[[""Shaman""],[""Possessed Shaman""]]",Shaman (Possessed Shaman),Possessed Shaman,<id-00007,2,Crowded Vessel,"<p>At 2nd level, whenever a possessed shaman fails a saving throw against a charm or compulsion spell or effect, she can attempt a new saving throw (using the original DC) at the end of her next turn as the spirits inside her attempt to regain control. If the saving throw is successful, the charm or compulsion effect ends. If the saving throw fails, she is affected as normal for the remainder of the duration. This ability replaces the hex gained at 2nd level.</p>",systems/pf1/icons/skills/green_10.jpg
