id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Skald,"[[""Skald""],[""Bekyar Demon Dancer""]]",Skald (Bekyar Demon Dancer),Bekyar Demon Dancer,<id-00013,6,Abyssal Wrath,"<p>At 6th level, the Bekyar demon dancer gains the fiend totemAPG rage power, even if he doesn't qualify for it. At 9th level, he gains the greater fiend totemAPG rage power, ignoring the prerequisites. This ability alters the rage powers gained at 6th and 9th levels.</p>",systems/pf1/icons/items/inventory/horn-drinking.jpg
,Skald,"[[""Skald""],[""Herald of the Horn""]]",Skald (Herald of the Horn),Herald of the Horn,<id-00006,1,Arcane Bond,"<p>At 1st level, a herald of the horn forms a powerful bond with a horn (musical instrument). This functions like an arcane bloodline sorcerer's arcane bond with an object. Like a weapon, wand, or staff, the horn must be held in one hand when the herald of the horn casts skald spells. This ability replaces Scribe Scroll.</p>",systems/pf1/icons/items/inventory/horn-drinking.jpg
,Skald,"[[""Skald""],[""War Painter""]]",Skald (War Painter),War Painter,<id-00023,7,Arcane Flourish,"<p>At 7th level, once per day as he finishes applying his furious paint to a creature, a war painter can cast one skald spell with a casting time of no more than 1 standard action and infuse the spell into the paint. Once while benefiting from the paint's raging song, the painted ally can use a standard action to cast the infused spell on herself as if the war painter had cast it. The spell ends when the paint's other effects end. A war painter can infuse only a skald spell whose level is at least 2 levels lower than the highest-level skald spell he can cast. He can infuse any targeted spell in a painted ally, even if its range is personal. The war painter can use this ability twice per day at 13th level and three times per day at 19th level.</p>",systems/pf1/icons/items/inventory/horn-drinking.jpg
,Skald,"[[""Skald""],[""Urban Skald""]]",Skald (Urban Skald),Urban Skald,<id-00030,3,Back of the Crowd,"<p>At 3rd level, an urban skald has learned to maximize the defensive benefit of being near allies. He gains a +1 dodge bonus to AC when adjacent to 2 or more allies. This bonus increases to +2 at 9th level and to +3 at 15th level.</p>",systems/pf1/icons/items/inventory/horn-drinking.jpg
,Skald,"[[""Skald""],[""Battle Scion""]]",Skald (Battle Scion),Battle Scion,<id-00031,3,Battle Prowess,"<p>Whenever a battle scion would gain a rage power from the skald's rage power ability (at 3rd level and every 3 skald levels thereafter), she can instead choose to gain a combat feat or teamwork feat for which she meets the prerequisites. Like rage powers she selects in this way, the battle scion can grant this feat to allies under the effect of inspired rage, as long as those allies also meet the prerequisites, but she must expend 2 rounds of raging song for each round in which she grants a combat feat or teamwork feat. If the battle scion gains multiple feats from battle prowess, allies can use these feats to meet the prerequisites for other feats while they're affected by battle prowess (for example, a battle scion with Power Attack and Cleave from battle prowess could grant both, allowing allies with a +1 base attack bonus and a Strength score of 13 to gain both, since they can use Power Attack to qualify for Cleave).</p>",systems/pf1/icons/items/inventory/horn-drinking.jpg
,Skald,"[[""Skald""],[""Bold Schemer""]]",Skald (Bold Schemer),Bold Schemer,<id-00027,10,Bold Strategy,"<p>At 10th level, a bold schemer can tailor her plans and observations so they are able to assist her allies as well. As long as they can see or hear the bold schemer while inside the observed location, all of her allies gain half the insight bonus she gains from the skald of twists and turns ability.</p>",systems/pf1/icons/items/inventory/horn-drinking.jpg
,Skald,"[[""Skald""],[""Undying Word""]]",Skald (Undying Word),Undying Word,<id-00006,1,Bonus Feat,"<p>At 1st level and every 6 skald levels thereafter, an undying word gains a bonus feat in addition to those gained from normal advancement. He must meet the prerequisites for the feat, and it must include Endurance as a prerequisite or be selected from the following list: Endurance, Great Fortitude, or Improved Great Fortitude.</p>",systems/pf1/icons/items/inventory/horn-drinking.jpg
,Skald,"[[""Skald""],[""Wyrm Singer""]]",Skald (Wyrm Singer),Wyrm Singer,<id-00015,12,Breath Weapon,"<p>At 12th level, once per day as a swift action, a wyrm singer can grant a breath weapon attack to himself or an ally affected by his draconic rage raging song. Using the breath weapon is a standard action, and it affects creatures in a 30-foot cone or a 60-foot line. The breath weapons deals 1d6 points of damage per 2 skald levels the wyrm singer has, and is of an energy type of the wyrm singer's choice (acid, cold, electricity, or fire). Creatures caught in the area can attempt a Reflex save (DC = 10 + 1/2 the wyrm singer's skald level + his Charisma modifier) to halve the damage.</p>",systems/pf1/icons/items/inventory/horn-drinking.jpg
,Skald,"[[""Skald""],[""Hunt Caller""]]",Skald (Hunt Caller),Hunt Caller,<id-00030,6,Call of the Wild,"<p>At 6th level, the hunt caller's raging song can transform herself and her allies within 60 feet into animalistic shapes, as per beast shape I (Small animals only) at her caster level. The same transformation applies to all targets. By spending 1 round of raging song per target, the hunt caller can affect any number of allies within 60 feet for 1 hour. When in animal form, the hunt caller is treated as able to speak normally for the purpose of using raging song, but not for using other abilities that require speech (such as spellcasting). The skald must continue to perform the song for the remainder of the hour; otherwise, its effects end, but only 1 round of raging song per target is expended for that hour.</p><p>At 10th level, the hunt caller can instead choose a Medium animal shape. At 14th level, the hunt caller can choose shapechanger's gift or the effects of beast shape II. At 18th level, she can choose the effects of beast shape III.</p><p>This raging song replaces song of strength, song of the fallen, and the rage power gained at 18th level.</p>",systems/pf1/icons/items/inventory/horn-drinking.jpg
,Skald,"[[""Skald""],[""Sunsinger""]]",Skald (Sunsinger),Sunsinger,<id-00019,5,Channel Solar Energy,"<p>At 5th level, a sunsinger skald can channel energy as a cleric once per day to heal wounds or harm undead like a good-aligned cleric. When she does so, she fills the area affected by the channeled energy with light, and can outline creatures in the area of effect as per faerie fire. The sunsinger uses her skald level as her effective cleric level when channeling positive energy. Undead who are particularly harmed by sunlight take a -2 penalty on saving throws against this channeled energy, and take 1 additional point of damage per die of damage dealt by the effect.</p><p>At 11th level, a sunsinger can channel energy twice per day. At 17th level, she can use this ability three times per day.</p>",systems/pf1/icons/items/inventory/horn-drinking.jpg
