<<<<<<< HEAD
id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Slayer,"[[""Slayer""],[""Spire Diver""]]",Slayer (Spire Diver),Spire Diver,<id-00003,1,1st Studied Target,"<p>A slayer can study an opponent he can see as a move action. The slayer then gains a +1 bonus on Bluff, Knowledge, Perception, Sense Motive, and Survival checks attempted against that opponent, and a +1 bonus on weapon attack and damage rolls against it. The DCs of slayer class abilities against that opponent increase by 1. A slayer can only maintain these bonuses against one opponent at a time; these bonuses remain in effect until either the opponent is dead or the slayer studies a new target.</p><p>If a slayer deals sneak attack damage to a target, he can study that target as an immediate action, allowing him to apply his studied target bonuses against that target (including to the normal weapon damage roll).</p><p>At 5th, 10th, 15th, and 20th levels, the bonuses on weapon attack, damage rolls, and skill checks and to slayer DCs against a studied target increase by 1. In addition, at each such interval, the slayer is able to maintain these bonuses against an additional studied target at the same time. The slayer may discard this connection to a studied target as a free action, allowing him to study another target in its place.</p><p>At 7th level, a slayer can study an opponent as a move or swift action.</p><p>A spire diver does not gain the ability to add her studied target bonus on Bluff and Survival checks against an opponent she has studied. At 7th level, she cannot add her studied target bonus on Disguise checks. Instead, when using any bow or crossbow against her studied target underwater, the spire diver ignores the normal penalty for shooting underwater and instead treats the weapon as though its range increment were 10 feet. At 5th, 10th, 15th, and 20th levels, the range increment increases by 10 feet, to a maximum of 50 feet.</p><p>When using a bow or crossbow that already has an underwater range increment, such as an underwater crossbow, the spire diver adds the range increment gained from studied target as a bonus to the weapon's usual underwater range increment, though the combined range increment cannot exceed the weapon's normal range increment.</p><p>This alters studied target and stalker.</p>",systems/pf1/icons/skills/weapon_06.jpg
,Slayer,"[[""Slayer""],[""Family Hunter""]]",Slayer (Family Hunter),Family Hunter,<id-00003,1,1st Studied Target,"<p>A slayer can study an opponent he can see as a move action. The slayer then gains a +1 bonus on Bluff, Knowledge, Perception, Sense Motive, and Survival checks attempted against that opponent, and a +1 bonus on weapon attack and damage rolls against it. The DCs of slayer class abilities against that opponent increase by 1. A slayer can only maintain these bonuses against one opponent at a time; these bonuses remain in effect until either the opponent is dead or the slayer studies a new target.</p><p>If a slayer deals sneak attack damage to a target, he can study that target as an immediate action, allowing him to apply his studied target bonuses against that target (including to the normal weapon damage roll).</p><p>At 5th, 10th, 15th, and 20th levels, the bonuses on weapon attack, damage rolls, and skill checks and to slayer DCs against a studied target increase by 1. In addition, at each such interval, the slayer is able to maintain these bonuses against an additional studied target at the same time. The slayer may discard this connection to a studied target as a free action, allowing him to study another target in its place.</p><p>At 5th level and above, a slayer can maintain more than one studied target at a time only if all targets are closely related to one another (even if they aren't part of the family line she seeks to cleanse). This includes blood relatives; undead spawn; constructs or undead and their creator; summoned creatures and their summoner; creatures that are charmed, dominated, or otherwise under direct magical control and their controller; and cohorts, followers, animal companions, familiars, and similar associates of one master.</p><p>At 7th level, a slayer can study an opponent as a move or swift action.</p>",systems/pf1/icons/skills/weapon_06.jpg
,Slayer,"[[""Slayer""],[""Pureblade""]]",Slayer (Pureblade),Pureblade,<id-00007,1,Aberration Hunter,"<p>If a Pureblade deals damage to an aberration, as an immediate action he can apply his studied target bonus against that target even if he didn't sneak attack it. In addition, a Pureblade can attempt Knowledge (dungeoneering) skill checks untrained when trying to identify aberrations. This ability replaces track.</p>",systems/pf1/icons/skills/weapon_06.jpg
,Slayer,"[[""Slayer""],[""Pureblade""]]",Slayer (Pureblade),Pureblade,<id-00032,20,Aberration Slayer,"<p>At 20th level, a Pureblade can use his master slayer ability on any aberration, even if it's not his studied target. This ability alters master slayer.</p>",systems/pf1/icons/skills/weapon_06.jpg
,Slayer,"[[""Slayer""],[""Sniper""]]",Slayer (Sniper),Sniper,<id-00007,1,Accuracy,"<p>At 1st level, a sniper halves all range increment penalties when making ranged attacks with a bow, crossbow, or firearm. This ability replaces track.</p>",systems/pf1/icons/skills/weapon_06.jpg
,Slayer,"[[""Slayer""],[""Pureblade""]]",Slayer (Pureblade),Pureblade,<id-00008,2,Alien Prescience,"<p>At 2nd level, as a standard action a Pureblade can detect aberrations. This works like detect undead, except it detects aberrations instead of undead. This ability replaces the slayer talent received at 2nd level.</p>",systems/pf1/icons/skills/weapon_06.jpg
,Slayer,"[[""Slayer""],[""Ankou's Shadow""]]",Slayer (Ankou's Shadow),Ankou's Shadow,<id-00024,7,Ankou's Vision,"<p>At 7th level, an ankou's shadow can use see invisibility, as per the spell, as a swift action for 1 minute per level per day. This duration does not need to be consecutive, but it must be used in 1-minute increments.</p>",systems/pf1/icons/skills/weapon_06.jpg
,Slayer,"[[""Slayer""],[""Sczarni Executioner""]]",Slayer (Sczarni Executioner),Sczarni Executioner,<id-00012,10,Assassinate,"<p>At 10th level, a Sczarni executioner must select the assassinate advanced slayer talent.</p>",systems/pf1/icons/skills/weapon_06.jpg
,Slayer,"[[""Slayer""],[""Guerrilla""]]",Slayer (Guerrilla),Guerrilla,<id-00029,14,Astonishing Strike,"<p>At 14th level, when the guerrilla deals sneak attack damage to a target of his studied target ability during the surprise round, that target is denied its Dexterity bonus to AC against attacks from the same guerrilla until the end of the guerrilla's next turn. When the guerrilla reaches 19th level, this ability works any time he deals sneak attack damage to a target of his studied target ability during the first round of combat, whether or not it's a surprise round.</p>",systems/pf1/icons/skills/weapon_06.jpg
,Slayer,"[[""Slayer""],[""Sczarni Executioner""]]",Slayer (Sczarni Executioner),Sczarni Executioner,<id-00032,1,Bloodstained Hands,"<p>A Sczarni executioner must be evil. If he ever becomes nonevil, he loses this archetype and becomes a regular slayer.</p>",systems/pf1/icons/skills/weapon_06.jpg
