<<<<<<< HEAD
id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Sorcerer,"[[""Sorcerer""],[""Dragon Drinker""]]",Sorcerer (Dragon Drinker),Dragon Drinker,<id-00007,1,Bleeding Spells,"<p>Whenever a dragon drinker casts a spell that deals damage, the spell deals 1 point of bleed damage per spell level to any creatures of the dragon type damaged. This ability replaces the bloodline arcana ability.</p>",systems/pf1/icons/skills/red_14.jpg
,Sorcerer,"[[""Sorcerer""],[""Dragon Drinker""]]",Sorcerer (Dragon Drinker),Dragon Drinker,<sorcererbloodline_1,1,Blood Drinking,"<p>Starting at first level, a dragon drinker gains the ability to drink dragon blood to alter or augment her spellcasting abilities. See page 18 for information on dragon's blood. For the purposes of harvesting dragon's blood, treat the dragon drinker as though she has Dragoncrafting feat. At 5th level, drinking a vial of dragon's blood is a standard action that provides the dragon drinker with the normal benef its of the item, as well as a +1 bonus to her caster level for purposes of level-dependent spell effects on a single spell cast within 1 minute. At 7th level, a consumed vial of dragon blood also heals 1d8 points of damage instead of the standard 1d4. At 11th level, the alchemical bonus on Fortitude and Ref lex saves granted by the blood increases to +2.</p><p>In the absence of true dragon's blood, the dragon drinker may tap into the draconic blood flowing through her veins to gain the temporary effects of having consumed dragon's blood. As a free action, she can activate this ability, healing 1d4 points of damage and gaining a +1 resistance bonus on Will and Fortitude saves for 1 round. This action may only be performed once per round, and can be performed a number of times per day equal to 3 + her Charisma modifier. This ability replaces the claws bloodline power.</p>",systems/pf1/icons/skills/red_14.jpg
,Sorcerer,"[[""Sorcerer""],[""Stone Warder""]]",Sorcerer (Stone Warder),Stone Warder,<id-00009,1,Blood of the Earth,"<p>Stone warders must have a bloodline with strong ties to earth and rock. A stone warder must select the deep earthAPG, draconic (copper dragon only), elemental (earth only), orc (Pathfinder Player Companion: Orcs of Golarion 14), or shaitanUM bloodline.</p>",systems/pf1/icons/skills/red_14.jpg
,Sorcerer,"[[""Sorcerer""],[""Dragon Drinker""]]",Sorcerer (Dragon Drinker),Dragon Drinker,<id-00006,19,Blood Siphon,"<p>At 19th level, when the dragon drinker is within 60 feet of a creature of the dragon type that is suffering bleed damage, she can, as a swift action, draw a dose of its blood into herself as though she had consumed it from a vial. Additionally, when she consumes dragon's blood, it heals 3d8 points of damage and provides a +3 resistance bonus on Fortitude and Will saves for 1 minute in place of its normal effects. This ability replaces the 19th-level bloodline feat.</p>",systems/pf1/icons/skills/red_14.jpg
,Sorcerer,"[[""Sorcerer""],[""Tattooed Sorcerer""]]",Sorcerer (Tattooed Sorcerer),Tattooed Sorcerer,<id-00007,1,Bloodline Tattoos,"<p>Whenever a tattooed sorcerer gains a bloodline spell, a new tattoo manifests on her body to represent this spell. Her bloodline spells are always enhanced by her Varisian Tattoo feat, even if they don't match the school to which her Varisian Tattoo belongs.</p>",systems/pf1/icons/skills/red_14.jpg
,Sorcerer,"[[""Sorcerer""],[""Eldritch Scrapper""]]",Sorcerer (Eldritch Scrapper),Eldritch Scrapper,<id-00007,4,Bloodline Weapons,"<p>If an eldritch scrapper's 1st-level bloodline power would normally grant her natural attacks (such as bite or claws), at 3rd level she can select that 1st-level bloodline power in place of her 3rd-level bloodline power.</p>",systems/pf1/icons/skills/red_14.jpg
,Sorcerer,"[[""Sorcerer""],[""Dragon Drinker""]]",Sorcerer (Dragon Drinker),Dragon Drinker,<id-00005,13,Breath Mimicry,"<p>At 13th level, when the dragon drinker drinks true dragon's blood from a dragon with a breath weapon of a shape or energy type different from her own, she may use the shape and energy type of the blood's source dragon when she next uses her breath weapon. This ability replaces the 13th-level bloodline feat.</p>",systems/pf1/icons/skills/red_14.jpg
,Sorcerer,"[[""Sorcerer""],[""Tattooed Sorcerer""]]",Sorcerer (Tattooed Sorcerer),Tattooed Sorcerer,<id-00004,7,Create Spell Tattoo,"<p>At 7th level, a tattooed sorcerer can create a spell tattoo (see page 16) once per day with a single touch as a standard action. The recipient of the spell tattoo must be willing to receive the spell tattoo. If she gives the spell tattoo to herself, it does not count against the regular limit of magic tattoos she can have. The spell tattoo must be of a spell that she knows that has no material or focus component. She can maintain one spell tattoo created by this ability at a time-if she uses this ability again, the previous spell tattoo she created fades away. Spell tattoos she creates with Inscribe Magic Tattoo do not count against this limit. She can use this ability twice per day at 11th level, and three times per day at 15th level. This ability replaces the bloodline feat gained at 7th level.</p>",systems/pf1/icons/skills/red_14.jpg
,Sorcerer,"[[""Sorcerer""],[""Umbral Scion""]]",Sorcerer (Umbral Scion),Umbral Scion,<id-00005,13,Crippling Darkness,"<p>At 13th level, when an umbral scion targets a creature within an area of dim light or darkness with a spell of the shadow subschool or a spell with the darkness or shadowUM descriptor, the DC for the spell increases by 1. This bonus increases by 1 at 18th level.</p>",systems/pf1/icons/skills/red_14.jpg
,Sorcerer,"[[""Sorcerer""],[""Umbral Scion""]]",Sorcerer (Umbral Scion),Umbral Scion,<id-00007,1,Diminished Spellcasting,"<p>An umbral scion can cast one fewer spell per day of each level than normal. If this reduces the number to 0, she can cast spells of that level only if her Charisma score grants her bonus spells of that level.</p>",systems/pf1/icons/skills/red_14.jpg
,Sorcerer,"[[""Sorcerer""],[""Umbral Scion""]]",Sorcerer (Umbral Scion),Umbral Scion,<id-00009,1,Encroaching Darkness,"<p>An umbral scion is capable of influencing light around her. As a standard action, she can produce a 10-foot-radius veil centered on a creature or object within 30 feet. This veil decreases the light level by one step and remains for a number of rounds equal to the sorcerer's Charisma modifier. At 7th level, the veil increases to a 30-foot radius. At 8th level, the veil decreases the light level by two steps. If the light level is decreased past darkness, the veil is treated as deeper darkness. At 14th level, the veil increases to 60 feet and grants any creature within it cover (even against senses normally able to penetrate total darkness, such as the see in darkness ability). An umbral scion can use this ability a number of times per day equal to 3 + her Charisma modifier.</p>",systems/pf1/icons/skills/red_14.jpg
,Sorcerer,"[[""Sorcerer""],[""Dragon Drinker""]]",Sorcerer (Dragon Drinker),Dragon Drinker,<id-00004,7,Energy Assimilation,"<p>At 7th level, when the dragon drinker drinks true dragon's blood from a dragon with a breath weapon that deals a different type of energy damage than her chosen energy type, she may adopt the energy resistance of the blood's source dragon as if it were her selected bloodline. This effect lasts for 1 minute per dose of dragon's blood, after which the dragon drinker's energy resistance reverts back to her normal energy type. This ability replaces the 7th-level bloodline feat.</p>",systems/pf1/icons/skills/red_14.jpg
