<<<<<<< HEAD
Class,Tags,Combined,Archetype,id,Level,Class Ability,Description,Img
Spiritualist,"[[""Spiritualist""],[""Soul Warden""]]",Spiritualist (Soul Warden),Soul Warden,<id-00025,20,Algea Call,"<p>At 20th level, as a standard action once per hour, a soul warden's nosoi scribe can summon countless other nosoi, which flock together to form an algea. This transformation lasts for 1 minute, after which the nosoi scribe returns unharmed, unless the algea is brought to 0 hit points or killed, in which case the nosoi scribe returns unconscious at 0 hit points. This is a summoning effect.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Totem Spiritualist""]]",Spiritualist (Totem Spiritualist),Totem Spiritualist,<id-00019,9,Animal Senses,"<p>At 9th level, a totem spiritualist shares her phantom animal's senses. If her phantom animal has any of the following abilities, she gains them whenever the phantom animal is harbored in her consciousness: blindsense, darkvision, low-light vision, and scent.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Priest of the Fallen""]]",Spiritualist (Priest of the Fallen),Priest of the Fallen,<id-00008,3,Channel Energy,"<p>At 3rd level, a priest of the fallen can channel her phantom's divine energy. This functions as the cleric's channel energy class feature, except that the amount of damage dealt or hit points restored is equal to 1d6 points plus an additional 1d6 points for every 2 spiritualist levels beyond 3rd. The priest of the fallen decides to channel positive or negative energy based on her alignment. A neutral priest of the fallen can channel either positive or negative energy, but once this choice is made, it cannot be changed. She can use this ability a number of times per day equal to her Charisma modifier (minimum 1).</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Necrologist""]]",Spiritualist (Necrologist),Necrologist,<id-00009,4,Channel Energy,"<p>At 4th level, a necrologist gains the ability to channel negative energy, with an effective cleric level equal to her spiritualist level - 3. She can use this ability a number of times per day equal to 1 + her Charisma modifier.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Hag-Haunted""]]",Spiritualist (Hag-Haunted),Hag-Haunted,<id-00009,4,Death Curse,"<p>A hag phantom is partially animated by the power of a hag's dying curse, and at 4th level this grants her a death curse of her own. As an immediate action, whenever the hag phantom is slain and returned to the Ethereal Plane, the phantom can utter a curse on the creature that killed her, targeting it with bestow curse. At 6th level, the spiritualist gains bestow curse as an extra 3rd-level spell known. At 16th level, the spiritualist gains major curse as an additional 6th-level spell known.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Ectoplasmatist""]]",Spiritualist (Ectoplasmatist),Ectoplasmatist,<id-00010,5,Detect Undead,"<p>At 5th level, a spiritualist's connection with the Ethereal Plane becomes so strong that she can use detect undead at will as a spell-like ability with a caster level equal to her spiritualist level.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Plague Eater""]]",Spiritualist (Plague Eater),Plague Eater,<id-00015,7,Disfiguring Touch,"<p>At 7th level, a plague eater can inflict upon others the superficial disfigurement associated with plague by casting disfiguring touch as a spell-like ability once per day. At 11th level and every 4 levels thereafter, the spiritualist can use this ability an additional time per day (to a maximum of four times per day at 19th level).</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Usher of Lost Souls""]]",Spiritualist (Usher of Lost Souls),Usher of Lost Souls,<id-00009,5,Disrupting Phantom,"<p>When an usher of lost souls reaches 4th level, her phantom gains the ability to directly harm haunts. The phantom can make an attack while within a haunt's area against an AC equal to 10 + the haunt's caster level. On a hit, the phantom deals its slam damage to the haunt; the haunt is immune to critical hits from the phantom. When an usher of lost souls reaches 12th level, her phantom can deal critical hits to a haunt, and the critical threat range for its slam attacks against haunts increases to 19-20.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Usher of Lost Souls""]]",Spiritualist (Usher of Lost Souls),Usher of Lost Souls,<id-00022,14,Disruptive Influence,"<p>At 14th level, the usher of lost souls can put spirits to rest. She can use one of her uses of calm spiritOA to instead cast purge spiritOA as a spell-like ability. She can expend two uses of her etheric channel to cast either of these spells as a spell-like ability.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Involutionist""]]",Spiritualist (Involutionist),Involutionist,<id-00026,1,Divine Spellcasting,"<p>An involutionist is a divine spellcaster. Her spells use verbal components instead of thought components and somatic components instead of emotional components. An involutionist's spirit phantom is her conduit to the divine, and it serves as her divine focus; the involutionist must either be within 5 feet on her spirit phantom or absorb her phantom into her consciousness to cast spells that require a divine focus.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Onmyoji""]]",Spiritualist (Onmyoji),Onmyoji,<id-00020,1,Divine Spellcasting,"<p>An onmyoji's spellcasting ability comes from divine rather than psychic power. As a divine caster, the onmyoji's spells use verbal components instead of thought components, and somatic components instead of emotional components, and she uses an ofuda as a divine focus. Ofudas are scrolls with holy writings written on parchment, cloth, or wood (having the same cost as a wooden holy symbol) or metal (having the same cost as a silver holy symbol). This ability alters spellcasting.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Onmyoji""]]",Spiritualist (Onmyoji),Onmyoji,<id-00009,4,Divine Teachings,"<p>An onmyoji gains the ability to call upon her phantom to help her cast spells she normally couldn't. At 4th level and every 3 levels thereafter, an onmyoji can choose a single spell from the cleric spell list with a spell level she is currently able to cast, and add that spell to her list of spells known, at the same spell level as it appears on the cleric spell list. Because the onmyoji relies on her phantom's influence in order to cast these spells, she can cast spells added in this way only while the phantom is confined within her consciousness (not stranded on the Ethereal Plane or fully manifested). This ability replaces spiritual interference and greater spiritual interference.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Drowned Channeler""]]",Spiritualist (Drowned Channeler),Drowned Channeler,<id-00026,1,Drowned Phantom,"<p>A drowned channeler has a drowned phantom. A drowned phantom's ectoplasmic body drips with water and seems to bleed off watery droplets even its incorporeal form. A drowned phantom gains a swim speed of 30 feet in both forms and gains the water subtype in addition to the phantom subtype, meaning that it can use its natural slam attacks underwater without taking the penalty for bludgeoning attacks underwater. The drowned channeler's etheric tether extends twice as far underwater, but only half as far above water. Additionally, the drowned phantom doesn't grant any of the usual benefits while confined in the drowned channeler's consciousness unless the drowned channeler is within 25 feet of an ocean, sea, lake, or other large body of water. Both forms of bonded manifestation grant the drowned phantom's swim speed of 30 feet to the drowned channeler, and attacks from the ectoplasmic bonded manifestation's tendrils don't take the typical penalties for bludgeoning attacks underwater, as if the phantom itself made them.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Drowned Channeler""]]",Spiritualist (Drowned Channeler),Drowned Channeler,<id-00010,5,Drowned Powers,"<p>At 5th level, a drowned channeler can use hydraulic pushAPG as a spell-like ability once per day, with an additional use each day at 9th level and every 4 levels thereafter. At 7th level, she can use slipstreamAPG once per day as a spell-like ability, with an additional use each day at 11th level and every 4 levels thereafter. At 9th level, she can use ride the wavesUM once per day as a spell-like ability. Finally, at 16th level, she can use fluid formAPG once per day as a spell-like ability.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Drowned Channeler""]]",Spiritualist (Drowned Channeler),Drowned Channeler,<id-00007,2,Drowned Spells,"<p>At 2nd level, a drowned channeler adds control water, fluid formAPG, hydraulic pushAPG, hydraulic torrentAPG, life current*, pressure adaptation*, ride the wavesUM, slipstreamAPG, stabilize pressure*, unlife current*, water breathing, and wave form* to the spiritualist spell list at the same spell level as they appear on the cleric list or sorcerer/wizard list, whichever is lower. Spells marked with an asterisk (*) appear in the Aquatic Spells section of this book (see page 59). The drowned channeler must still select them as spells known as normal.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Seeker of Enlightenment""]]",Spiritualist (Seeker of Enlightenment),Seeker of Enlightenment,<id-00005,1,Echoes of Expertise,"<p>A seeker of enlightenment gains a bonus equal to her spiritualist level on checks attempted with the two skills determined by her phantom's emotional focus. When the phantom is confined to the seeker of enlightenment's consciousness, it grants a +2 bonus on saving throws against mind-affecting effects; at 12th level, this bonus increases to +4. Once per day as a free action, the seeker of enlightenment can attempt a check with any Knowledge skill, including one in which she is not trained, and add her spiritualist level as a bonus on the check.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Seeker of Enlightenment""]]",Spiritualist (Seeker of Enlightenment),Seeker of Enlightenment,<id-00020,10,Echoes of Mastery,"<p>At 10th level, a seeker of enlightenment gains the bonus on saving throws from echoes of expertise even when her phantom is manifested. Additionally, once per day, she can take 20 on any Knowledge check, including one in which she is not trained.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Ectoplasmatist""]]",Spiritualist (Ectoplasmatist),Ectoplasmatist,<id-00009,4,Ectoplasmic Armor,"<p>At 4th level when an ectoplasmatist manifests her spiritual lash ability, tendrils of ectoplasmic material envelop her body, granting her a +4 armor bonus to AC.</p><p>At 12th level, the ectoplasmatist's armor bonus to AC increases to +6 and is treated as ghost touch armor.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Scourge""]]",Spiritualist (Scourge),Scourge,<id-00021,12,Ectoplasmic Swarm,"<p>At 12th level, as a standard action, a scourge with a phantom manifested in ectoplasmic form can command it to break apart in a gruesome display of gore and agony, transforming it into a swarm of Diminutive ectoplasmic organs and viscera. The phantom gains the swarm subtype, dealing its unmodified slam damage die as damage for its swarm attack. Its distraction DC is equal to 10 + 1/2 the phantom's Hit Dice + its Constitution modifier. In this form, the phantom is too diffuse to use inflict painOA or any of its abilities from emotional focus (even passive abilities).</p>",systems/pf1/icons/skills/water_07.jpg
