Class,Tags,Combined,Archetype,id,Level,Class Ability,Description,Img
Summoner,"[[""Summoner""],[""Master Summoner""]]",Summoner (Master Summoner),Master Summoner,<summonerbondsenses_2,2,Augment Summoning,"<p>At 2nd level, a master summoner gains Augment Summoning as a bonus feat. He does not have to meet any requirements for this feat. This ability replaces bond senses.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Blood God Disciple""]]",Summoner (Blood God Disciple),Blood God Disciple,<summonersummonmonsteri_7,7,Avatar Gambit,"<p>At 7th level, when a blood god disciple dismisses his eidolon, he rages like a barbarian for a number of rounds equal to half his summoner level (he may end this rage early just like a barbarian, but if he does so, any remaining rounds of rage from this ability are lost). This replaces the summon monster IV spell-like ability.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Blood God Disciple""]]",Summoner (Blood God Disciple),Blood God Disciple,<summonersummonmonsteri_1,1,Blood Feast,"<p>At 1st level, a blood god disciple can feed a recently fallen foe to his eidolon, allowing the outsider to channel some of its power into the summoner. The eidolon must spend a standard action to eat some of the opponent, which must be a living, corporeal creature killed or knocked unconscious by the eidolon or summoner in the past minute. This eating deals damage to the target as if the eidolon had attacked it with one natural attack (typically a bite). The fallen creature must have at least half as many Hit Dice as the summoner. Once the feeding is complete, the summoner may manifest one 1-point evolution. This lasts for 1 minute. The evolution's effects use the summoner's Hit Dice and ability scores rather than the eidolon's. The blood god disciple can use this ability a number of times per day equal to 3 + his Charisma modifier. He may only apply one use of this ability at a time (using it a second time replaces any evolution manifested with this ability), and can only manifest evolutions his eidolon has.</p><p>At 5th level, when the blood god disciple uses blood feast, he may manifest one 2-point evolution instead of a 1-point evolution. At 9th level, he may manifest up to two evolutions worth a total of 3 evolution points or fewer. At 13th level, he may manifest up to two evolutions worth a total of 4 evolution points or fewer. At 17th level, he may manifest up to three evolutions worth a total of 5 evolution points or fewer.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Blood Summoner""]]",Summoner (Blood Summoner),Blood Summoner,<summonershieldally_4,4,Blood Offering,"<p>At 4th level, the blood summoner can sacrifice a flask of blood, extracted up to 1 day ago from a living creature or a corpse that's been dead no longer than 1 minute, to aid and appease an evil outsider within 30 feet as a standard action. This blood can be extracted from a willing or helpless creature as a full-round action that deals 1 point of Constitution damage. The offering grants the outsider a +2 enhancement bonus to the ability score of the blood summoner's choice and grants the blood summoner a +4 circumstance bonus on Diplomacy checks and Charisma checks to bargain with it. The bonuses last for 10 minutes. The offering cannot be made to the same fiend twice in the same day. This ability replaces shield ally.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Blood Summoner""]]",Summoner (Blood Summoner),Blood Summoner,<summonermergeforms_16,16,Blood Possession,"<p>At 16th level as a full-round action, a blood summoner's eidolon can enter and control the body of any corporeal creature that has blood. This ability functions as marionette possessionUM, except that the eidolon's body also enters the target and the target can be unwilling. A successful Will save (DC = 10 + 1/2 the blood summoner's level + his Charisma modifier) negates this effect. This ability can be used once per day at 16th level, twice per day at 18th level, and three times per day at 20th level. The eidolon can end this possession at any time as a standard action. If the host body is slain while the eidolon is possessing it, the eidolon is immediately ejected, takes 4d6 points of damage, and is stunned for 1 round. This ability replaces merge forms.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Blood Summoner""]]",Summoner (Blood Summoner),Blood Summoner,<summonertransposition_8,8,Blood Travel,"<p>At 8th level, a blood summoner can use his maker's call ability to allow his eidolon to travel through the blood of other creatures instead of bringing it to his side. The eidolon can either emerge from the blood of a living creature within range that has fewer than its maximum hit points remaining, or burst from the corpse of a Small or larger creature within range that has been dead for no longer than 1 minute. If the eidolon emerges from an injured creature, that creature takes 4d6 points of damage, which is halved if the creature succeeds at a Fortitude save (DC = 10 + 1/2 the blood summoner's level + his Charisma modifier). The eidolon appears in its choice of the nearest unoccupied square to the creature or corpse it emerged from, and is staggered for 1 round. This ability replaces transposition.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Blood God Disciple""]]",Summoner (Blood God Disciple),Blood God Disciple,<summonersummonmonsteri_3,3,Bloody Gift,"<p>At 3rd level, when a blood god disciple uses blood feast to manifest an evolution, he may touch one ally and grant it that evolution as well. Each affected ally counts as one use per day of the blood feast ability. At 7th, 11th, 15th, and 19th level, the blood god disciple can affect an additional creature with this ability (each one counting as a use per day of blood feast). If the blood god disciple can manifest multiple evolutions per use of blood feast, his selected allies manifest these multiple evolutions as well. This ability replaces the summon monster II spell-like ability.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Evolutionist""]]",Summoner (Evolutionist),Evolutionist,<summonerbondsenses_2,2,Bond senses,"<p>At 2nd level, instead of a single eidolon, a broodmaster summons two Small eidolons to his side, each less powerful than the single eidolon of a standard summoner. Each eidolon has it own base form and associated base statistics and free evolutions. Regardless of the number of eidolons in the brood, each eidolon has the same base attack bonus and base saving throw bonuses, but the rest of the eidolons' base statistics must be divided between the eidolons, including Hit Dice (minimum 1), skill points, number of feats, armor bonus, Str/Dex bonus, evolution pool (but see below), and maximum number of natural attacks. Individual eidolons in the brood must purchase evolutions separately. Once a broodmaster decides on the forms and abilities of his eidolons, they cannot be changed until the summoner gains a level.</p><p>Example: A 2nd-level broodmaster can summon two eidolons. Each eidolon has 1 Hit Dice, BAB +2, +3 on its two good saves and +0 on its bad save. The broodmaster decides to give the first eidolon 4 skill points, one feat, a +1 armor bonus, a +1 bonus to Strength, 2 points from the evolution pool, and a maximum of two attacks. The remaining 4 skill points, +1 armor bonus, +1 bonus to Dexterity, and 2 points from the evolution pool go to the second eidolon, but it gains no feats and can have only one natural attack.</p><p>The broodmaster must dismiss all of his eidolons at one time. Likewise, all of the eidolons in a brood are banished if the broodmaster is unconscious, asleep, or killed. However, each eidolon in the brood is sent back to its home plane individually when its hit points are reduced to a negative number equal to or greater than its Constitution score. This ability replaces the summoner's normal eidolon ability.</p><p>The following are new class features of the broodmaster archetype. Those with the same name as the standard summoner class have slightly different rules, but otherwise work as and replace the standard summoner class features of the same name.</p><p>The broodmaster can only share the senses of one eidolon in his brood at a time.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Evolutionist""]]",Summoner (Evolutionist),Evolutionist,<summonerlifebond_14,14,Brood Bond,"<p>At 14th level, a summoner's life becomes linked to his brood. This functions as the life bond ability, except the broodmaster can only transfer damage to one eidolon in the brood at a time. If that eidolon takes enough damage to send it back to its home plane, all excess damage remains with the broodmaster, killing him. This ability replaces life bond.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Evolutionist""]]",Summoner (Evolutionist),Evolutionist,<id-00002,2,Brood Link,"<p>At 2nd level, a broodmaster forms a close bond with his eidolons. This ability works like the standard summoner life link ability, except the broodmaster can only sacrifice hit points to prevent damage to one eidolon in the brood at a time. If two or more eidolons in the brood take enough damage to send them back to their home plane, the broodmaster can only sacrifice hit points to prevent damage to one of them. This ability replaces life link.</p>",systems/pf1/icons/skills/green_21.jpg
