<<<<<<< HEAD
id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Swashbuckler,"[[""Swashbuckler""],[""Azatariel""]]",Swashbuckler (Azatariel),Azatariel,<id-00015,4,Affection of Elysium,"<p>An azatariel's affection relieves harmful afflictions. At 4th level and every 4 levels thereafter, an azatariel selects a mercy from those available to a paladin whose class level is equal to her swashbuckler level. She can show her affection to a willing, adjacent creature as a standard action to apply the effects of these mercies to the targeted creature, treating her swashbuckler level as her paladin level. An azatariel can use this ability a number of times per day equal to half her swashbuckler level plus her Charisma modifier.</p>",icons/equipment/head/hat-tricorn-pirate-black.webp
,Swashbuckler,"[[""Swashbuckler""],[""Rostland Bravo""]]",Swashbuckler (Rostland Bravo),Rostland Bravo,<id-00025,1,Aldori Swashbuckler,"<p>A Rostland bravo focuses on the Aldori dueling sword (see page 24), scorning the bucklers used by duelists of other styles. In addition, the relative safety and creature comforts allowed by life in the sprawling city of Restov reduces her need for athleticism. A Rostland bravo gains Exotic Weapon Proficiency (Aldori dueling sword) as a bonus feat. The Rostland bravo is not proficient with bucklers, and does not gain Climb or Swim as class skills.</p>",icons/equipment/head/hat-tricorn-pirate-black.webp
,Swashbuckler,"[[""Swashbuckler""],[""Noble Fencer""]]",Swashbuckler (Noble Fencer),Noble Fencer,<id-00009,2,Aristocratic Discipline,"<p>At 2nd level, a noble fencer relies on his extremely honed training and discipline to protect his mind, rather than luck. The noble fencer gains a +1 bonus on Will saves against mind-affecting effects. This bonus increases by 1 at 6th level and every 4 swashbuckler levels thereafter.</p>",icons/equipment/head/hat-tricorn-pirate-black.webp
,Swashbuckler,"[[""Swashbuckler""],[""Arrow Champion""]]",Swashbuckler (Arrow Champion),Arrow Champion,<id-00021,1,Arrow Champion's Panache,"<p>An arrow champion regains panache when she makes a killing blow with a light or one-handed piercing melee weapon or a bow (a longbow, shortbow, composite longbow, or composite shortbow).</p>",icons/equipment/head/hat-tricorn-pirate-black.webp
,Swashbuckler,"[[""Swashbuckler""],[""Mysterious Avenger""]]",Swashbuckler (Mysterious Avenger),Mysterious Avenger,<id-00025,1,Avenger Finesse,"<p>A mysterious avenger gains all of the benefits of the swashbuckler's finesse class feature, and gains the ability to use a whip in place of a light or one-handed piercing melee weapon for all swashbuckler class features and deeds. This ability alters swashbuckler finesse.</p>",icons/equipment/head/hat-tricorn-pirate-black.webp
,Swashbuckler,"[[""Swashbuckler""],[""Mysterious Avenger""]]",Swashbuckler (Mysterious Avenger),Mysterious Avenger,<id-00020,5,Avenger's Target,"<p>At 5th level, a mysterious avenger gains a +1 bonus on attack and damage rolls with light or one-handed piercing melee weapons and whips. Furthermore, a mysterious avenger can study an opponent she can see as a move action. The mysterious avenger then gains a +1 bonus on Bluff, Knowledge, Perception, Sense Motive, and Survival checks against that opponent, a +1 bonus on weapon attack and damage rolls against it, and a +1 bonus to DCs of any deeds used against that opponent. A mysterious avenger can maintain these bonuses against only one opponent at a time; these bonuses remain in effect until either the opponent is dead or the mysterious avenger studies a new target.</p><p>At 10th, 15th, and 20th levels, these mysterious avenger's bonuses against a studied target increase by 1. In addition, at each such interval, a mysterious avenger is able to maintain these bonuses against an additional studied target at the same time. A mysterious avenger can discard this connection to a studied target as a free action, allowing her to study another target in its place.</p><p>At 10th level, a mysterious avenger can study an opponent as a move or swift action. This ability replaces swashbuckler weapon training.</p>",icons/equipment/head/hat-tricorn-pirate-black.webp
,Swashbuckler,"[[""Swashbuckler""],[""Azatariel""]]",Swashbuckler (Azatariel),Azatariel,<id-00010,3,Battle Dance,"<p>At 3rd level and every 4 levels thereafter, an azatariel's base speed increases by 10 feet. This is an enhancement bonus. An azatariel in medium or heavy armor or carrying a medium or heavy load loses this extra speed.</p>",icons/equipment/head/hat-tricorn-pirate-black.webp
,Swashbuckler,"[[""Swashbuckler""],[""Dashing Thief""]]",Swashbuckler (Dashing Thief),Dashing Thief,<id-00026,1,Bold Thief,"<p>A dashing thief fulfills the Council's larcenous goals with style. Her derring-do and swashbuckler's edge deeds apply to Disable Device and Sleight of Hand, but not to Fly and Ride. She adds Disable Device to her list of class skills, but does not have Fly or Ride as class skills.</p>",icons/equipment/head/hat-tricorn-pirate-black.webp
,Swashbuckler,"[[""Swashbuckler""],[""Okayo Corsair""]]",Swashbuckler (Okayo Corsair),Okayo Corsair,<id-00015,4,Bonus Feat,"<p>At 4th level and every 4 levels thereafter, a swashbuckler gains a bonus feat in addition to those gained from normal advancement. These bonus feats must be selected from those listed as combat feats. Swashbuckler levels are considered fighter levels for the purpose of meeting combat feat prerequisites.</p><p>In addition, upon reaching 4th level and every 4 levels thereafter, a swashbuckler can choose to learn a new bonus feat in place of a bonus feat she has already learned. In effect, the swashbuckler loses the bonus feat in exchange for the new one. The old feat cannot be one that was used as a prerequisite for another feat, prestige class, or other ability. A swashbuckler can only change one feat at any given level, and must choose whether or not to swap the feat at the time she gains a new bonus feat for the level.</p><p>At 4th level, an Okayo corsair's swashbuckler levels are considered both fighter levels and monk levels for the purpose of meeting combat feat prerequisites.</p>",icons/equipment/head/hat-tricorn-pirate-black.webp
,Swashbuckler,"[[""Swashbuckler""],[""Rondelero Swashbuckler""]]",Swashbuckler (Rondelero Swashbuckler),Rondelero Swashbuckler,<id-00025,2,Buckler Bash,"<p>At 2nd level, a rondelero swashbuckler can perform a shield bash with a buckler (use the same damage and critical multiplier as for a light shield). He can treat a buckler as a one-handed piercing melee weapon for the purposes of the swashbuckler's finesse and all feats and class abilities that refer to such a weapon.</p>",icons/equipment/head/hat-tricorn-pirate-black.webp
,Swashbuckler,"[[""Swashbuckler""],[""Guiding Blade""]]",Swashbuckler (Guiding Blade),Guiding Blade,<id-00025,2,Charmed Guardian,"<p>At 2nd level, the fortunate nature of a guiding blade's charmed life extends to protect her allies as well. She can use her charmed life ability on a saving throw attempted by any ally within 30 feet, including herself.</p>",icons/equipment/head/hat-tricorn-pirate-black.webp
,Swashbuckler,"[[""Swashbuckler""],[""Rondelero Swashbuckler""]]",Swashbuckler (Rondelero Swashbuckler),Rondelero Swashbuckler,<id-00009,10,Charmed Life,"<p>A rondelero swashbuckler does not gain charmed life until 10th level, at which point he can use the ability only once per day. At 14th level and again at 18th level, he can use the ability an additional time per day. This ability alters charmed life.</p>",icons/equipment/head/hat-tricorn-pirate-black.webp
,Swashbuckler,"[[""Swashbuckler""],[""Courser""]]",Swashbuckler (Courser),Courser,<id-00015,4,Confounding Target,"<p>At 4th level, the courser gains Spring Attack as a bonus feat even if she does not meet the prerequisites. As long as she has at least 1 panache point and is wearing light armor or no armor, her base speed increases by 10 feet rather than 5 feet. This ability replaces the bonus feat gained at 4th level.</p>",icons/equipment/head/hat-tricorn-pirate-black.webp
,Swashbuckler,"[[""Swashbuckler""],[""Guiding Blade""]]",Swashbuckler (Guiding Blade),Guiding Blade,<id-00026,1,Daring Teamwork,"<p>A guiding blade uses her panache to inspire her allies to heights of teamwork they could never reach alone. At 1st level, a guiding blade gains a bonus teamwork feat. She gains an additional teamwork feat at 4th level and every 4 swashbuckler levels thereafter.</p><p>As a standard action, she can spend 1 panache point to grant a teamwork feat she gained from this ability to all allies within 30 feet who can see and hear her. They do not need to meet the feat's prerequisites. She can use this ability multiple times to grant multiple teamwork feats. This ability lasts for 3 rounds + 1 round for every 2 swashbuckler levels she has, but if the guiding blade ever fails to have at least 1 panache point, all of these durations end immediately. At 7th level, the guiding blade can activate this ability as a swift action. At 15th level, she can grant two teamwork feats each time she activates this ability, and she can grant any teamwork feats she possesses, not just the teamwork feats she gained from this ability.</p><p>A guiding blade regains panache whenever an ally reduces a creature to 0 or fewer hit points, instead of when she herself does so. She still doesn't regain panache from unattended objects, helpless or unaware creatures, or opponents with low Hit Dice.</p>",icons/equipment/head/hat-tricorn-pirate-black.webp
,Swashbuckler,"[[""Swashbuckler""],[""Whirling Dervish""]]",Swashbuckler (Whirling Dervish),Whirling Dervish,<id-00026,1,Dawnflower's Mercy,"<p>While violence is sometimes necessary to cleanse evil, Sarenrae's desire for redemption prevents her dervishes from reveling in a foe's defeat. A whirling dervish does not gain any panache for dropping a foe below 0 hit points unless that foe is an evil outsider or undead, or if the damage she dealt was nonlethal. Additionally, she gains 1 panache point if she causes an evildoer with a number of Hit Dice equal to at least 1/2 her character level to surrender to her. She can gain this benefit no more than once per round, even if multiple enemies surrender.</p>",icons/equipment/head/hat-tricorn-pirate-black.webp
,Swashbuckler,"[[""Swashbuckler""],[""Flying Blade""]]",Swashbuckler (Flying Blade),Flying Blade,<id-00025,1,Deeds,"<p>A flying blade gains the following deeds, each of which replaces an existing deed.</p><p>Subtle Throw (Ex): At 1st level, a flying blade can spend 1 panache point as part of a ranged attack with a dagger or starknife to make it without provoking attacks of opportunity. At 6th level, as a swift action she can spend 1 panache point to make all of her ranged attacks with daggers or starknives without provoking attacks of opportunity until the start of her next turn. This deed replaces dodging panache.</p><p>Disrupting Counter (Ex): At 3rd level, when an opponent makes a melee attack against her, she can spend 1 panache point to make an attack of opportunity against the attacking foe. This attack of opportunity can be made with either a dagger or a starknife. If the attack hits, the opponent takes a -4 penalty on all attack rolls until the end of its turn. This deed replaces kip-up.</p><p>Precise Throw (Ex): At 3rd level, as long as she has at least 1 panache point, a flying blade can use her precise strike with a thrown dagger or starknife as long as the target is within 60 feet of her, and she increases the range increment of these weapons by 5 feet. She can spend 1 panache point when she throws a dagger or a starknife to ignore all range increment penalties with that ranged attack. This deed replaces menacing swordplay.</p><p>Targeted Throw (Ex): At 7th level, a flying blade can target individual body parts. This deed functions as the swashbuckler's targeted strike deed, but the flying blade can also use this deed when making ranged attacks with either a dagger or a starknife as long as the target is within 60 feet of the flying blade. This deed replaces targeted strike.</p><p>Bleeding Wound (Ex): At 11th level, a flying blade can deal bleed damage as part of an attack. This deed functions as the swashbuckler's bleeding wound deed, but the flying blade can also use this deed when making ranged attacks with either a dagger or a starknife as long as the target is within 60 feet of the flying blade. This deed alters bleeding wound.</p><p>Perfect Throw (Ex): At 15th level, a flying blade can pool all of her attack potential into a single attack. This deed functions as the swashbuckler's perfect strike deed, but the flying blade must use this deed when making ranged attacks with either a dagger or a starknife, and she can use this deed only on targets within 60 feet of her. This deed replaces perfect thrust.</p>",icons/equipment/head/hat-tricorn-pirate-black.webp
,Swashbuckler,"[[""Swashbuckler""],[""Daring Infiltrator""]]",Swashbuckler (Daring Infiltrator),Daring Infiltrator,<id-00025,1,Deeds,"<p>Swashbucklers spend panache points to accomplish deeds. Most deeds grant the swashbuckler a momentary bonus or effect, but some provide longerlasting effects. Some deeds remain in effect while the swashbuckler has at least 1 panache point, but do not require expending panache to be maintained. A swashbuckler can only perform deeds of her level or lower. Unless otherwise noted, a deed can be performed multiple successive times, as long as the swashbuckler has or spends the required number of panache points to perform the deed.</p><p>A daring infiltrator gains the following deeds, each of which replaces an existing deed.</p><p>Clandestine Expertise (Ex): At 3rd level, a daring infiltrator with at least 1 panache point gains a +2 bonus on Disguise and Stealth checks. Also, as long as she has at least 1 panache point, when she successfully aids another with a Disguise or Stealth check, she grants the subject a +4 bonus on the skill check instead of the normal +2. This deed replaces swashbuckler initiative.</p><p>Silence Is Golden (Ex): At 3rd level, when a daring infiltrator with at least 1 panache point succeeds at a trip or grapple combat maneuver check, the target is rendered mute for 1 round. For every 5 by which the result of the combat maneuver check exceeds the opponent's CMD, the target remains mute for an additional round. A mute creature cannot speak, use language-dependent effects or verbal components, or use command words. This deed replaces menacing swordplay.</p><p>Authoritative Bluff (Ex): At 11th level, a daring infiltrator can spend 1 panache point to reroll a Bluff check after the roll is made but before the results are revealed. She must take the result of the second roll, even if it is lower. Additionally, a daring infiltrator with at least 1 panache point gains a +5 bonus on Bluff checks to pretend to be someone's superior (socially or in the military). If she succeeds at the check, the target obeys any reasonable orders she gives as it would those of an actual superior in the situation. This deed replaces bleeding wound.</p>",icons/equipment/head/hat-tricorn-pirate-black.webp
