<<<<<<< HEAD
id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Vigilante,"[[""Vigilante""],[""Agathiel""]]",Vigilante (Agathiel),Agathiel,<id-00015,2,Agathion Blessing,"<p>Beginning at 2nd level, an agathiel gains Aspect of the BeastAPG as a bonus feat while in his vigilante identity. If he selects the claws of the beast option, he can select a bite attack (1d8), a gore attack (1d8), or 2 slam attacks (1d4 each), as appropriate to his animal identity.</p>",icons/equipment/head/hood-cloth-brown.webp
,Vigilante,"[[""Vigilante""],[""Magical Child""]]",Vigilante (Magical Child),Magical Child,<id-00032,1,Animal Guide,"<p>A magical child starts play with a magical spirit guide in the form of a familiar, using her vigilante level as her effective wizard level. The familiar also has a social identity as a seemingly normal animal, though vigilantes with outlandish familiars might still need to hide the familiar.</p><p>At 3rd level, the magical child's familiar reveals another aspect of its form, and its vigilante identity changes into a creature on the Improved Familiar list that would be available to a 3rd-level spellcaster (the animal guide's social identity always remains as the original normal animal). The familiar can change its vigilante identity again when the magical child reaches 5th and 7th level, each time to familiars available at those levels. The Improved Familiar feat's alignment restrictions apply to this ability, but only the magical child's vigilante identity needs to have an alignment that fulfills the alignment requirements of the improved familiar. The familiar's new vigilante form choices are permanent, and it cannot transform back into its former vigilante identities until 9th level, when the familiar gains the change shape universal monster ability if it doesn't already have it. It can use this ability at will when in its vigilante identity to transform into any of its four vigilante identities. In vigilante form, a magical child's familiar gains an amount of DR/magic equal to her vigilante level. This doesn't stack with any DR/magic that her vigilante form might already possess.</p><p>If a magical child's familiar dies, its consciousness simply leaves its body, and the magical child can replace its body after 24 hours. To do so, she must conduct an 8-hour ritual that costs 200 gp per her vigilante level, but once the ritual is complete, the familiar returns in a new body. It retains all of its memories from its earlier service to the magical child.</p>",icons/equipment/head/hood-cloth-brown.webp
,Vigilante,"[[""Vigilante""],[""Avenging Beast""]]",Vigilante (Avenging Beast),Avenging Beast,<id-00030,1,Animal Mask,"<p>An avenging beast gains an ornate animal-headed mask that is a focus for his power and must be worn when assuming his vigilante identity. This mask symbolizes one specific animal, and the animal cannot be changed once chosen. Without this mask, an avenging beast cannot assume his vigilante identity. An avenging beast who loses his mask can replace it after 1 week through a specialized ritual that takes 8 hours to complete and costs 200 gp per avenging beast level.</p>",icons/equipment/head/hood-cloth-brown.webp
,Vigilante,"[[""Vigilante""],[""Masked Maiden""]]",Vigilante (Masked Maiden),Masked Maiden,<id-00012,3,Armor Training,"<p>All Gray Maidens were drilled in the use of their armor, and as a masked maiden continues to lapse in and out of indoctrination, that training emerges slowly from her subconscious. At 3rd level, a masked maiden gains the fighter's armor training class feature, and at 19th level she gains armor mastery. She treats her vigilante level as her fighter level for the purposes of both.</p>",icons/equipment/head/hood-cloth-brown.webp
,Vigilante,"[[""Vigilante""],[""Faceless Enforcer""]]",Vigilante (Faceless Enforcer),Faceless Enforcer,<id-00015,2,Armored Juggernaut,"<p>At 2nd level, a faceless enforcer does not need help donning half-plate or full-plate armor, but donning it alone takes him 8 minutes. At 4th level, he can don his half-plate or full-plate alone in 4 minutes, and can don it hastily in 2 minutes. At 6th level, he doesn't apply the armor check penalty for any armor on Acrobatics, Escape Artist, or Stealth checks, but the penalty applies on other skill checks as normal. At 8th level, a faceless enforcer can move 5 feet faster than normal in heavy armor, to a maximum of his base speed. At 10th level, it takes him 2 minutes to don heavy armor, 1 minute to don it hastily, and 1 minute to remove it. At 16th level, he can move at full speed in heavy armor. At 18th level, it never takes the vigilante more than 1 minute to don his armor.</p>",icons/equipment/head/hood-cloth-brown.webp
,Vigilante,"[[""Vigilante""],[""Zealot""]]",Vigilante (Zealot),Zealot,<id-00032,1,Aura,"<p>A zealot of a chaotic, evil, good, or lawful deity has a particularly powerful aura corresponding to the deity's alignment (see detect evil spell for details), but only when in his vigilante identity.</p>",icons/equipment/head/hood-cloth-brown.webp
,Vigilante,"[[""Vigilante""],[""Bellflower Harvester""]]",Vigilante (Bellflower Harvester),Bellflower Harvester,<id-00031,1,Bellflower Crop,"<p>As a standard action, a Bellflower harvester can designate a number of allies equal to 3 + his Charisma modifier as part of his Bellflower crop. Members of a Bellflower crop must remain within 30 feet of the vigilante to gain any benefits from abilities that affect a Bellflower crop, regardless of the ability's source (whether it's a Bellflower harvester, irrigator, or tiller). If the allies leave this range, the Bellflower harvester must designate them again to include them in his crop.</p>",icons/equipment/head/hood-cloth-brown.webp
,Vigilante,"[[""Vigilante""],[""Agathiel""]]",Vigilante (Agathiel),Agathiel,<id-00031,1,Bestial Identity,"<p>At 1st level, an agathiel's vigilante identity must invoke the appearance and behavior of a single Small or Medium creature of the animal type. The vigilante can attempt to appear to be a normal member of this animal type, but doing so imposes a -10 penalty on his Disguise check. The bonus provided by seamless guise still applies to the vigilante's attempts to appear to be an ordinary animal. Once the vigilante's animal form is selected, it cannot be changed.</p><p>Beginning at 4th level, when an agathiel assumes his vigilante identity, he physically transforms into an animal, though he always retains unusual traits that set him apart from ordinary animals, as if using beast shape I, except the vigilante gains no ability adjustments and can select only a single animal ability from those listed in the spell's description. His social identity remains his true form, and unlike with beast shape I, an agathiel can remain in his animal form indefinitely. The agathiel's vigilante identity is considered a polymorph effect, and while in his vigilante identity, the agathiel is immune to other polymorph effects. Unlike with normal polymorph effects, the agathiel's equipment does not meld into his form, and instead changes shape to fit his animal form and provides the same function, though any equipment requiring hands cannot be used until he returns to his social identity.</p><p>At 8th level, when assuming his vigilante identity, the vigilante can select two abilities provided by beast shape I, or select a single ability provided by beast shape II. At 12th level, he can instead select two abilities provided by beast shape II, or a single ability provided by beast shape III. At 16th level, he can instead select three abilities provided by beast shape III, or a single ability provided by beast shape IV.</p>",icons/equipment/head/hood-cloth-brown.webp
,Vigilante,"[[""Vigilante""],[""Cabalist""]]",Vigilante (Cabalist),Cabalist,<id-00027,11,Bloody Horror,"<p>At 11th level, when a cabalist casts a spell and one of the targets (or one creature in the area for an area spell) is taking bleed damage, the cabalist can, as a free action, make an Intimidate check to demoralize all targets of the spell (or all creatures in the area for an area spell). The cabalist rolls only one Intimidate check and applies the result to all the targets.</p><p>Once a creature has been the target of this ability (regardless of whether or not it was successful), it is immune to that cabalist's bloody horror for 24 hours. This is a mind-affecting fear effect.</p>",icons/equipment/head/hood-cloth-brown.webp
,Vigilante,"[[""Vigilante""],[""Hangman""]]",Vigilante (Hangman),Hangman,<id-00025,3,Bound to Truth,"<p>At 3rd level, a hangman adds half his vigilante level to his Sense Motive checks to notice lies told by a creature entangled or grappled by his noose, by feeling the creature's throat clench or changes in its breathing. In addition, he can prevent a creature entangled or grappled in his noose from lying by tightening the noose, as per a single-target zone of truth (the caster level equals his vigilante level; the save DC is Charisma-based). He can use the latter ability a number of rounds per day equal to half his vigilante level. These rounds don't need to be consecutive.</p>",icons/equipment/head/hood-cloth-brown.webp
,Vigilante,"[[""Vigilante""],[""Experimenter""]]",Vigilante (Experimenter),Experimenter,<id-00025,3,Brew Potion,"<p>At 3rd level, an experimenter gains Brew Potion as a bonus feat. He treats his vigilante level as his caster level and can use Craft (alchemy) instead of Spellcraft to brew potions. He can use another potion of the same spell as a sample to provide the necessary spell without consuming the potion, increasing the DC by 5.</p>",icons/equipment/head/hood-cloth-brown.webp
,Vigilante,"[[""Vigilante""],[""Brute""]]",Vigilante (Brute),Brute,<id-00014,1,Brute Form,"<p>Though it is sometimes difficult to maintain, a brute has a measure of control over his abilities.</p><p>While in his vigilante identity, a brute becomes one size category larger, gaining no ability score adjustments but otherwise gaining all adjustments for his new size, including additional reach, if appropriate. A brute's vigilante identity is savage and dangerous. While in his vigilante identity, the brute takes a -2 penalty to AC, as well as to all ability checks and skill checks that rely on Charisma, Dexterity, or Intelligence. Furthermore, the brute cannot use any Charisma-, Dexterity-, or Intelligence-based skill (except Acrobatics, Fly, Intimidate, and Ride) or any ability that requires patience or concentration (such as spellcasting). When a brute is in mortal peril, such as when combat starts, if he is in his social identity, he must succeed at a Will save (DC = 20 + 1/2 his vigilante level) or enter his vigilante identity. Entering his vigilante identity in this way is a horrifying and painful process that takes 1 full round, during which he is flat-footed, and it typically allows his enemies to see his transformation and learn his identity. The brute's vigilante identity can't always tell friend from foe. While he still attacks enemies preferentially during a battle, when there are no more enemies around, each round he must succeed at a Will save (DC = 20 + 1/2 his vigilante level) or continue fighting against his allies or bystanders. Allies can use the aid another action to assist this saving throw with skills like Diplomacy, as they attempt to calm him down. On a successful save, he slowly turns back to his social identity over the course of 1 minute (or shorter if he has a social talent that reduces that time).</p><p>A brute uses his vigilante level as his base attack bonus, but only while he is in his vigilante identity. At 5th level, while in his vigilante identity, the brute gains a +1 bonus on melee attack and damage rolls. This bonus increases to +2 at 13th level and to +3 at 19th level. He uses his normal base attack bonus to qualify for feats and other abilities, although when in his vigilante identity, he uses his increased base attack bonus to determine the effects of feats (such as Power Attack) and other abilities.</p><p>A brute's mundane clothes and armor do not increase in size with him, and any such items he wears while changing into his vigilante identity lose one-quarter of their hit points. Magical clothes and accessories increase in size with the vigilante, however (though his magical armor and weapons initially do not, as normal).</p><p>A brute can stay in his vigilante identity for up to 2 hours at a time, for a total of up to 6 hours in a 24-hour period. When threatened in his vigilante identity, he has the potential to damage bystanders or allies. After switching from his vigilante identity to his social identity, he is fatigued for the same amount of time (rounds, minutes, or hours) that he spent in his vigilante identity and cannot remove or ignore this fatigue by any means except by waiting the appropriate amount of time. If he enters his vigilante identity while fatigued, once he switches back to his social identity, he becomes exhausted for the amount of time he just spent in his vigilante identity, and he also can't remove or ignore the exhaustion by any means other than waiting the appropriate length of time. A character with immunity to fatigue or exhaustion cannot adopt a brute form at all; that immunity prevents the transformation as an effect that would cause fatigue or exhaustion.</p><p>An exhausted brute can only enter his vigilante identity for a number of rounds equal to half his vigilante level (minimum 1); following these rounds, the brute immediately falls unconscious, or into a stupor if he is somehow prevented from falling unconscious. In this state, a brute can be healed as normal (and, if he has 0 hit points or more, he returns to consciousness after receiving any amount of magical healing or a DC 15 Heal check), but he cannot enter his vigilante identity for 1 hour.</p>",icons/equipment/head/hood-cloth-brown.webp
,Vigilante,"[[""Vigilante""],[""Brute""]]",Vigilante (Brute),Brute,<id-00032,2,Brute Talents,"<p>A brute can select from any of the following vigilante talents, in addition to general vigilante talents.</p>",icons/equipment/head/hood-cloth-brown.webp
,Vigilante,"[[""Vigilante""],[""Brute""]]",Vigilante (Brute),Brute,<id-00030,1,Brutish Fortitude,"<p>A brute's base Fortitude save bonus from his vigilante levels is equal to 2 + half his vigilante level, and his base Reflex and Will save bonuses are equal to 1/3 his vigilante level.</p>",icons/equipment/head/hood-cloth-brown.webp
,Vigilante,"[[""Vigilante""],[""Cabalist""]]",Vigilante (Cabalist),Cabalist,<id-00031,2,Cabalist Talents,"<p>A cabalist can select from the following vigilante talents, in addition to general vigilante talents. This alters vigilante talents.</p>",icons/equipment/head/hood-cloth-brown.webp
