id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,Img
,Warpriest,"[[""Warpriest""],[""Sacred Fist""]]",Warpriest (Sacred Fist),Sacred Fist,<id-00036,1,AC Bonus,"<p>A deity protects her sacred fist as long as he is unarmored and unencumbered. A sacred fist adds his Wisdom modifier (minimum 0) to his AC and his CMD. In addition, a sacred fist gains a +1 dodge bonus to AC and CMD at 4th level. This bonus increases by 1 for every 4 levels thereafter (to a maximum of +5 at 20th level).</p><p>These bonuses to AC apply even against touch attacks or when the sacred fist is flat-footed. He loses these bonuses when he is immobilized or helpless, when he wears any armor, when he carries a shield, or when he carries a medium or heavy load. This counts as the monk ability of the same name, and the sacred fist's warpriest levels stack with monk levels for determining the benefits.</p>",systems/pf1/icons/skills/yellow_22.jpg
,Warpriest,"[[""Warpriest""],[""Fist of the Godclaw""]]",Warpriest (Fist of the Godclaw),Fist of the Godclaw,<id-00013,6,Alignment Channel,"<p>At 6th level, a fist of the Godclaw gains Alignment Channel as a bonus feat. When he uses this feat and spends fervor to channel energy, he can harm only outsiders with the chaotic subtype. Additionally, when using this feat, he expends only one use of his fervor to channel energy and deals 1d6 points of damage for every 2 warpriest levels he has. At 12th level, a fist of the Godclaw can expend an additional use of fervor to channel energy as a move action.</p>",systems/pf1/icons/skills/yellow_22.jpg
,Warpriest,"[[""Warpriest""],[""Calamity Caller""]]",Warpriest (Calamity Caller),Calamity Caller,<id-00020,20,Aspect of Disaster,"<p>At 20th level, a creature affected by a calamity caller's enhanced calamity does not receive a save to reduce the damage or avoid the calamity's effects.</p>",systems/pf1/icons/skills/yellow_22.jpg
,Warpriest,"[[""Warpriest""],[""Fist of the Godclaw""]]",Warpriest (Fist of the Godclaw),Fist of the Godclaw,<id-00020,20,Aspect of Law,"<p>At 20th level, a fist of the Godclaw can channel an aspect of law, growing even more inflexible. Once per day as a swift action, a warpriest can treat his level as his base attack bonus, gains DR 20/chaotic, and becomes immune to mind-affecting effects. In addition, he can take the average result on any die roll instead of rolling normally. This ability lasts for 1 minute.</p>",systems/pf1/icons/skills/yellow_22.jpg
,Warpriest,"[[""Warpriest""],[""Mantis Zealot""]]",Warpriest (Mantis Zealot),Mantis Zealot,<id-00020,20,Aspect of the Mantis,"<p>At 20th level, when using aspect of war, instead of moving at full speed regardless of his armor or encumbrance, a mantis zealot deals a number of points of bleed damage equal to his Dexterity modifier with each attack.</p>",systems/pf1/icons/skills/yellow_22.jpg
,Warpriest,"[[""Warpriest""],[""Disenchanter""]]",Warpriest (Disenchanter),Disenchanter,<id-00013,6,Banish Enchantment,"<p>At 6th level, a disenchanter learns to focus his mystic interference. As a standard action, he can consume two uses of his fervor ability to target a single creature within 30 feet with a targeted dispel magic. This ability replaces the bonus feat gained at 6th level.</p>",systems/pf1/icons/skills/yellow_22.jpg
,Warpriest,"[[""Warpriest""],[""Divine Commander""]]",Warpriest (Divine Commander),Divine Commander,<id-00012,3,Battle Tactician,"<p>At 3rd level, a divine commander gains a teamwork feat as a bonus feat. She must meet the prerequisites for this feat. As a standard action, the divine commander can grant this feat to all allies within 30 feet who can see and hear her. Allies retain the use of this bonus feat for 4 rounds, plus 1 round for every 2 levels beyond 3rd that the divine commander possesses. Allies do not need to meet the prerequisites of this bonus feat. The divine commander can use this ability once per day at 3rd level, plus one additional time per day at 9th and 15th levels. This ability replaces the bonus feat gained at 3rd level.</p>",systems/pf1/icons/skills/yellow_22.jpg
,Warpriest,"[[""Warpriest""],[""Divine Commander""]]",Warpriest (Divine Commander),Divine Commander,<id-00016,15,Bless Army,"<p>At 15th level, a divine commander can raise her holy symbol high and give a blessing to the army she is leading. The divine commander's army gains a +1 bonus to the army's OM and DV (Ultimate Campaign 235). This is a sacred bonus if the warpriest is good-aligned or able to spontaneously cast cure spells, and it is a profane bonus if the warpriest is evil-aligned or able to spontaneously cast inflict spells. Using this ability requires the divine commander to expend two uses of her fervor ability. This bonus lasts for 1 battle, and it must be performed during the tactics phase of the battle. If this is performed when a mass combat is not imminent, the fervor is spent without granting any bonus. This ability replaces the bonus feat gained at 15th level.</p>",systems/pf1/icons/skills/yellow_22.jpg
,Warpriest,"[[""Warpriest""],[""Sacred Fist""]]",Warpriest (Sacred Fist),Sacred Fist,<id-00012,3,Blessed Fortitude,"<p>At 3rd level, a sacred fist can avoid even magical and unusual attacks with help from his deity. If he succeeds at a Fortitude saving throw against an attack that has a reduced effect on a successful save, he instead avoids the effect entirely. A helpless sacred fist does not gain the benefit of the blessed fortitude ability. This ability replaces the bonus feat gained at 3rd level.</p>",systems/pf1/icons/skills/yellow_22.jpg
,Warpriest,"[[""Warpriest""],[""Divine Commander""]]",Warpriest (Divine Commander),Divine Commander,<id-00013,6,Blessed Mount,"<p>At 6th level, a divine commander's mount becomes a creature blessed by his deity. The divine commander's mount gains either the celestial, entropic, fiendish, or resolute template, matching the alignment of the warpriest's deity (celestial for good, entropic for chaotic, fiendish for evil, and resolute for lawful). If the deity matches more than one alignment, the divine commander can select which of the two templates the mount receives. Once the type of template is selected, it cannot be changed.</p><p>If the divine commander's deity is neutral with no other alignment components, the mount receives spell resistance equal to the divine commander's level + 5, as well as resistance 10 against two types of energy damage of the divine commander's choice.</p><p>If a divine commander's mount dies and the divine commander finds another mount, the new mount becomes a blessed mount the next time the divine commander gains a level. This ability replaces the bonus feat gained at 6th level.</p>",systems/pf1/icons/skills/yellow_22.jpg
,Warpriest,"[[""Warpriest""],[""Proselytizer""]]",Warpriest (Proselytizer),Proselytizer,<id-00037,1,Blessing of Conversion,"<p>The proselytizer always gains the conversion bonus upon converting an NPC, rather than only the first time he does so each level. The bonuses overlap their durations, and do not stack. The proselytizer does not gain access to the minor blessings granted by his blessing class feature until 3rd level. This ability modifies blessings.</p>",systems/pf1/icons/skills/yellow_22.jpg
,Warpriest,"[[""Warpriest""],[""Proselytizer""]]",Warpriest (Proselytizer),Proselytizer,<id-00004,4,Blessings,"<p>A warpriest's deity influences his alignment, what magic he can perform, his values, and how others see him. Each warpriest can select two blessings from among those granted by his deity (each deity grants the blessings tied to its domains). A warpriest can select an alignment blessing (Chaos, Evil, Good, or Law) only if his alignment matches that domain. If a warpriest isn't devoted to a particular deity, he still selects two blessings to represent his spiritual inclinations and abilities, subject to GM approval. The restriction on alignment domains still applies.</p><p>Each blessing grants a minor power at 1st level and a major power at 10th level. A warpriest can call upon the power of his blessings a number of times per day (in any combination) equal to 3 + 1/2 his warpriest level (to a maximum of 13 times per day at 20th level). Each time he calls upon any one of his blessings, it counts against his daily limit. The save DC for these blessings is equal to 10 + 1/2 the warpriest's level + the warpriest's Wisdom modifier.</p><p>If a warpriest also has levels in a class that grants cleric domains, the blessings chosen must match the domains selected by that class. Subject to GM discretion, the warpriest can change his former blessings or domains to make them conform.</p>",systems/pf1/icons/skills/yellow_22.jpg
,Warpriest,"[[""Warpriest""],[""Fist of the Godclaw""]]",Warpriest (Fist of the Godclaw),Fist of the Godclaw,<id-00036,1,Blessings of the Godclaw,<p>A fist of the Godclaw must select the Law blessing and the Godclaw blessing.</p>,systems/pf1/icons/skills/yellow_22.jpg
,Warpriest,"[[""Warpriest""],[""Forgepriest""]]",Warpriest (Forgepriest),Forgepriest,<id-00014,9,Bonus Feat,"<p>A forgepriest can select item creation feats in addition to combat feats when he gains a bonus feat.</p><p>At 3rd level and every 3 levels thereafter, a warpriest gains a bonus feat in addition to those gained from normal advancement. These bonus feats must be selected from those listed as combat feats. The warpriest must meet the prerequisites for these feats, but he treats his warpriest level as his base attack bonus (in addition to base attack bonuses gained from other classes and Hit Dice) for the purpose of qualifying for these feats. Finally, for the purposes of these feats, the warpriest can select feats that have a minimum number of fighter levels as a prerequisite, treating his warpriest level as his fighter level.</p>",systems/pf1/icons/skills/yellow_22.jpg
,Warpriest,"[[""Warpriest""],[""Disenchanter""]]",Warpriest (Disenchanter),Disenchanter,<id-00012,3,Bonus Feat,"<p>At 3rd level and every 3 levels thereafter, a warpriest gains a bonus feat in addition to those gained from normal advancement. These bonus feats must be selected from those listed as combat feats. The warpriest must meet the prerequisites for these feats, but he treats his warpriest level as his base attack bonus (in addition to base attack bonuses gained from other classes and Hit Dice) for the purpose of qualifying for these feats. Finally, for the purposes of these feats, the warpriest can select feats that have a minimum number of fighter levels as a prerequisite, treating his warpriest level as his fighter level.</p><p>Whenever a disenchanter gains a bonus feat, he must choose from the following list: Great Fortitude, Improved Counterspell, Iron Will, Lightning Reflexes, Skill Focus (Spellcraft), or Spell Focus (abjuration). At 6th level, he adds the following feats to this list: Dispel SynergyUC, Improved Great Fortitude, Improved Iron Will, and Improved Lightning Reflexes. At 12th level, he adds the following feats to this list: Destructive DispelUC, Dispelling CriticalUC, Parry SpellAPG, and Ray ShieldAPG. He need not meet the prerequisites for these feats. This ability alters bonus feats.</p>",systems/pf1/icons/skills/yellow_22.jpg
,Warpriest,"[[""Warpriest""],[""Jistkan Magistrate""]]",Warpriest (Jistkan Magistrate),Jistkan Magistrate,<id-00010,1,Bonus Languages,"<p>A Jistkan magistrate's bonus language options include Aquan, Auran, Ignan, and Terran instead of Abyssal, Celestial, and Infernal. These choices are in addition to the bonus languages available to the character because of his race.</p>",systems/pf1/icons/skills/yellow_22.jpg
,Warpriest,"[[""Warpriest""],[""Sacred Fist""]]",Warpriest (Sacred Fist),Sacred Fist,<id-00013,6,Bonus Style Feat,"<p>At 6th level, the sacred fist gains a style feat as a bonus feat. The sacred fist must meet the style feat's prerequisites. He uses his warpriest levels as monk levels for the purposes of meeting the feat's prerequisites. At 12th and 18th levels, a sacred fist gains either another style feat or a feat that requires a style feat as a prerequisite. This ability replaces the bonus feats gained at 6th, 12th, and 18th levels.</p>",systems/pf1/icons/skills/yellow_22.jpg
